,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.669,,,,,,6.2077,,,
1,K00010,,,0.5671764820706562,,,,,,16.1906,,,
2,K00012,,,0.631,,,,,,21.5772,,,
3,K00014,,,0.6372162254020018,,,,,,25.7955,,,
4,K00020,,,0.6175357879881922,,,,,,21.2982,,,
5,K00027,,,0.5820000000000001,,,,,,6.3258,,,
6,K00029,0.55,,0.6230804782616984,,,,5.2538,,37.0629,,,
7,K00031,,,0.6396119776696747,,,,,,57.4456,,,
8,K00033,,,0.6317972282185892,,,,,,205.45680000000004,,,
9,K00035,,,0.652,,,,,,6.4746,,,
10,K00036,,,0.6750267271198857,,,,,,16.4515,,,
11,K00039,,,0.5739338712949856,,,,,,10.3674,,,
12,K00046,,,0.526,,,,,,5.2569,,,
13,K00053,,,0.6537889450360556,,,,,,94.2825,,,
14,K00057,,,0.6749247757592988,,,,,,32.7217,,,
15,K00058,,,0.537,,,,,,5.5917,,,
16,K00059,,,0.6035988547348755,,,,,,35.4949,,,
17,K00060,,,0.552,,,,,,7.1683,,,
18,K00064,,,0.6274411798416055,,,,,,11.7743,,,
19,K00065,,,0.637,,,,,,3.0949,,,
20,K00066,,,0.5579999999999999,,,,,,4.2902,,,
21,K00067,,,0.6382699273754017,,,,,,19.511499999999998,,,
22,K00074,,,0.561,,,,,,3.6502,,,
23,K00075,,,0.6594717790237559,,,,,,60.1532,,,
24,K00077,,0.713,0.6441054368547731,,,,,4.0901,356.46419999999995,,,
25,K00088,,,0.6998783149837217,,,,,,34.1322,,,
26,K00091,,,0.647,,,,,,5.3231,,,
27,K00096,,,0.742,,,,,,5.7629,,,
28,K00099,,,0.647465718809644,,,,,,103.32840000000002,,,
29,K00109,,,0.648,,,,,,12.778,,,
30,K00111,,,0.6665587707218931,,,,,,133.31870000000004,,,
31,K00116,,,0.6240150221237546,,,,,,60.95119999999999,,,
32,K00122,,,0.6552397551740707,,,,,,19.8332,,,
33,K00124,,,0.6331534267214238,,,,,,75.0032,,,
34,K00126,,,0.6313806174617483,,,,,,7.074,,,
35,K00127,,,0.5950455960607447,,,,,,69.8387,,,
36,K00133,,,0.6301982668664653,,,,,,57.04500000000001,,,
37,K00134,,,0.5127463460763214,,,,,,15.642999999999999,,,
38,K00135,,,0.698,,,,,,7.6654,,,
39,K00145,,,0.645977315780494,,,,,,40.8382,,,
