,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00014,,,0.6779999999999999,,,,,,4.3066,,,
1,K00033,,,0.66720943567043,,,,,,23.565099999999997,,,
2,K00053,,,0.6648823666260526,,,,,,44.682500000000005,,,
3,K00057,,,0.716,,,,,,4.1943,,,
4,K00058,,,0.711,,,,,,4.6005,,,
5,K00064,,,0.722,,,,,,2.9816,,,
6,K00067,,,0.6829999999999999,,,,,,1.6729,,,
7,K00075,,,0.6837277516398618,,,,,,27.5102,,,
8,K00077,,,0.6798766539164827,,,,,,26.9568,,,
9,K00088,,,0.6869999999999999,,,,,,4.954,,,
10,K00099,,,0.7045396875383497,,,,,,26.605800000000002,,,
11,K00111,,,0.7000955028183462,,,,,,47.11880000000001,,,
12,K00112,,,0.7859999999999999,,,,,,4.1143,,,
13,K00124,,,0.6737189339939238,,,,,,17.0143,,,
14,K00145,,,0.7509999999999999,,,,,,4.3852,,,
15,K00161,,,0.662,,,,,,6.602,,,
16,K00163,,0.6729999999999999,0.6641384602984862,,,,,6.2348,130.2114,,,
17,K00175,,,0.6577189600453901,,,,,,33.413,,,
18,K00215,,,0.6729999999999999,,,,,,3.267,,,
19,K00228,,,0.6547114428931183,,,,,,17.7126,,,
20,K00230,,,0.6490169965450153,,,,,,10.7309,,,
21,K00240,,,0.6314168047812265,,,,,,34.6669,,,
22,K00241,,,0.6468929198426596,,,,,,11.555599999999998,,,
23,K00242,,,0.682,,,,,,3.523,,,
24,K00245,,,0.629,,,,,,4.7759,,,
25,K00247,,,0.6883795451672293,,,,,,5.6584,,,
26,K00254,,,0.674,,,,,,3.2098,,,
27,K00259,,,0.723,,,,,,6.1683,,,
28,K00262,,,0.6709999999999999,,,,,,6.291,,,
29,K00273,,0.732,,,,,,2.9828,,,,
30,K00275,,,0.687673713808191,,,,,,11.0849,,,
31,K00286,,,0.6914692996070254,,,,,,35.563100000000006,,,
32,K00287,,,0.681635254447801,,,,,,6.6169,,,
33,K00297,,,0.6448255763148414,,,,,,6.026400000000001,,,
34,K00299,,,0.673436803218737,,,,,,4.523,,,
35,K00303,,,0.695,,,,,,4.0741,,,
36,K00305,,,0.762,,,,,,2.0829,,,
37,K00330,,,0.6181196311458329,,,,,,34.476099999999995,,,
38,K00331,,,0.647,,,,,,26.2729,,,
39,K00332,,,0.703,,,,,,4.8533,,,
40,K00334,,,0.6309845806537907,,,,,,13.816099999999999,,,
41,K00338,,,0.6581337607138338,,,,,,45.4827,,,
42,K00339,,,0.6986507407664649,,,,,,12.100900000000001,,,
43,K00340,,,0.638647848178803,,,,,,21.945000000000004,,,
44,K00368,,,0.638,,,,,,3.6582,,,
45,K00390,,,0.6596214811290827,,,,,,13.7177,,,
46,K00395,,,0.643,,,,,,2.4673,,,
47,K00411,,,0.664,,,,,,3.1717,,,
48,K00413,,,0.63,,,,,,3.3174,,,
49,K00425,,,0.6488254075329613,,,,,,71.343,,,
50,K00426,,,0.6853192887165784,,,,,,29.984700000000004,,,
51,K00428,,,0.6744206957875548,,,,,,11.4177,,,
52,K00432,,,0.5771243622811303,,,,,,5.1757,,,
53,K00433,,,0.6055587347028424,,,,,,6.9388,,,
54,K00448,,,0.746,,,,,,2.8611,,,
55,K00449,,,0.584,,,,,,4.0647,,,
56,K00450,,,0.6898138994347912,,,,,,19.7437,,,
57,K00451,,,0.6747236779705438,,,,,,13.8628,,,
58,K00452,,,0.706,,,,,,6.6972,,,
59,K00453,,,0.6049152484140614,,,,,,21.840799999999998,,,
60,K00456,,,0.6890000000000001,,,,,,3.9656,,,
61,K00457,,,0.6391177306140468,0.7020000000000001,,,,,26.7975,4.3714,,
62,K00459,,,0.7057533290075919,,,,,,20.7396,,,
63,K00463,,,0.772,,,,,,4.1462,,,
64,K00479,,,0.688,,,,,,8.2119,,,
65,K00499,,,0.617,,,,,,5.2487,,,
66,K00507,,,0.5817532033173478,,,,,,10.582699999999999,,,
67,K00518,,,0.6547647876380116,,,,,,5.1239,,,
68,K00525,,,0.6605552498705134,,,,,,81.4818,,,
69,K00526,,,0.614,,,,,,11.2222,,,
70,K00540,,,0.6666971501341512,,,,,,16.987099999999998,,,
71,K00548,,,0.5422854526536066,,,,,,10.4845,,,
72,K00549,,,0.6836070378895779,,,,,,196.11889999999994,,,
73,K00554,,,0.718961245608869,,,,,,21.0324,,,
74,K00560,,,0.6430085069272444,,,,,,11.4739,,,
75,K00567,,,0.693,,,,,,5.322,,,
76,K00570,,,0.664,,,,,,7.7451,,,
77,K00571,,,0.421,,,,,,11.5271,,,
78,K00573,,,0.6772247769056027,,,,,,36.314800000000005,,,
79,K00574,,,0.6693771210327413,,,,,,9.057500000000001,,,
80,K00588,,,0.715,,,,,,5.2839,,,
81,K00598,,,0.527,,,,,,2.8028,,,
82,K00600,,,0.6839646541231801,,,,,,35.537,,,
83,K00602,,0.54,0.6960453113736056,,,,,2.3123,65.2233,,,
84,K00605,,,0.698,,,,,,5.4718,,,
85,K00606,,,0.6822417510647434,,,,,,41.026799999999994,,,
86,K00609,,,0.6308459527915142,,,,,,15.9115,,,
87,K00615,,,0.6609376564936807,,,,,,12.8502,,,
88,K00619,,,0.603,,,,,,2.3507,,,
89,K00620,,,0.7021578303068523,,,,,,21.8153,,,
90,K00626,,,0.6869161757146898,,,,,,49.0924,,,
91,K00635,,,0.6974380866158636,0.732,,0.74,,,27.0349,2.4579,,4.178
92,K00640,,,0.6949722512787979,,,,,,15.859300000000001,,,
93,K00641,,,0.6718552682804035,,,,,,40.8829,,,
94,K00655,,,0.7150929190896032,,,,,,15.493500000000001,,,
95,K00662,,,0.522,,,,,,2.9138,,,
96,K00672,,,0.6679999999999999,,,,,,1.7821,,,
97,K00674,,,0.745,,,,,,4.7345,,,
98,K00675,,,0.731,,,,,,3.028,,,
99,K00677,,,0.656113061005204,,,,,,23.354300000000002,,,
100,K00683,,,0.6679999999999999,,,,,,3.832,,,
101,K00684,,,0.6912190400441164,,,,,,9.1349,,,
102,K00688,,,0.6646818323904582,,,,,,32.079,,,
103,K00700,,,0.6625892872690183,,,,,,18.743100000000002,,,
104,K00703,,,0.6446502077553736,,,,,,9.6798,,,
105,K00721,,,0.614969012944354,,,,,,9.9788,,,
106,K00748,,,0.691122720729163,,,,,,13.1737,,,
107,K00759,,,0.6599380873086302,,,,,,14.9987,,,
108,K00760,,,0.6411245857783542,,,,,,42.0163,,,
109,K00762,,,0.695,,,,,,6.5714,,,
110,K00763,,,0.6980314327569684,,,,,,17.4648,,,
111,K00764,,,0.6864212972397811,,,,,,62.29549999999999,,,
112,K00765,,,0.7049252675214077,,,,,,22.057899999999997,,,
113,K00766,,,0.684683523209806,,,,,,45.884,,,
114,K00767,,,0.733,,,,,,3.1774,,,
115,K00768,,,0.6697739753692805,,,,,,9.1759,,,
116,K00773,,,0.6679999999999999,,,,,,5.6421,,,
117,K00783,,,0.6779999999999999,,,,,,5.6809,,,
118,K00784,,,0.674,,,,,,3.4541,,,
119,K00788,,,0.755,,,,,,4.25,,,
120,K00789,,,0.6776391794501702,,,,,,101.73800000000001,,,
121,K00790,,,0.6832998585396889,,,,,,21.2946,,,
122,K00791,,,0.774,,,,,,3.6098,,,
123,K00793,,0.317,0.7077969321392439,,,,,2.1867,19.6228,,,
124,K00794,,,0.6693596885667428,,,,,,25.680799999999998,,,
125,K00796,,,0.695,,,,,,4.6278,,,
126,K00797,,,0.6561393763965749,,,,,,38.916399999999996,,,
127,K00798,,,0.6766204191824725,,,,,,22.2933,,,
128,K00799,,,0.626984191100201,,,,,,33.0283,,,
129,K00800,,,0.6972411847462191,,,,,,29.285700000000002,,,
130,K00806,,,0.695,,,,,,6.4105,,,
131,K00809,,,0.645,,,,,,8.4368,,,
132,K00817,,,0.737,,,,,,3.5288,,,
133,K00820,,,0.679860562550066,,,,,,79.12889999999999,,,
134,K00826,,,0.7020000000000001,,,,,,7.6778,,,
135,K00831,,,0.6445750151578192,,,,,,11.336,,,
136,K00851,,,0.7067476981179216,,,,,,6.8729,,,
137,K00857,,,0.6394639456072696,,,,,,16.0471,,,
138,K00858,,,0.6916724315931257,,,,,,32.7399,,,
139,K00859,,,0.6758464001935555,,,,,,29.635000000000005,,,
140,K00865,,,0.7048813278078203,,,,,,16.436700000000002,,,
141,K00867,,,0.6940000000000001,,,,,,5.5071,,,
142,K00873,,,0.6757370989528856,,,0.6920000000000001,,,54.290499999999994,,,2.367
143,K00891,,,0.70516125411539,,,,,,10.8828,,,
144,K00912,,,0.67,,,,,,5.1995,,,
145,K00919,,,0.7198547065689932,,,,,,22.279500000000002,,,
146,K00925,,,0.6879644997030285,,,,,,13.365199999999998,,,
147,K00926,,,0.7089200313301071,,,,,,23.1184,,,
148,K00927,,,0.6762066614848645,,,,,,41.1506,,,
149,K00930,,,0.73,,,,,,4.6571,,,
