,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,,0.6609999999999999,,,,19.2411,,
1,K00033,,0.556,,,,5.3272,,
2,K00053,,0.618,,,,6.4874,,
3,K00055,,0.58,,,,10.3767,,
4,K00067,,0.745,,,,2.75,,
5,K00077,,0.6569965005857269,,,,18.5006,,
6,K00111,,0.703,,,,6.8399,,
7,K00126,,0.589,,,,5.3535,,
8,K00127,,0.6329999999999999,,,,3.7941,,
9,K00145,,0.5818868196366891,,,,7.0543,,
10,K00163,,0.6485002559222892,,,,58.6017,,
11,K00175,,0.6779999999999999,,,,5.7143,,
12,K00208,,0.634,,,,13.8673,,
13,K00215,,0.723,,,,4.596,,
14,K00228,,0.6609999999999999,,,,6.5425,,
15,K00240,,0.6409999999999999,,,,8.6011,,
16,K00241,,0.604,,,,5.0205,,
17,K00275,,0.72,,,,2.0216,,
18,K00304,,0.67,,,,7.2248,,
19,K00330,,0.605,,,,5.899,,
20,K00331,,0.6340425871396748,,,,22.3285,,
21,K00334,,0.636,,,,6.1868,,
22,K00339,,0.6679999999999999,,,,5.6793,,
23,K00395,,0.583,,,,5.2791,,
24,K00411,,0.638,,,,12.1951,,
25,K00425,,0.6116154554141766,,,,19.8417,,
26,K00426,,0.5797568246056707,,,,22.499599999999997,,
27,K00432,,0.5710000000000001,,,,4.0725,,
28,K00433,,0.6329489869476572,,,,58.004000000000005,,
29,K00450,,0.7040000000000001,,,,2.7939,,
30,K00451,,0.6393416000010976,,,,11.5417,,
31,K00453,,0.5948111466947087,,,,7.7574,,
32,K00457,,0.6374743464537591,,,,7.7928,,
33,K00459,,0.601,,,,10.5869,,
34,K00507,,0.5848375945714339,,,,14.0322,,
35,K00525,,0.659,,,,9.8373,,
36,K00540,,0.753,,,,3.6954,,
37,K00544,,0.654,,,,4.5299,,
38,K00548,,0.617,,,,8.5401,,
39,K00549,,0.6445850689692458,,,,48.629000000000005,,
40,K00560,,0.638,,,,7.0509,,
