,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6380054952778139,,,,,17.781,,
1,K00012,,,0.642,,,,,17.057,,
2,K00019,,,0.64,,,,,6.8508,,
3,K00029,,,0.5867408964393726,,,,,20.6662,,
4,K00031,,,0.612,,,,,27.3361,,
5,K00033,,,0.6056768508170792,,,,,78.3193,,
6,K00036,,,0.5884438685583325,,,,,72.3261,,
7,K00038,,,0.665,,,,,18.3312,,
8,K00053,,,0.594,,,,,13.247,,
9,K00057,,,0.638,,,,,5.3741,,
10,K00067,,,0.619,,,,,2.9882,,
11,K00075,,,0.6672102774236853,,,,,34.4303,,
12,K00077,,,0.6249702843385763,,,,,165.4174,,
13,K00088,,,0.6235752772585996,,,,,24.1811,,
14,K00091,,,0.6829999999999999,,,,,6.3452,,
15,K00099,,,0.6365953580111904,,,,,43.3643,,
16,K00102,,,0.653,,,,,10.5168,,
17,K00111,,,0.591589184780748,,,,,121.94769999999998,,
18,K00116,,,0.624622583338229,,,,,8.415700000000001,,
19,K00122,,,0.5747209378221816,,,,,11.850200000000001,,
20,K00124,,,0.6413286087358832,,,,,50.6598,,
21,K00127,,,0.5892872720852769,,,,,53.3975,,
22,K00133,,,0.586,,,,,18.9049,,
23,K00134,,,0.6343918437741012,,,,,42.040000000000006,,
24,K00145,,,0.6455734118726574,,,,,62.7931,,
25,K00163,,,0.6512012706721939,,,,,142.2356,,
26,K00174,,,0.621,,,,,24.6766,,
27,K00175,,,0.6335986379246967,,,,,61.9568,,
28,K00180,,,0.741,,,,,5.2403,,
29,K00208,,,0.6096214840695828,,,,,26.7046,,
30,K00215,,,0.679,,,,,8.1579,,
31,K00217,,,0.6990000000000001,,,,,7.5351,,
32,K00227,,,0.5820000000000001,,,,,6.8533,,
33,K00228,,,0.6560764889587719,,,,,18.3764,,
34,K00231,,,0.604,,,,,10.5161,,
35,K00240,,,0.6182896032647359,,,,,97.1873,,
36,K00241,,,0.6177829095775993,,,,,18.3548,,
37,K00242,,,0.592020632766458,,,,,17.7636,,
38,K00254,,,0.7358129241582936,,,,,12.7188,,
39,K00275,,,0.6883737825472996,,,,,12.0897,,
40,K00286,,,0.6389280615526677,,,,,41.4118,,
41,K00297,,,0.657,,,,,9.2455,,
42,K00304,,,0.66,,,,,3.6569,,
43,K00311,,,0.6241071952042951,,,,,21.622,,
44,K00316,,,0.578,,,,,8.4678,,
45,K00330,,,0.5721842577720697,,,,,21.5449,,
46,K00331,,,0.6148507118028071,,,,,36.8914,,
47,K00332,,,0.613,,,,,19.0869,,
48,K00334,,,0.6119715560963483,,,,,56.01199999999999,,
49,K00338,,,0.5952261199105628,,,,,46.2759,,
50,K00339,,,0.5887782812722447,,,,,39.5094,,
51,K00340,,,0.5911181284285704,,,,,72.7188,,
52,K00344,,,0.595,,,,,12.9899,,
53,K00365,,,0.6375855846579338,,,,,13.537700000000001,,
54,K00389,,,0.6138862069046701,,,,,22.317300000000003,,
55,K00390,,,0.6131038820056441,,,,,11.7383,,
56,K00394,,,0.612,,,,,7.4617,,
57,K00406,,,0.642,,,,,17.7444,,
58,K00411,,,0.6491242627467478,,,,,24.0276,,
59,K00412,,,0.5932407904934762,,,,,32.9739,,
60,K00413,,,0.6284277945306913,,,,,27.3109,,
61,K00425,,,0.5917565511795659,,,,,260.54920000000004,,
62,K00426,,,0.5882400056828334,,,,,143.85999999999999,,
63,K00428,,,0.6286764261439942,,0.591,,,31.8182,,6.7013
64,K00432,,,0.6021570487475435,,,,,40.4162,,
65,K00433,,,0.6187658851092707,,,,,162.7434,,
66,K00448,,,0.7190000000000001,,,,,3.9558,,
67,K00449,,,0.6010490992231713,,,,,22.242,,
68,K00450,,,0.657980364841147,,,,,41.0818,,
69,K00451,,,0.6160414783556469,,,,,59.906,,
70,K00452,,,0.565,,,,,7.5314,,
71,K00453,,,0.5824029803588514,,,,,52.46210000000001,,
72,K00457,,,0.6351350842070146,,,,,50.528400000000005,,
73,K00459,,,0.6302475086000113,,,,,144.50639999999999,,
74,K00500,,,0.601222575960574,,,,,15.1842,,
75,K00507,,,0.6015072322316422,,,,,47.650299999999994,,
76,K00518,,,0.627,,,,,10.5405,,
77,K00525,,,0.5865293171974436,,,,,58.2595,,
78,K00528,,,0.604,,,,,6.3672,,
79,K00540,,0.63,0.633636183365278,,,,5.2517,42.523399999999995,,
80,K00544,,,0.6885605479889754,,,,,21.9872,,
81,K00548,,,0.6136236033963375,,,,,78.6409,,
82,K00549,,,0.6453303484280992,0.675,,,,432.5199,5.0587,
83,K00554,,,0.7192593162730144,,,,,14.1893,,
84,K00560,,,0.6268137085175571,,,,,46.827799999999996,,
85,K00563,,,0.65,,,,,5.1071,,
86,K00564,,,0.7255870148591622,,,,,9.1985,,
87,K00567,,,0.736,,,,,2.7551,,
88,K00570,,,0.6282284845191796,,,,,34.7791,,
89,K00573,,,0.6506310778467623,,,,,156.07430000000005,,
90,K00574,,,0.6594372306281522,,,,,21.0024,,
91,K00588,,,0.581,,,,,6.785,,
92,K00600,,,0.6416331296381942,,,,,190.76870000000002,,
93,K00602,,,0.639408522604817,,,,,68.5876,,
94,K00604,,,0.609,,,,,3.0608,,
95,K00606,,,0.6241436585954018,,,,,89.15350000000001,,
96,K00609,,,0.6501776301695823,,,,,46.37779999999999,,
97,K00611,,,0.65,,,,,9.621,,
98,K00613,,,0.5315778926979757,,,,,16.862000000000002,,
99,K00616,,,0.5870000000000001,,,,,20.8994,,
100,K00620,,,0.6381350230025601,,,,,34.5116,,
101,K00626,,,0.660078137639446,,,,,110.34190000000001,,
102,K00635,,,0.7019160072323755,,,,,60.0091,,
103,K00640,,,0.6466693396726637,,,,,58.118599999999994,,
104,K00641,,,0.6359011257576881,,,,,81.87700000000001,,
105,K00643,,,0.572343395492544,,,,,26.7317,,
106,K00645,,,0.6840000000000002,,,,,9.6003,,
107,K00648,,,0.630792236525279,,,,,31.7813,,
108,K00655,,,0.5851274300190094,,0.578,,,37.9046,,3.5502
109,K00657,,,0.621,,,,,12.361,,
110,K00661,,,0.586,,,,,2.6172,,
111,K00662,,,0.627,,,,,5.4037,,
112,K00663,,,0.619,,,,,4.865,,
113,K00674,,,0.58,,,,,10.3811,,
114,K00677,,,0.6156590166319058,,,,,30.1498,,
115,K00682,,,0.6723423680786031,,,,,11.901,,
116,K00683,,,0.5699144045705685,,,,,13.6623,,
117,K00684,,,0.6325240088495554,,,,,15.8136,,
118,K00688,,,0.603653552931315,,,,,130.91279999999998,,
119,K00703,,,0.5793274146146697,,,,,48.1912,,
120,K00720,,,0.5864409712013849,,,,,42.3325,,
121,K00721,,,0.6043922271888834,,,,,11.4877,,
122,K00729,,,0.573,,,,,11.6405,,
123,K00748,,,0.6290794284748866,,,,,24.8596,,
124,K00759,,,0.6529361516414705,,,,,29.92,,
125,K00760,,,0.6375235963325118,,,,,24.595599999999997,,
126,K00761,,,0.6509999999999999,,,,,9.1919,,
127,K00762,,,0.616440793484392,,,,,24.2237,,
128,K00763,,,0.6685717306929057,,,,,35.936800000000005,,
129,K00764,,,0.6391743473825533,,,,,104.5124,,
130,K00765,,,0.6864924079728996,,,,,13.1679,,
131,K00766,,,0.6580987056638115,,,,,33.422000000000004,,
132,K00768,,,0.7099363078001978,,,,,19.2935,,
133,K00769,,,0.6539478809909888,,,,,22.5549,,
134,K00772,,,0.556,,,,,4.9445,,
135,K00773,,,0.63,,,,,8.6993,,
136,K00782,,,0.7052300120508369,,,,,8.8201,,
137,K00783,,,0.6718863026458098,,,,,20.0987,,
138,K00784,,,0.6316333442459721,,,,,23.856,,
139,K00788,,,0.6132579761686044,,,,,8.828199999999999,,
140,K00789,,,0.6321300278443687,,,,,157.47170000000003,,
141,K00790,,,0.6253320425477354,,,,,36.129999999999995,,
142,K00791,,,0.6203870853403212,,,,,7.7205,,
143,K00793,,,0.6285926532191136,,,,,53.0731,,
144,K00794,,,0.6237156092137955,,0.667,,,46.2279,,5.6171
145,K00797,,,0.6093333118031072,,,,,36.9376,,
146,K00798,,,0.631974258448382,,,,,20.8109,,
147,K00799,,,0.6234887792125015,,,,,367.65590000000003,,
148,K00800,,,0.6934490159045943,,,,,24.3262,,
149,K00808,,,0.615,,,,,15.7169,,
150,K00809,,,0.5760000000000001,,,,,5.3037,,
151,K00820,,,0.5817946724501304,,,,,35.147800000000004,,
152,K00824,,,0.6352060355476464,,,,,17.2925,,
153,K00826,,,0.667,,,,,6.3636,,
154,K00831,,,0.5835970262829879,,,,,16.3791,,
155,K00851,,,0.6765411079523347,,,,,27.550199999999997,,
156,K00857,,,0.6091646743147006,,,,,41.0344,,
157,K00858,,,0.6543010379174982,,,,,82.51769999999999,,
158,K00859,,,0.6274530185014172,,,,,24.660500000000003,,
159,K00864,,,0.5788889207044047,,,,,41.9979,,
160,K00865,,,0.773,,,,,5.9419,,
161,K00867,,,0.6297618659166714,,,,,27.350700000000003,,
162,K00868,,,0.5503999050055631,,,,,14.199100000000001,,
163,K00873,,,0.6384561813962222,,,,,108.1854,,
164,K00883,,,0.617,,,,,4.7819,,
165,K00886,,,0.687,,,,,6.2509,,
166,K00891,,,0.6442343073600905,,,,,35.4723,,
167,K00912,,,0.5990732347913372,,,,,12.805,,
168,K00919,,,0.6558618148592188,,,,,28.0644,,
169,K00925,,,0.6659800392537196,,,,,21.6938,,
170,K00926,,,0.7340000000000001,,,,,5.8161,,
171,K00927,,,0.6162247731557876,,,,,52.8034,,
172,K00930,,,0.6573031912826403,,,,,29.0759,,
173,K00931,,,0.69,,,,,8.4329,,
174,K00936,,,0.6383192719576649,,,,,68.19980000000001,,
175,K00937,,,0.6338799925674975,,,,,24.5883,,
176,K00939,,,0.6681283117933924,,,,,17.057,,
177,K00940,,,0.6137436833041058,,,,,18.5181,,
178,K00942,,,0.586,,,,,14.9602,,
179,K00943,,,0.642785243488046,,,,,26.680600000000002,,
180,K00945,,,0.6348050641338829,,,,,39.9233,,
181,K00946,,,0.6882424702502478,,,,,23.9778,,
182,K00948,,,0.6678486350443138,0.534,,,,62.2755,4.566,
183,K00950,,,0.5760000000000001,,,,,5.07,,
184,K00954,,,0.5999256589558568,,,,,52.927899999999994,,
185,K00957,,,0.5778034405876994,,,,,17.1237,,
186,K00958,,,0.57,,,,,6.4409,,
187,K00969,,,0.6837294292130475,,,,,17.5484,,
