,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00003,,,0.6989833691380668,,,,,,,18.3407,,,,
1,K00012,,,0.6579999999999998,,,,,,,11.9585,,,,
2,K00018,,,0.57,,,,,,,7.885,,,,
3,K00020,,,0.636,,,,,,,6.2599,,,,
4,K00029,,,0.6012338721184988,,,,,,,50.1165,,,,
5,K00031,,,0.6609999999999998,,,,,,,12.8978,,,,
6,K00033,,,0.6311296377342062,,,,,,,73.9527,,,,
7,K00036,,,0.6241656544440757,,,,,,,49.70869999999999,,,,
8,K00038,,,0.622,,,,,,,10.1504,,,,
9,K00052,,,0.623,,,,,,,10.5456,,,,
10,K00053,,,0.6870453127190187,,,,,,,57.5479,,,,
11,K00054,,0.667,,,,,,,11.0404,,,,,
12,K00058,,,0.6697714591848131,,,,,,,22.3434,,,,
13,K00059,,,0.5927390905947512,,,,,,,64.34,,,,
14,K00067,,,0.6133047143235557,,,,,,,23.976,,,,
15,K00074,,,0.5670000000000001,,,,,,,10.1713,,,,
16,K00075,,,0.6677255609311771,,,,,,,44.927,,,,
17,K00076,,,0.736,,,,,,,8.8914,,,,
18,K00077,,0.6859999999999999,0.6637407675832027,,,,0.6626155459359555,,10.5822,104.2163,,,,8.4926
19,K00088,,,0.6537557307520712,,,,,,,16.412100000000002,,,,
20,K00091,,,0.723,,,,,,,9.9488,,,,
21,K00096,,0.6629999999999999,,,,,,,11.0808,,,,,
22,K00099,,,0.6432295801118726,,,,,,,47.0254,,,,
23,K00111,,,0.6692270051487493,,,,,,,65.0773,,,,
24,K00116,,,0.5316114878968536,,,,,,,28.564700000000002,,,,
25,K00118,,,0.579,,,,,,,6.9489,,,,
26,K00122,0.5920000000000001,,,,,,,10.6609,,,,,,
27,K00124,,,0.6314428541754272,,,,,,,40.469300000000004,,,,
28,K00126,,,0.5771006804307085,,,,,,,9.5718,,,,
29,K00127,,,0.5719746414358916,,,,,,,20.2084,,,,
30,K00134,,,0.691,,,,,,,14.5616,,,,
31,K00145,,,0.728335404656635,,,,,,,22.988100000000003,,,,
32,K00150,,0.633,,,,,,,12.1641,,,,,
33,K00156,,,0.648,,,,,,,10.4884,,,,
34,K00162,,,0.634,,,,,,,11.9022,,,,
35,K00163,,,0.6423759790097378,,,,,,,239.60620000000006,,,,
36,K00166,,,0.65,,,,,,,10.044,,,,
37,K00167,,,0.634,,,,,,,11.9022,,,,
38,K00174,,0.6559999999999999,0.6515564784835532,,,,,,11.1698,65.0406,,,,
