,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00003,,,0.68828722937533,,,,,,31.3054,,,
1,K00010,,,0.546,,,,,,4.7193,,,
2,K00012,,,0.6725870889094511,,,,,,31.391099999999998,,,
3,K00014,,,0.718,,,,,,9.536,,,
4,K00019,,,0.623,,,,,,10.1836,,,
5,K00020,,,0.65710866287507,,,,,,16.2804,,,
6,K00024,,,0.687,,,,,,12.1481,,,
7,K00029,,,0.6561000844713085,,,,,,29.801,,,
8,K00031,,,0.6161677534215839,,,,,,102.0279,,,
9,K00033,,,0.6473724632671508,,,,,,189.73620000000003,,,
10,K00036,,,0.5489999999999999,,,,,,5.2126,,,
11,K00038,,,0.6393718250674946,,,,,,18.1348,,,
12,K00042,,,0.68,,,,,,8.5565,,,
13,K00052,,,0.6579999999999999,,,,,,13.5285,,,
14,K00053,,,0.6564996659307123,,,,,,61.9525,,,
15,K00057,,,0.6833153982236403,,,,,,30.0628,,,
16,K00058,,,0.634,,,,,,3.835,,,
17,K00059,,,0.6416177131467798,,,,,,59.866499999999995,,,
18,K00060,,,0.637,,,,,,5.7262,,,
19,K00064,,,0.7143884757962571,,,,,,12.017,,,
20,K00065,,,0.61,,,,,,4.2207,,,
21,K00067,,,0.692459393036531,,,,,,64.8816,,,
22,K00075,,,0.6870636395848672,,,,,,78.6001,,,
23,K00077,,,0.6576062397438451,,,0.6809999999999999,,,346.7933,,,4.6751
24,K00082,,,0.728,,,,,,5.5969,,,
25,K00088,,,0.6774958190935285,,,,,,73.7662,,,
26,K00091,,,0.6289663461246588,,,,,,15.408,,,
27,K00099,,,0.6220331835038845,,,,,,78.42159999999998,,,
28,K00111,,,0.672889295828383,0.546,,,,,229.88129999999995,6.7767,,
29,K00116,,,0.6471921618312897,,,,,,73.1372,,,
30,K00120,,,0.669,,,,,,9.3484,,,
31,K00122,,,0.6380817232168656,,,,,,31.9235,,,
32,K00124,,,0.627112835334182,,,,,,87.07339999999999,,,
33,K00127,,,0.6113091806884328,,,,,,16.8017,,,
34,K00133,,,0.695851283428912,,,,,,30.6645,,,
35,K00134,,,0.647,,,,,,17.01,,,
36,K00145,,,0.6790704525369,,,,,,81.9379,,,
37,K00148,,,0.6429374064911061,,,,,,17.6604,,,
38,K00153,,,0.662,,,,,,13.6761,,,
39,K00161,,,0.6505241291009044,,,,,,15.055399999999999,,,
40,K00163,,,0.6423739356863238,,,,,,473.80179999999984,,,
41,K00172,,,0.7340000000000001,,,,,,3.5724,,,
42,K00174,,,0.6594030564048273,,,,,,35.9778,,,
43,K00175,,,0.660812974248063,,,,,,51.2262,,,
44,K00176,,,0.5489999999999999,,,,,,2.0114,,,
45,K00180,,,0.604,,,,,,4.8701,,,
46,K00209,,,0.6344272614613022,,,,,,9.2562,,,
47,K00215,,,0.6694034402667801,,,,,,85.32659999999998,,,
48,K00228,,,0.6362397757287056,,,,,,37.7766,,,
49,K00230,,,0.6459999999999999,,,,,,3.0507,,,
50,K00231,,,0.6559033373365291,,,0.603,,,59.06249999999999,,,3.0368
51,K00232,,,0.6429087538307946,,,,,,66.9229,,,
52,K00240,,,0.6406381090779949,,,,,,201.91520000000003,,,
53,K00241,,,0.6069409882863877,,,,,,89.1615,,,
54,K00242,,,0.6209411309546781,,,,,,45.065,,,
55,K00249,,,0.6466472433321662,,,,,,83.4905,,,
56,K00254,,,0.678931932607089,,,,,,81.3354,,,
57,K00259,,,0.6990102448409322,,,,,,40.1363,,,
58,K00273,,,0.6921910378338575,,,,,,20.363599999999998,,,
59,K00274,,,0.703,,,,,,11.4976,,,
60,K00275,,,0.6659587978973501,,,,,,153.83759999999998,,,
61,K00286,,,0.6754992845949838,,,,,,97.9877,,,
62,K00287,,,0.6675551441302074,,,,,,21.6582,,,
63,K00294,,,0.649,,,,,,13.3354,,,
64,K00297,,,0.7044505750382387,,,,,,12.540099999999999,,,
