,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00033,,,0.6559999999999999,,,,,,2.3563,,,
1,K00053,,,0.629,,,,,,15.6111,,,
2,K00067,,,0.5660000000000001,,,,,,4.7,,,
3,K00075,,,0.688392177216025,,,,,,7.7193000000000005,,,
4,K00077,,,0.6324474746043485,,,,,,15.105100000000002,,,
5,K00099,,,0.66,,,,,,5.1201,,,
6,K00111,,,0.624,,,,,,4.5186,,,
7,K00124,,,0.6351022354984157,,,,,,9.429,,,
8,K00127,,,0.633,,,,,,3.8636,,,
9,K00145,,,0.613,,,,,,3.8186,,,
10,K00163,,,0.6224595307835238,,,,,,50.6398,,,
11,K00228,,,0.6459999999999999,,,,,,10.659,,,
12,K00240,,,0.6224776041967482,,,,,,19.2982,,,
13,K00254,,,0.6384301371933516,,,,,,13.8478,,,
14,K00275,,,0.6920541311811824,,,,,,10.161,,,
15,K00330,,,0.5870000000000001,,,,,,12.3643,,,
16,K00338,,,0.6734501504038498,,,,,,12.696299999999999,,,
17,K00411,,,0.6441349090978341,,,,,,15.5487,,,
18,K00413,,,0.588,,,,,,5.83,,,
19,K00425,,,0.644,,,,,,4.3031,,,
20,K00426,,,0.6157091520590733,,,,,,13.741599999999998,,,
21,K00433,,,0.679,,,,,,11.0267,,,
22,K00453,,,0.6088289886845438,,,,,,8.4877,,,
23,K00459,,,0.6555078014262394,,,,,,10.0254,,,
24,K00507,,,0.6579999999999999,,,,,,3.1205,,,
25,K00525,,,0.645,,,,,,14.9511,,,
26,K00537,,,0.6459999999999999,,,,,,4.91,,,
27,K00544,,,0.696,,,,,,4.6752,,,
28,K00548,,,0.6829999999999999,,,,,,6.1559,,,
29,K00549,,,0.6776826416166878,,,,,,61.667100000000005,,,
30,K00554,,,0.7048766301269224,,,,,,7.096299999999999,,,
31,K00560,,,0.638633811254629,,,,,,18.124499999999998,,,
32,K00570,,,0.628,,,,,,5.2094,,,
33,K00573,,,0.619,,,,,,4.1603,,,
34,K00574,,,0.6716460545211554,,,,,,8.3379,,,
35,K00600,,,0.6888713154776253,,,,,,33.284,,,
36,K00602,,,0.6469833975517989,,,,,,17.5767,,,
37,K00606,,,0.6533927476235329,,,,,,26.306199999999997,,,
38,K00635,,,0.6472335789985669,,,,,,8.6695,,,
39,K00640,,,0.6141399495824972,,,,,,16.503,,,
40,K00641,,,0.6357351131549449,,,,,,18.773500000000002,,,
41,K00655,,,0.685,,,,,,2.6594,,,
42,K00662,,,0.708,,,,,,2.6226,,,
43,K00674,,,0.6983656929882394,,,,,,23.1381,,,
44,K00677,,,0.447,,,,,,2.6201,,,
45,K00688,,,0.624,,,,,,5.26,,,
46,K00761,,,0.579,,,,,,3.7145,,,
47,K00762,,,0.626,,,,,,4.7254,,,
48,K00765,,,0.6472852002273471,,,,,,13.6136,,,
49,K00782,,,0.7240000000000001,,,,,,2.7284,,,
50,K00783,,,0.624,,,,,,2.5921,,,
51,K00789,,,0.663650203984677,,,,,,44.4432,,,
52,K00790,,,0.701,,,,,,3.7793,,,
53,K00791,,,0.7340000000000001,,,,,,2.1057,,,
54,K00798,,,0.7062394695503674,,,,,,6.2568,,,
55,K00799,,,0.6247503688281619,,,,,,14.584599999999998,,,
56,K00800,,,0.61,,,,,,5.3466,,,
57,K00820,,,0.6473774379481928,,,,,,27.972500000000004,,,
58,K00851,,,0.616,,,,,,4.0623,,,
59,K00858,,,0.6508091762483796,,,,,,11.5283,,,
60,K00865,,,0.777,,,,,,4.1787,,,
61,K00867,,,0.5770000000000001,,,,,,5.9261,,,
62,K00868,,,0.637,,,,,,3.4541,,,
63,K00873,,,0.6998819469196109,,,,,,11.4907,,,
64,K00925,,,0.6729999999999999,,,,,,4.4681,,,
65,K00927,,,0.6440468116215357,,,,,,7.3396,,,
66,K00936,,,0.6337634005610827,,,,,,10.8751,,,
67,K00940,,,0.655,,,,,,11.5862,,,
68,K00945,,,0.701,,,,,,6.1533,,,
69,K00948,,,0.6568183800884576,,,,,,35.7157,,,
70,K00950,,,0.6709999999999999,,,,,,2.5957,,,
71,K00954,,,0.618051571660688,,,,,,14.6025,,,
72,K00969,,,0.705,,,,,,4.1518,,,
73,K00975,,,0.4479999999999999,,,,,,4.681,,,
74,K00978,,,0.626,,,,,,5.0799,,,
75,K00981,,,0.6753284384495869,,,,,,7.9952000000000005,,,
76,K00986,,0.447,0.5950767453992393,,,,,4.2707,357.6995,,,
77,K00989,,,0.614,,,,,,6.4939,,,
78,K00990,,,0.618,,,,,,5.8989,,,
79,K00997,,,0.647,,,,,,1.4519,,,
80,K01039,,,0.6099999999999999,,,,,,7.2735,,,
81,K01057,,,0.6970000000000001,,,,,,4.3405,,,
82,K01060,,,0.723,,,,,,5.534,,,
83,K01069,,,0.632,,,,,,5.2506,,,
84,K01079,,,0.626,,,,,,5.0323,,,
85,K01104,,,0.644,,,,,,4.6444,,,
86,K01160,,0.603,,,,,,5.5472,,,,
87,K01174,,,0.648,,,,,,4.0331,,,
88,K01206,,,0.444,,,,,,3.8843,,,
89,K01246,,,0.6648701948968803,,,,,,13.6931,,,
90,K01251,,,0.6059687561829112,,,,,,85.2136,,,
91,K01262,,,0.613,,,,,,4.4182,,,
92,K01283,,,0.645,,,,,,6.0,,,
93,K01297,,,0.6059454046730404,,,,,,9.851700000000001,,,
94,K01358,,,0.6442098308206498,,,,,,35.0685,,,
95,K01406,,,0.660063284456822,,,,,,7.3926,,,
96,K01409,,,0.6855526696518093,,,,,,4.8406,,,
97,K01419,,,0.665453610700255,,,,,,21.7357,,,
98,K01424,,,0.56,,,,,,2.4767,,,
99,K01425,,,0.627953265040326,,,,,,17.348,,,
100,K01432,,,0.7440000000000001,,,,,,2.315,,,
101,K01447,,,0.667,,,0.631,,,5.4063,,,7.4618
102,K01448,,,0.7006576214868074,,,,,,12.899899999999999,,,
103,K01449,,,0.6779999999999999,,,,,,4.138,,,
104,K01462,,,0.6660035054287092,,,,,,8.501100000000001,,,
105,K01477,,,0.645,,,,,,4.2374,,,
106,K01478,,,0.68,,,,,,9.1228,,,
107,K01480,,,0.722,,,,,,7.8844,,,
108,K01485,,,0.691,,,,,,2.4586,,,
109,K01495,,,0.583050786128998,,,,,,11.694700000000001,,,
110,K01497,,,0.675,,,,,,9.5039,,,
111,K01507,,,0.6509999999999999,,,,,,4.1753,,,
112,K01515,,,0.6689999999999999,,,,,,3.4853,,,
113,K01520,,,0.684,,,,,,3.6749,,,
114,K01523,,,0.612,,,,,,5.251,,,
115,K01524,,,0.644,,,,,,5.8285,,,
116,K01546,,,0.6187366378983284,,,,,,44.746900000000004,,,
117,K01555,,,0.7440000000000001,,,,,,5.976,,,
118,K01556,,,0.655,,,,,,3.5436,,,
119,K01595,,,0.7149480376841985,,,,,,6.5127,,,
120,K01607,,,0.6116809289880594,,,,,,18.968200000000003,,,
121,K01610,,,0.652,,,,,,5.8867,,,
122,K01619,,,0.6936186725256918,,,,,,11.1348,,,
123,K01620,,,0.6797125913650416,,,,,,9.1019,,,
124,K01621,,,0.6409999999999999,,,,,,27.0942,,,
125,K01623,,,0.615,,,,,,3.2413,,,
126,K01624,,,0.6678272753320521,,,,,,18.0506,,,
127,K01626,,,0.6875180640885064,,,,,,12.415600000000001,,,
128,K01633,,,0.607,,,,,,4.1821,,,
129,K01638,,,0.6594124324369884,,,,,,14.206399999999999,,,
130,K01653,,,0.655774079160432,,,,,,15.930299999999999,,,
131,K01673,,,0.645,,,,,,2.0,,,
132,K01689,,,0.677387248622278,,,,,,35.7947,,,
133,K01698,,,0.718056417349479,,,,,,17.9435,,,
134,K01704,,,0.6056448317216788,,,,,,23.432499999999997,,,
135,K01719,,,0.7164906959324386,,,,,,11.4287,,,
136,K01725,,,0.5660000000000001,,,,,,7.0789,,,
137,K01726,,,0.637,,,,,,3.0742,,,
138,K01733,,,0.6990000000000001,,,,,,6.7248,,,
139,K01736,,,0.701,,,,,,6.1493,,,
140,K01737,,,0.5670000000000001,,,,,,2.1242,,,
141,K01759,,,0.597,,,,,,3.2787,,,
142,K01772,,,0.618998831095344,,,,,,23.214399999999998,,,
143,K01775,,,0.732,,,,,,3.3775,,,
144,K01778,,,0.6729141546872616,,,,,,5.9506,,,
145,K01792,,,0.674,,,,,,3.1,,,
146,K01799,,,0.6822749938747475,,,,,,4.3260000000000005,,,
147,K01803,,,0.6785049481966666,,,,,,11.0136,,,
148,K01804,,,0.674,,,,,,4.3317,,,
149,K01807,,,0.6324757823465038,,,,,,8.0337,,,
150,K01821,,,0.6003933556991776,,,,,,13.4831,,,
151,K01823,,,0.721,,,,,,3.8266,,,
152,K01839,,,0.6403812744436777,,,,,,8.9717,,,
153,K01854,,,0.6829999999999999,,,,,,1.9976,,,
154,K01858,,,0.6409999999999999,,,,,,18.58,,,
155,K01866,,,0.6302116318425964,,,,,,23.4,,,
156,K01867,,,0.6890000000000001,,,,,,5.8818,,,
157,K01872,,,0.6750905342044224,,,,,,15.720199999999998,,,
158,K01874,,,0.6010000000000001,,,,,,7.4451,,,
159,K01875,,,0.6198048162506152,,,,,,9.733699999999999,,,
160,K01880,,,0.658,,,,,,11.5529,,,
161,K01881,,,0.6472584644727265,,,,,,16.0468,,,
162,K01887,,,0.6216677887964261,,,,,,13.066299999999998,,,
163,K01889,,,0.599,,,,,,7.9953,,,
164,K01890,,,0.727,,,,,,5.1993,,,
165,K01915,,,0.6497397487379,,,,,,98.92050000000002,,,
166,K01918,,,0.6437495470222269,,,,,,6.3605,,,
167,K01920,,,0.642,,,,,,7.0306,,,
168,K01923,,,0.59,,,,,,15.4814,,,
169,K01933,,,0.674777819078703,,,,,,17.4166,,,
170,K01937,,,0.663942201483285,,,,,,41.19840000000001,,,
171,K01939,,,0.6753146216593824,,,,,,17.1241,,,
172,K01940,,,0.6354256196833508,,,,,,38.0745,,,
173,K01945,,,0.578,,,,,,1.9255,,,
174,K01951,,,0.621,,,,,,7.0346,,,
175,K01953,,,0.6319632608466312,,,,,,11.686,,,
176,K01971,,,0.659,,,,,,5.6684,,,
177,K01972,,,0.6193990692656992,,,,,,14.4181,,,
178,K01975,,,0.665,,,,,,3.3875,,,
179,K01991,,,0.6920000000000001,,,,,,4.0554,,,
180,K01992,,,0.627,,,,,,4.2782,,,
181,K01997,,,0.600352761936155,,,,,,10.4314,,,
182,K02004,,,0.6423425810890189,,,0.645,,,30.6325,,,6.2051
183,K02015,,,0.6709999999999999,,,,,,4.036,,,
184,K02019,,,0.6779999999999999,,,,,,3.7301,,,
185,K02033,,,0.6859999999999999,,,,,,4.4105,,,
186,K02034,,,0.6899396363049768,,,,,,21.9178,,,
187,K02036,,,0.6629999999999999,,,,,,13.9248,,,
188,K02039,,,0.6709999999999999,,,,,,2.9981,,,
189,K02040,,,0.6268750770824051,,,,,,21.0321,,,
190,K02042,,,0.5870000000000001,,,,,,5.3199,,,
191,K02050,,,0.6351308762785858,,,,,,24.3906,,,
192,K02051,,,0.6436985349865121,,,,,,13.4211,,,
193,K02066,,,0.5618337804171307,,,,,,4.4045000000000005,,,
194,K02067,,,,,,0.688,,,,,,5.1595
195,K02078,,,0.6199110298733205,,,,,,8.6835,,,
196,K02081,,,0.7170000000000001,,,,,,3.9729,,,
197,K02109,,,0.643,,,,,,4.3478,,,
198,K02110,,,0.644,,,,,,4.3478,,,
199,K02113,,,0.5798733903008,,,,,,36.3489,,,
200,K02128,,,,,0.365,,,,,,5.4612,
201,K02171,,,0.397,,,,,,3.8402,,,
202,K02194,,,0.7270182623142483,,,,,,5.8622,,,
203,K02195,,,0.637,,,,,,5.9284,,,
204,K02197,,,0.593,,,,,,4.2409,,,
205,K02199,,,0.618,,,,,,4.1415,,,
206,K02204,,,0.6405368481098751,,,,,,8.7357,,,
207,K02221,,,0.632,,,,,,4.4556,,,
208,K02257,,,0.6037278156481872,,,,,,13.261600000000001,,,
209,K02258,,,0.638,,,,,,4.5319,,,
210,K02276,,,0.623,,,,,,14.686,,,
211,K02277,,,0.6259999999999999,,,,,,4.6038,,,
212,K02278,,,0.598,,,,,,5.4157,,,
213,K02282,,,0.667,,,,,,7.599,,,
214,K02303,,,0.7040000000000001,,,,,,4.7811,,,
215,K02304,,,0.6859999999999999,,,,,,5.7162,,,
216,K02313,,,0.64,,,,,,14.1603,,,
217,K02314,,,0.651955612364545,,,,,,35.1475,,,
218,K02316,,,0.6877229670858912,,,0.664,,,17.2479,,,13.6968
219,K02338,,,0.6312033899831443,,,,,,15.2341,,,
220,K02339,,,0.657,,,,,,6.2687,,,
221,K02340,,,0.7210000000000001,,,,,,8.9222,,,
222,K02343,,,0.7040000000000001,,,,,,5.7161,,,
223,K02356,,,0.6242406364071644,,,,,,13.8903,,,
224,K02357,,,0.59,,,,,,6.1135,,,
225,K02372,,,0.659,,,,,,3.9012,,,
226,K02388,,,0.606,,,,,,6.9037,,,
227,K02389,,,,,,0.6890000000000001,,,,,,4.4766
228,K02393,,,0.634,,,,,,6.1238,,,
229,K02394,,,0.564,,,,,,1.9837,,,
