,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.731,,,,,,,8.5286,,,,
1,K00029,,,0.5807190729103199,,,,,,,15.841999999999999,,,,
2,K00031,,,0.6335778384358319,,,,,,,51.2415,,,,
3,K00033,,,0.6508810958097127,,,,,,,42.731100000000005,,,,
4,K00039,,,0.61,,,,,,,4.6925,,,,
5,K00053,,,0.6179999999999999,,,,,,,7.0613,,,,
6,K00054,,,0.725,,,,,,,5.1322,,,,
7,K00075,,,0.6868029810821824,,,,,,,11.3862,,,,
8,K00077,,,0.6176322764045782,,,,,,,59.51069999999999,,,,
9,K00088,,,0.675,,,,,,,15.4335,,,,
10,K00099,,,0.707508014621695,,,,,,,11.9466,,,,
11,K00111,,,0.685865138080481,,,,,,,6.5328,,,,
12,K00124,,,0.6365961223040338,,,,,,,24.3979,,,,
13,K00127,,,0.5921942210438372,,,,,,,9.0375,,,,
14,K00133,,,0.5925353891364399,,,,,,,18.5952,,,,
15,K00145,,,0.5986357312824522,,,,,,,6.7966,,,,
16,K00161,,,0.5923126455833398,,,,,,,14.1396,,,,
17,K00163,,,0.6587987845181372,,,,,,,185.90109999999999,,,,
18,K00174,,,0.588081634303385,,,,,,,11.2786,,,,
19,K00175,,,0.643351710072038,,,,,,,27.127499999999998,,,,
20,K00215,,,0.635,,,,,,,1.3634,,,,
21,K00227,,,0.633,,,,,,,2.373,,,,
22,K00228,,,0.6626392392892392,,,,,,,11.6719,,,,
23,K00231,,,0.581,,,,,,,2.9331,,,,
24,K00240,,,0.6270757160305787,,,,,,,79.26520000000001,,,,
25,K00241,,,0.507,,,,,,,2.6515,,,,
26,K00242,,,0.621,,,,,,,1.8441,,,,
27,K00273,,,0.705,,,,,,,4.532,,,,
28,K00275,,,0.6785717096390944,,,,,,,26.699599999999997,,,,
29,K00286,,,0.6817741984949887,,,,,,,8.8797,,,,
30,K00297,,,0.6012414481524316,,,,,,,9.455,,,,
31,K00299,,,0.678104778824615,,,,,,,7.247299999999999,,,,
32,K00311,,,0.593,,,,,,,1.4175,,,,
33,K00330,,,0.5997481455174866,,,,,,,40.2657,,,,
34,K00331,,,0.655,,,,,,,13.8292,,,,
35,K00334,,,0.6295950600228262,,,,,,,14.8993,,,,
36,K00337,,,,0.244,,,,,,,9.9102,,,
37,K00338,,,0.6273357786232437,,,,,,,43.9839,,,,
38,K00339,,,0.562,,,,,,,6.1497,,,,
39,K00340,,,0.545,,,,,,,2.0642,,,,
40,K00343,,,,0.2047415809202384,,,,,,,17.4544,,,
41,K00344,,,0.5767758254025124,,,,,,,14.1599,,,,
42,K00375,,,0.542,,,,,,,8.3052,,,,
43,K00384,,,0.579,,,,,,,6.874,,,,
44,K00389,,,0.6122144438279242,,,,,,,3.0845000000000002,,,,
45,K00390,,,0.6608429473574263,,,,,,,12.636700000000001,,,,
46,K00395,,,0.532,,,,,,,2.9284,,,,
47,K00411,,,0.6106059191074732,,,,,,,17.6742,,,,
48,K00412,,,0.607,0.27944357981593176,,,,,,20.4846,16.513399999999997,,,
49,K00413,,,0.6591456655579451,,,,,,,7.9495,,,,
50,K00425,,,0.6286437063008831,,,,,,,85.1173,,,,
51,K00426,,,0.6376537247901944,,,,,,,39.47590000000001,,,,
52,K00428,,,0.5989743185285531,,,,,,,8.2362,,,,
53,K00432,,,0.6068145715665805,0.633,,,,,,21.8696,2.1118,,,
54,K00433,,,0.586825177258654,,,,,,,35.6111,,,,
55,K00449,,,0.616736605391336,,,,,,,12.940900000000001,,,,
56,K00450,,,0.633,,,,,,,2.8244,,,,
57,K00451,,,0.6410431293110319,,,,,,,59.1586,,,,
58,K00457,,,0.6532799489028481,,,,,,,27.227600000000002,,,,
59,K00459,,,0.6885401411545025,,,,,,,42.512,,,,
60,K00496,,,0.648,,,,,,,3.6705,,,,
61,K00507,,,0.5934037314691801,,,,,,,43.9542,,,,
62,K00518,,,0.6579999999999999,,,,,,,13.7732,,,,
63,K00525,,,0.6341685506475909,,,,,,,40.297,,,,
64,K00526,,,0.595,,,,,,,6.8276,,,,
65,K00540,,,0.6654726595295136,,,,,,,20.787499999999998,,,,
66,K00548,,,0.6313203537689651,,,,,,,101.8398,,,,
67,K00549,,,0.6625429961790463,,,,,,,169.17240000000004,,,,
68,K00554,,,0.6807402642903365,,,,,,,21.1353,,,,
69,K00558,,,0.652,,,,,,,3.1369,,,,
70,K00560,,,0.5799969209570093,,,,,,,34.2882,,,,
71,K00570,,,0.6480220539740307,,,,,,,9.4453,,,,
72,K00573,,,0.6227514670718605,,,,,,,19.3218,,,,
73,K00574,,,0.6539049763108664,,,,,,,41.1038,,,,
74,K00598,,,0.7040000000000001,,,,,,,3.4494,,,,
75,K00600,,,0.6437813343341521,,,,,,,47.91530000000001,,,,
76,K00602,,,0.6489029496281821,,,,,,,14.8181,,,,
77,K00606,,0.612,0.6659608471607626,,,,,,3.7244,26.1364,,,,
78,K00609,,,0.6486107985259921,,,,,,,26.3091,,,,
79,K00613,,,0.5299840444994945,,,,,,,9.5847,,,,
80,K00616,,,0.5870000000000001,,,,,,,3.1519,,,,
81,K00619,,,0.609,,,,,,,2.4953,,,,
82,K00620,,,0.6903181827118866,,,,,,,12.4017,,,,
83,K00626,,,0.643830505717453,,,,,,,64.1746,,,,
84,K00635,,,0.6567837176288046,,,,,,,57.50300000000001,,,,
85,K00640,,,0.6046677273839913,,,,,,,4.212,,,,
86,K00641,,,0.6564911182644295,,,,,,,62.8556,,,,
87,K00655,,,0.6886524448679613,,,,,,,12.0821,,,,
88,K00657,,,0.6555282733004252,,,,,,,7.7385,,,,
89,K00661,,,0.551,,,,,,,5.9297,,,,
90,K00674,,,0.6994653742992296,,,,,,,27.8313,,,,
91,K00677,,,0.6083437113142862,,,,,,,11.882200000000001,,,,
92,K00682,,,0.6568542654624059,,,,,,,7.191,,,,
93,K00684,,,0.639,,,,,,,2.9853,,,,
94,K00688,0.603,,0.6079374967693569,,,,,6.5598,,79.0836,,,,
95,K00700,,,0.6350017645560108,,,,,,,31.7971,,,,
96,K00703,,,0.6085179682312682,,,,,,,12.8857,,,,
97,K00721,,,0.7140000000000001,,,,,,,2.7396,,,,
98,K00748,,,0.662,,,,,,,5.09,,,,
99,K00759,,,0.6264809723022068,,,,,,,18.7162,,,,
100,K00760,,,0.6605437827684952,,,,,,,12.361600000000001,,,,
101,K00763,,,0.7097535688096454,,,,,,,5.5917,,,,
102,K00764,,,0.6426503301128389,,,,,,,34.49269999999999,,,,
103,K00765,,,0.677,,,,,,,8.1518,,,,
104,K00766,,,0.674075812879219,,,,,,,18.933,,,,
105,K00768,,,0.6991055846008835,,,,,,,14.3804,,,,
106,K00783,,,0.58602081758988,,,,,,,4.3644,,,,
107,K00784,,,0.721125509334554,,,,,,,8.497900000000001,,,,
108,K00789,,,0.6683597114813432,,,,,,,171.5005,,,,
109,K00790,,,0.6639181454721288,,,,,,,39.4459,,,,
110,K00793,,,0.6725821965658364,,,,,,,16.6161,,,,
111,K00794,,,0.6685077467999812,,,,,,,18.8418,,,,
112,K00797,,,0.6455849579359152,,,,,,,9.6939,,,,
113,K00798,,,0.6533842785855057,,,,,,,8.947000000000001,,,,
114,K00799,,,0.6207638969764243,,,,,,,102.6822,,,,
115,K00800,,,0.634,,,,,,,2.1801,,,,
116,K00808,,,0.6340419670295341,,,,,,,15.7631,,,,
117,K00809,,,0.6768710240522726,,,,,,,11.4255,,,,
118,K00820,,,0.6389202546011451,,,,,,,21.173,,,,
119,K00826,,,0.6579999999999999,,,,,,,7.8554,,,,
120,K00831,,,0.5992709862395607,,,,,,,11.2466,,,,
121,K00851,,,0.6387456642378178,,,,,,,10.2595,,,,
122,K00857,,,0.606,,,,,,,3.276,,,,
123,K00858,,,0.6732629668080399,,,,,,,26.0771,,,,
124,K00859,,,0.6669936125152013,0.547,,,,,,13.6875,2.2907,,,
125,K00873,,,0.6195158341385997,,,,,,,36.804899999999996,,,,
126,K00886,,,0.7,,,,,,,7.9456,,,,
127,K00919,,,0.6576621314119562,,,,,,,9.4835,,,,
128,K00925,,,0.6475944090712636,,,,,,,29.6307,,,,
129,K00926,,,0.6809999999999999,,,,,,,5.5232,,,,
130,K00927,,,0.6118075701331169,,,,,,,42.1742,,,,
131,K00930,,,0.716,,,,,,,6.6728,,,,
132,K00931,,,0.6859999999999999,,,,,,,9.511,,,,
133,K00936,,,0.6802781828996789,,,,,,,20.0377,,,,
134,K00939,,,0.7124146615069533,,,,,,,6.1530000000000005,,,,
135,K00940,,,0.629709937864091,,,,,,,10.2253,,,,
136,K00942,,,0.5529999999999999,,,,,,,2.6083,,,,
137,K00943,,,0.6315576360282789,,,,,,,47.372,,,,
138,K00945,,,0.6647459323279528,,,,,,,24.913200000000003,,,,
139,K00946,,,0.627,,,,,,,2.2211,,,,
140,K00948,,,0.6451961457731111,,,,,,,63.619699999999995,,,,
141,K00950,,,0.701,,,,,,,1.9398,,,,
142,K00954,,,0.6138469566615932,,,,,,,19.426,,,,
143,K00957,,,0.6551794495794324,,,,,,,35.1727,,,,
144,K00962,,,0.613,,,,,,,15.0602,,,,
145,K00963,,,0.6495374022094331,,,,,,,19.3422,,,,
146,K00969,,,0.6617823129599575,,,,,,,8.978,,,,
147,K00971,,,0.617,,,,,,,2.4958,,,,
148,K00975,,,0.6684864726231138,,,,,,,16.3802,,,,
149,K00978,,,0.601,,,,,,,1.917,,,,
150,K00979,,,0.565,,,,,,,3.3611,,,,
151,K00981,,,0.578504140637624,,,,,,,12.026699999999998,,,,
152,K00982,,,0.753154501767518,,,,,,,10.739,,,,
153,K00986,,,0.5823559091808999,0.373,,,,,,758.0276,3.7843,,,
154,K00989,,,0.682020658451061,,,,,,,23.0269,,,,
155,K00990,,,0.6558052575500576,,,,,,,44.91049999999999,,,,
156,K00997,,,0.5539999999999999,,,,,,,3.9368,,,,
157,K01000,,,0.6213150483751815,,,,,,,7.8331,,,,
158,K01005,,,0.6752594634422261,,,,,,,11.0078,,,,
159,K01008,,,0.5720499622259861,,,,,,,9.295,,,,
160,K01012,,,0.654,,,,,,,4.9478,,,,
161,K01028,,,0.625,,,,,,,18.5129,,,,
162,K01039,,,0.578,,,,,,,2.2364,,,,
163,K01040,,,0.6526517003569536,,,,,,,12.6481,,,,
164,K01042,,,0.691,,,,,,,3.4575,,,,
165,K01051,,,0.674,,,,,,,2.2268,,,,
166,K01056,,,0.6332870375404344,,,,,,,15.806799999999999,,,,
167,K01057,,,0.5954178523428292,,,,,,,3.6087,,,,
168,K01060,,,0.705,,,,,,,5.3716,,,,
169,K01061,,,0.6151348133825586,,,,,,,54.7993,,,,
170,K01069,,,0.6251086795218682,,,,,,,19.124699999999997,,,,
171,K01077,,,0.6353647805699241,,,,,,,8.2775,,,,
172,K01079,,,0.679,,,,,,,3.3783,,,,
173,K01091,,,0.594,,,,,,,2.0424,,,,
174,K01095,,,0.79,,,,,,,2.2161,,,,
175,K01104,,,0.743,,,,,,,3.1182,,,,
176,K01113,,,0.639,,,,,,,2.1667,,,,
177,K01114,,,0.657,,,,,,,8.2158,,,,
178,K01118,,,0.5736693124306657,,,,,,,46.395199999999996,,,,
179,K01129,,,0.6538397979950493,,,,,,,12.4649,,,,
180,K01142,,,0.5660000000000001,,,,,,,10.382,,,,
181,K01151,,,0.6725172521864999,,,,,,,13.473600000000001,,,,
182,K01153,,,0.6462638401024107,,,,,,,4.3508,,,,
183,K01159,,,0.6389850764671728,,,,,,,12.2966,,,,
184,K01173,,,0.644,,,,,,,3.326,,,,
185,K01179,,,0.6073948787440041,,,,,,,5.1782,,,,
186,K01181,,,0.6432358837960053,,,,,,,12.0461,,,,
187,K01206,0.5589999999999999,,0.5926688935763184,,,,,6.5843,,15.164200000000001,,,,
188,K01209,,,0.6279057545370076,0.687,,,,,,9.2414,3.5075,,,
189,K01233,,,0.4769999999999999,,,,,,,2.726,,,,
190,K01239,,,0.5586378729637418,,,,,,,10.7844,,,,
191,K01241,,,0.679,,,,,,,5.5564,,,,
192,K01246,,,0.6252724800958944,,,,,,,44.5937,,,,
193,K01251,,,0.6360774141036121,,,,,,,287.3765,,,,
194,K01259,0.624,,0.6632663119341835,,,,,4.2584,,14.558599999999998,,,,
195,K01265,,,0.6568927909505913,,,,,,,67.83080000000001,,,,
196,K01266,,,0.6243053262013596,,,,,,,17.1784,,,,
197,K01273,,,0.5963401352363654,,,,,,,35.908500000000004,,,,
198,K01283,,,0.6064973126021719,,,,,,,4.2358,,,,
199,K01286,,,0.6099348484226365,,,,,,,6.7349,,,,
200,K01297,,,0.6318832005924794,,,,,,,7.1624,,,,
201,K01303,,,0.682,,,,,,,4.9898,,,,
202,K01356,,,0.56,,,,,,,2.9062,,,,
203,K01358,,,0.5978929911450869,,,,0.608,,,86.40480000000001,,,,10.7712
204,K01372,,,0.6890000000000001,,,,,,,5.8521,,,,
205,K01406,,,0.701,,,,,,,1.7754,,,,
206,K01409,,,0.6528534583645348,,,,,,,11.1053,,,,
207,K01419,,,0.6441332071841094,,,,,,,6.605700000000001,,,,
208,K01424,,,0.6033594020792455,,,,,,,9.4727,,,,
209,K01425,,,0.5783819683988505,,,,,,,4.4431,,,,
210,K01426,,,0.6415289839070241,,,,,,,6.0091,,,,
211,K01429,,,0.637,,,,,,,12.0141,,,,
212,K01430,,,0.6358346814156072,,,,,,,21.9434,,,,
213,K01447,,,0.469,,,,,,,3.4058,,,,
214,K01448,,,0.6102004795450039,,,,0.524,,,33.5924,,,,3.3193
215,K01455,,,0.6004269191867897,,,,,,,24.430500000000002,,,,
216,K01458,,,0.664,,,,,,,4.8059,,,,
217,K01462,,,0.6113131017015176,,,,,,,36.4876,,,,
218,K01470,,,0.6536899751635977,,,,,,,5.821400000000001,,,,
219,K01477,,,0.716,,,,,,,4.0698,,,,
220,K01478,,,0.699880270793158,,,,,,,11.210400000000002,,,,
221,K01480,,,0.74,,,,,,,7.8791,,,,
222,K01482,,,0.72,,,,,,,3.2106,,,,
223,K01483,,,0.6632692303966502,,,,,,,6.1479,,,,
224,K01485,,,0.6970000000000001,,,,,,,2.5556,,,,
225,K01488,,,0.667,,,,,,,7.554,,,,
226,K01489,,,0.516620300576307,,,,,,,5.509399999999999,,,,
227,K01494,,,0.6162046253961881,,,,,,,46.796099999999996,,,,
228,K01495,,,0.6293418154219754,,,,0.509,,,31.265,,,,1.9504
229,K01496,,,0.6630164970198981,,,,,,,19.4652,,,,
230,K01497,,,0.6332795670912309,,,,,,,39.1245,,,,
231,K01501,,,0.7020000000000001,,,,,,,2.8931,,,,
232,K01507,,,0.6843915195747908,,,,,,,28.7179,,,,
233,K01520,,,,0.45368267928577727,,,,,,,15.574000000000002,,,
234,K01523,,,0.6459999999999999,,,,,,,2.5763,,,,
235,K01545,,,0.578,,,,,,,3.5049,,,,
236,K01546,,,0.6496781650704732,,,,,,,61.395300000000006,,,,
237,K01551,,,0.7120000000000001,,,,,,,11.1294,,,,
238,K01555,,,0.7199999999999999,,,,,,,4.0343,,,,
239,K01561,,,0.6142729740613464,,,,,,,19.0477,,,,
240,K01563,,,0.556,,,,,,,5.2566,,,,
241,K01569,,,0.601216945995941,,,,,,,21.459,,,,
242,K01574,,,0.6271988361169644,,,,,,,8.7152,,,,
243,K01581,,,0.6636589175085486,,,,,,,17.653100000000002,,,,
244,K01588,,,0.6625442355799475,,,,,,,11.1589,,,,
245,K01589,,,0.598,,,,,,,2.1951,,,,
246,K01595,,,0.6547774226533977,,,,,,,45.736,,,,
247,K01596,,,0.649,,,,,,,3.4021,,,,
248,K01607,,,0.618020331752529,0.6990000000000001,,,0.708,,,34.235400000000006,2.6928,,,5.8547
249,K01610,,,0.633541458366427,,,,,,,67.3569,,,,
250,K01613,,,0.6432373561792799,,,,,,,11.7935,,,,
251,K01619,,,0.6940551971381014,,,,,,,9.1689,,,,
252,K01620,,,0.5865858976716841,,,,,,,11.377,,,,
253,K01621,,,0.5925658683734778,0.578,,,,,,137.9144,6.4863,,,
254,K01623,,,0.6565895476349277,,,,,,,13.9889,,,,
255,K01624,,,0.655511368605453,,,,,,,38.7418,,,,
256,K01626,,,0.685049323753606,,,,,,,45.8399,,,,
257,K01627,,,0.6509151208822371,,,,,,,19.4062,,,,
258,K01633,,,0.6271568492098115,,,,,,,7.5647,,,,
259,K01637,,,0.6547400011735961,,,,,,,50.9319,,,,
260,K01638,,,0.6527362719744036,,,,,,,75.3195,,,,
261,K01640,,,0.657,,,,,,,5.9454,,,,
262,K01644,,,0.6600251715745189,,,,,,,9.8728,,,,
263,K01653,,,0.6431689144746269,,,,,,,43.22899999999999,,,,
264,K01661,,,0.693,,,,,,,9.2462,,,,
265,K01673,,,0.5938918641948163,,,,,,,19.0402,,,,
266,K01676,,,0.642,,,,,,,9.4029,,,,
267,K01686,,,0.5887700422568845,,,,,,,5.78,,,,
268,K01689,,,0.661719252843451,,,,,,,68.61189999999999,,,,
269,K01695,,,0.5890418356026222,,,,,,,4.0007,,,,
270,K01698,,,0.6570363264016481,,,,,,,49.853,,,,
271,K01704,,,0.5975472786687672,,,,,,,50.45420000000001,,,,
272,K01711,,,0.5657570157903129,,,,,,,9.3266,,,,
273,K01712,,,0.693,,,,,,,11.9238,,,,
274,K01716,,,0.6383754265381638,,,,,,,6.3486,,,,
275,K01719,,,0.7250715944645961,,,,,,,11.4739,,,,
276,K01720,,,0.575,,,,,,,2.3201,,,,
277,K01724,,,0.5628169873255772,,,,,,,26.233800000000002,,,,
278,K01725,,,0.594,,,,,,,14.2155,,,,
279,K01726,,,0.621,,,,,,,4.8713,,,,
280,K01733,,,0.6911809162646427,,,,,,,38.4066,,,,
281,K01736,,,0.6304701783982979,,,,,,,17.2297,,,,
282,K01737,,,0.6081401597872842,,,,,,,56.397200000000005,,,,
283,K01740,,,0.642,,,,,,,5.9332,,,,
284,K01749,,,0.6354412921950574,,,,,,,9.9829,,,,
285,K01752,,,0.6433027956301208,,,,,,,27.0545,,,,
286,K01754,,,0.6871475269112727,,,,,,,12.6856,,,,
287,K01755,,,0.6453865520722466,,,,,,,51.5838,,,,
288,K01772,,,0.6176873469804499,,,,,,,12.2928,,,,
289,K01775,,,0.6270920547330413,,,,,,,4.3146,,,,
290,K01776,,,0.6111565493650958,,,,,,,4.4747,,,,
291,K01778,,,0.6963137352674796,,,,,,,7.6894,,,,
292,K01785,,,0.6078675760283696,,,,,,,21.3044,,,,
293,K01790,,,0.6873576579881913,,,,,,,8.113299999999999,,,,
294,K01792,,,0.67,,,,,,,3.8763,,,,
295,K01799,,,0.6154224113933305,,,,,,,12.8525,,,,
296,K01800,,,0.6275958828641768,,,,,,,6.2138,,,,
297,K01802,,,0.687,,,,,,,7.1043,,,,
298,K01803,,,0.64772482573263,,,,,,,14.257399999999997,,,,
299,K01804,,,0.708,,,,,,,9.0645,,,,
300,K01805,,,0.424,,,,,,,2.1638,,,,
301,K01807,,,0.686115255878364,,,,,,,5.6109,,,,
302,K01808,,,0.588,,,,,,,1.7137,,,,
303,K01809,,,0.6459999999999999,,,,,,,3.5959,,,,
304,K01810,,,0.6284483616903725,,,,,,,51.63309999999999,,,,
305,K01815,,,0.58,,,,,,,1.8639,,,,
