,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6199154924136903,,,,,10.982199999999999,,
1,K00012,,,0.5538612126758826,,,,,16.0812,,
2,K00014,,,0.5960617881314371,,,,,12.3498,,
3,K00031,,,0.5921638801051783,,,,,48.1416,,
4,K00033,,,0.6112699511890077,,,,,118.5079,,
5,K00036,,,0.5866471979449186,,,,,39.9022,,
6,K00052,,,0.6304321965380721,,,,,10.8646,,
7,K00053,,,0.6056915042216107,,,,,83.3914,,
8,K00054,,0.55,,,,,3.277,,,
9,K00057,,,0.6076430123411242,,,,,15.7669,,
10,K00058,,,0.597,,,,,14.43,,
11,K00059,,,0.5747054799910423,,,,,34.4039,,
12,K00060,,,0.5777870293446827,,,,,15.4341,,
13,K00067,,0.564,0.5963431160078116,,,,5.5234,91.94610000000002,,
14,K00075,,,0.6266423780586184,,,,,88.42989999999999,,
15,K00077,,,0.6096795928790317,,0.618,,,237.04,,6.6902
16,K00078,,,0.6829999999999999,,,,,4.7143,,
17,K00088,,,0.6124117588967741,,,,,48.990300000000005,,
18,K00091,,,0.6127108993219307,,,,,25.561,,
19,K00096,,0.615,0.741,,,,3.236,2.735,,
20,K00099,,,0.6057503066624164,,,,,116.5665,,
21,K00104,,,0.502,,,,,4.8453,,
22,K00111,,,0.6237463211254043,,,,,116.0368,,
23,K00112,,,0.503,,,,,6.8438,,
24,K00113,,,0.588,,,,,8.0865,,
25,K00116,,,0.589,,,,,1.7534,,
26,K00124,,,0.5892992258271805,,,,,118.74259999999998,,
27,K00125,,,0.49299999999999994,,,,,5.0421,,
28,K00127,,,0.5938576028772394,,,,,63.805399999999985,,
29,K00133,,,0.6259115170292491,,,,,17.5978,,
30,K00134,,,0.573809009429831,,,,,24.1746,,
31,K00145,,,0.5809037020487068,,,,,76.2569,,
32,K00150,,0.682,,,,,5.0944,,,
33,K00161,,,0.5720000000000001,,,,,7.2635,,
34,K00163,,,0.6138372731650282,,,,,465.09110000000004,,
35,K00169,,,0.529,,,,,7.056,,
36,K00170,,,0.523,,,,,4.8658,,
37,K00171,,,0.5144235276050689,,,,,12.245000000000001,,
38,K00172,,,0.5031260638481759,,,,,12.1807,,
39,K00174,,0.589,0.5969627910813982,,,,3.7217,96.2608,,
40,K00175,,0.612,0.5743843428028836,,,,5.115,82.3879,,
41,K00176,,,0.5166881492878111,,,,,39.9255,,
42,K00177,,,0.5866514821864554,,,,,89.15429999999999,,
43,K00180,,,0.478,,,,,5.1582,,
44,K00194,,,0.504,,,,,5.3254,,
45,K00208,,,0.6007116318679068,,,,,25.298000000000002,,
46,K00209,,,0.5938351712747073,,,,,15.732199999999999,,
