,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6303836643005366,,,,,,,15.138499999999999,,,,
1,K00010,,,0.6087800664999732,,,,,,,23.0823,,,,
2,K00012,,,0.5874088858151001,,,,,,,44.096,,,,
3,K00014,,,0.6194345281963848,,,,,,,11.7208,,,,
4,K00019,,,0.539,,,,,,,5.3563,,,,
5,K00020,,,0.6041653057178074,,,,,,,86.45850000000002,,,,
6,K00024,,,0.5958377273962623,,,,,,,22.7882,,,,
7,K00029,,,0.5831622198392928,,,,,,,25.2173,,,,
8,K00030,,,0.5641891346491367,,,,,,,24.626,,,,
9,K00031,,,0.568,,,,,,,15.9179,,,,
10,K00033,,,0.6124781131822692,,,,,,,116.5325,,,,
11,K00034,,,0.581,,,,,,,5.8068,,,,
12,K00036,,,0.5792158711344385,,,,,,,61.6234,,,,
13,K00052,,,0.6111325038356682,,,,,,,42.7029,,,,
14,K00053,,,0.6108560918987218,,,,,,,80.96979999999999,,,,
15,K00055,,,0.5329999999999999,,,,,,,6.2844,,,,
16,K00057,,,0.659,,,,,,,5.2162,,,,
17,K00058,,,0.6359762504612552,,,,,,,45.014700000000005,,,,
18,K00059,,,0.6008404388870416,,,,,,,157.8344,,,,
19,K00060,,,0.5837233715119455,,,,,,,26.8996,,,,
20,K00064,,,0.607,,,,,,,4.8263,,,,
21,K00065,,,0.6029999999999999,,,,,,,4.5064,,,,
22,K00067,,,0.5829349099763592,,,,,,,48.242399999999996,,,,
23,K00073,,,0.598,,,,,,,5.2892,,,,
24,K00074,,,0.5881368751301455,,,,,,,30.9775,,,,
25,K00075,,,0.6154204607583307,,,,,,,53.1651,,,,
26,K00077,,,0.6158682946532287,,,,0.643,,,116.7823,,,,8.1456
27,K00088,,,0.6063015819685238,,,,,,,70.2561,,,,
28,K00091,,,0.6292717877844114,,,,,,,40.8682,,,,
29,K00099,,,0.602854489398759,,,,,,,95.02959999999997,,,,
30,K00108,,,0.601,,,,,,,16.6107,,,,
31,K00111,,,0.5978858135438323,,,,,,,83.5947,,,,
32,K00113,,,0.627,,,,,,,8.3539,,,,
33,K00116,,,0.5979691387845673,,,,,,,23.939500000000002,,,,
34,K00118,,,0.5925315195781643,,,,,,,12.3462,,,,
35,K00122,,,0.603,,,,,,,5.4924,,,,
36,K00124,,,0.5729709795624126,,,,,,,70.0013,,,,
37,K00126,,,0.586917412889511,,,,,,,11.071399999999999,,,,
38,K00127,,,0.5720285777303843,,,,,,,33.6667,,,,
39,K00128,,,0.5877323107187287,,,,,,,26.0905,,,,
40,K00130,,,0.5877323107187287,,,,,,,26.0905,,,,
41,K00133,,,0.6299610837915217,,,,,,,38.8147,,,,
42,K00134,,,0.567,,,,,,,23.4884,,,,
43,K00140,,,0.5869404433177138,,,,,,,25.6896,,,,
44,K00145,,,0.6176423525977426,,,,,,,67.46750000000002,,,,
45,K00148,,,0.562,,,,,,,7.2091,,,,
46,K00156,,,0.56,,,,,,,8.4416,,,,
47,K00161,,,0.542,,,,,,,6.6351,,,,
48,K00163,,,0.6035969881882333,,,,,,,222.29830000000004,,,,
49,K00174,,,0.6074219485875306,,,,,,,72.51400000000001,,,,
50,K00175,,,0.6023812635989868,,,,,,,42.9862,,,,
51,K00180,,,0.6900000000000001,,,,,,,3.5385,,,,
52,K00202,,,0.667,,,,,,,2.1268,,,,
53,K00208,,,0.5914069700018019,,,,,,,34.9283,,,,
54,K00215,,,0.632919334599078,,,,,,,23.3628,,,,
55,K00228,,,0.6651718044782057,,,,,,,10.6538,,,,
56,K00231,,,0.6116655231461916,,,,0.679,,,76.36110000000001,,,,6.7976
57,K00239,,,0.578,,,,,,,20.0848,,,,
58,K00240,,,0.5917806831399044,,,,,,,76.25720000000001,,,,
59,K00241,,,0.5822058440883643,,,,,,,61.90040000000001,,,,
60,K00248,,,0.6,,,,,,,5.1982,,,,
61,K00249,,,0.6117255719435856,,,,,,,107.87130000000002,,,,
62,K00252,,,0.5859342351884648,,,,,,,38.6828,,,,
63,K00254,,,0.6631583094150626,,,,,,,19.8684,,,,
64,K00259,,,0.6548352312109531,,,,,,,21.1049,,,,
65,K00261,,,0.574,,,,,,,15.9385,,,,
66,K00275,,,0.6302704859025272,0.563,,,,,,21.3587,2.7396,,,
67,K00282,,,0.6219480315578616,,,,,,,25.9617,,,,
68,K00283,,,0.583,,,,,,,8.3825,,,,
69,K00286,,,0.6359438700845405,,,,,,,88.2648,,,,
70,K00287,,,0.685,,,,,,,2.2528,,,,
71,K00297,,,0.6631743027995951,,,,,,,25.4355,,,,
72,K00304,,,0.6559999999999999,,,,,,,3.5919,,,,
73,K00311,,,0.606,,,,,,,5.7866,,,,
74,K00316,,,0.5862736162140586,,,,,,,31.9919,,,,
75,K00318,,,0.612,,,,,,,17.8453,,,,
76,K00320,,0.635,0.631,,,,,,8.0986,8.025,,,,
77,K00322,,,0.5882624403447638,,,,,,,61.4721,,,,
78,K00324,,,0.6321263499568828,,,,,,,12.7149,,,,
79,K00326,,,0.546,,,,,,,11.1252,,,,
80,K00330,,,0.5516071237535765,,,,,,,100.1333,,,,
81,K00331,,,0.5963438329782557,,,,,,,76.3187,,,,
82,K00332,,,0.6177957321304758,,,,,,,37.286699999999996,,,,
