,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_countsUnclassified
0,K00053,,0.638,,,,,10.2262,,,
1,K00088,,0.604,,,,,4.3056,,,
2,K00111,,0.7202038864713538,,,,,9.0843,,,
3,K00116,,0.618,,,,,5.6439,,,
4,K00124,,0.588,,,,,5.8894,,,
5,K00163,,0.655772463660534,,,,,21.9653,,,
6,K00174,,0.604,,,,,3.3101,,,
7,K00175,,0.556,,,,,3.4808,,,
8,K00215,,0.598,,,,,3.9986,,,
9,K00241,,0.54,,,,,3.6081,,,
10,K00254,,0.586,,,,,3.9531,,,
11,K00275,,0.542,,,,,2.9479,,,
12,K00286,,0.6040790455392621,,,,,7.8071,,,
13,K00330,,0.5409484534793527,,,,,6.8179,,,
14,K00338,,0.58,,,,,3.4571,,,
15,K00340,,0.6243026744572343,,,,,12.8798,,,
16,K00343,,,0.187,,,,,10.5509,,
17,K00344,,0.602,,,,,3.553,,,
18,K00363,,0.532,,,,,4.536,,,
19,K00406,,0.5920000000000001,,,,,5.6539,,,
20,K00412,,,0.277,,,,,12.6203,,
21,K00425,,0.5972129683265991,,,,,6.5578,,,
22,K00426,,0.5963183301298547,,,,,5.939,,,
23,K00428,,0.6288369819413866,,,,,6.6802,,,
24,K00446,,0.599,,,,,4.0714,,,
25,K00449,,0.536,,,,,2.7075,,,
26,K00453,,0.561,,,,,2.5642,,,
27,K00456,,0.53,,,,,3.6861,,,
28,K00457,,,,,0.551,,,,,1.8452
29,K00540,,0.603,,,,,4.3063,,,
30,K00548,,0.563,,,,,4.247,,,
31,K00549,,0.584943040507077,,,,,8.651299999999999,,,
32,K00554,,0.6821692209654804,,,,,7.1316999999999995,,,
33,K00560,,0.5539999999999999,,,,,5.7087,,,
34,K00574,,0.634,,,,,1.4876,,,
35,K00575,,0.562,,,,,6.049,,,
36,K00600,,0.6309073988207855,,,,,9.267299999999999,,,
37,K00602,,0.6135423029901368,,,,,7.2155000000000005,,,
38,K00615,,0.5920000000000001,,,,,3.0351,,,
39,K00626,,0.691,,,,,3.1657,,,
40,K00635,,0.652,,,,,4.8589,,,
41,K00641,,0.5769292806484296,,,,,10.4165,,,
42,K00677,,0.602,,,,,4.3169,,,
43,K00684,,0.5720000000000001,,,,,4.1969,,,
44,K00688,,0.5765341571826138,,,,,14.9583,,,
45,K00700,,0.682,,,,,11.6933,,,
46,K00720,,0.677,,,,,2.2752,,,
47,K00721,,0.5579999999999999,,,,,3.8445,,,
48,K00759,,0.6118394747663918,,,,,11.389899999999999,,,
49,K00764,,0.6330562976153025,,,,,15.4817,,,
50,K00766,,0.654,,,,,3.4107,,,
51,K00773,,0.536,,,,,3.6939,,,
52,K00783,,0.591,,,,,2.7697,,,
53,K00788,,0.626,,,,,2.7825,,,
54,K00789,,0.6215533420379825,,,,,18.241100000000003,,,
55,K00790,,0.588,,,,,4.2129,,,
56,K00799,,0.637,,,,,3.4627,,,
57,K00820,,0.56,,,,,4.238,,,
58,K00826,,0.654,,,,,7.4791,,,
59,K00858,,0.6,,,,,4.4087,,,
60,K00912,,0.618,,,,,2.8127,,,
61,K00927,,0.5506425246460096,,,,,8.3016,,,
62,K00939,,0.698,,,,,4.6708,,,
63,K00940,,0.674,,,,,5.0578,,,
64,K00943,,0.598,,,,,2.9942,,,
65,K00948,,0.583,,,,,3.4268,,,
66,K00986,,0.5848156094206355,0.5760000000000001,,,,99.05499999999999,6.7592,,
67,K00989,,0.62,,,,,3.3337,,,
68,K01000,,0.565,,,,,4.7394,,,
69,K01006,,0.614,,,,,4.4514,,,
70,K01008,,0.602,,,,,4.069,,,
71,K01056,,0.5710000000000001,,,,,1.9595,,,
72,K01061,,0.5866205678505659,,,,,5.0418,,,
73,K01095,,0.574,,,,,2.4018,,,
74,K01129,,0.657,,,,,3.774,,,
75,K01173,,0.609,,,,,4.5973,,,
76,K01179,,0.56,,,,,3.7751,,,
77,K01207,,0.639,,,,,3.6355,,,
78,K01246,,0.502,,,,,2.6877,,,
79,K01251,,0.6107944750645904,,,,,42.443,,,
80,K01259,,0.546,,,,,2.9625,,,
81,K01273,,0.5838234852288317,,,,,7.4519,,,
82,K01283,,0.5589999999999999,,,,,4.9514,,,
83,K01297,0.527,,,,,4.0301,,,,
84,K01304,,0.638,,,,,2.9395,,,
85,K01358,,0.514,,,,,3.9037,,,
86,K01409,,0.604,,,,,3.3213,,,
87,K01419,,0.635,,,,,2.3683,,,
88,K01423,,0.6099999999999999,,,,,3.3233,,,
89,K01426,,0.5920525887476125,,,,,8.9316,,,
90,K01462,,0.62,,,,,4.1716,,,
91,K01485,,0.552,,,,,3.7448,,,
92,K01489,,0.561,,,,,4.0122,,,
93,K01495,,0.667,,,,,5.314,,,
94,K01520,,,,0.622,,,,,2.7781,
95,K01525,,0.696,,,,,3.524,,,
