,KEGG,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00053,0.633,,,,12.0317,,,
1,K00099,0.688,,,,6.8711,,,
2,K00389,0.721,,,,4.0171,,,
3,K00432,0.6829999999999999,,,,4.5433,,,
4,K00507,0.601,,,,2.7799,,,
5,K00540,0.692528545213088,,,,9.9698,,,
6,K00549,0.6901654664049317,,,,14.3507,,,
7,K00759,0.64,,,,7.4331,,,
8,K00783,0.71,,,,1.4576,,,
9,K00936,0.73,,,,7.6424,,,
10,K00948,0.6904008622091938,,,,19.5214,,,
11,K00975,0.682,,,,15.7527,,,
12,K00986,0.5991647146183811,,,,229.73839999999998,,,
13,K01008,0.742,,,,4.0074,,,
14,K01057,0.7340000000000001,,,,6.6034,,,
15,K01061,0.6940000000000001,,,,6.207,,,
16,K01241,0.6729999999999999,,,,6.1052,,,
17,K01251,0.607,,,,6.3506,,,
18,K01358,0.6587216584134055,,,,16.1622,,,
19,K01447,0.521,,,,4.1469,,,
20,K01495,0.5539999999999999,,,,3.2053,,,
21,K01496,0.684,,,,9.5327,,,
22,K01579,0.674,,,,5.1452,,,
23,K01611,0.735,,,,3.0047,,,
24,K01621,0.667,,,,18.6935,,,
25,K01624,0.664,,,,9.9868,,,
26,K01638,0.6749999999999999,,,,6.9087,,,
27,K01749,0.634,,,,3.1135,,,
28,K01759,0.6829999999999999,,,,4.0653,,,
29,K01803,0.6890000000000001,,,,4.349,,,
30,K01805,0.6940000000000001,,,,10.6113,,,
31,K01810,0.684,,,,15.0414,,,
32,K01821,0.7330000000000001,,,,5.9892,,,
33,K01834,0.698,,,,7.9413,,,
34,K01867,0.7120000000000001,,,,11.7681,,,
35,K01868,0.6920000000000001,,,,9.0496,,,
36,K01875,0.7180089240659846,,,,10.5064,,,
37,K01923,0.687,,,,4.7022,,,
38,K01951,0.6729999999999999,,,,14.3157,,,
39,K02004,0.6289920062486175,,,,9.0515,,,
40,K02026,0.665,,,,5.5971,,,
41,K02050,0.6168263607499644,,,,13.3062,,,
42,K02197,0.669,,,,2.3915,,,
43,K02224,0.757,,,,3.8838,,,
44,K02259,0.461,,,,2.6514,,,
45,K02282,0.659,,,,8.3108,,,
46,K02314,0.6909999999999998,,,,3.3481,,,
47,K02338,0.488,,,,4.6265,,,
48,K02357,0.629,,,,5.0234,,,
49,K02372,0.632,,,,3.1381,,,
50,K02414,0.721,,,,2.2059,,,
51,K02492,0.753,,,,6.9012,,,
52,K02834,0.6609999999999999,,,,2.8305,,,
53,K02892,0.68,,,,7.6223,,,
54,K02911,0.612,,,,3.0469,,,
55,K02935,0.6599823217442546,,,,11.7906,,,
56,K02939,0.6859999999999999,,,,10.047,,,
57,K02946,0.6459999999999999,,,,14.4898,,,
58,K02963,0.6459999999999999,,,,10.047,,,
59,K02967,0.541,,,,8.5306,,,
60,K02982,0.669,,,,9.2289,,,
61,K02992,0.6729999999999999,,,,4.6361,,,
62,K03060,0.644,,,,8.7604,,,
63,K03088,0.7255550653224988,,,,21.0844,,,
64,K03111,0.6200335145053983,,,,10.1706,,,
65,K03118,0.6651932357870417,,,,14.5917,,,
66,K03151,0.6984754605574176,,,,10.560500000000001,,,
67,K03286,0.598,,,,2.8142,,,
68,K03335,0.718,,,,6.7017,,,
69,K03426,0.733,,,,3.4028,,,
70,K03521,0.657,,,,2.7823,,,
71,K03525,0.625,,,,7.9051,,,
72,K03526,0.685,,,,5.0623,,,
73,K03544,0.6353858975896152,,,,17.3045,,,
74,K03545,0.6722530778960829,,,,15.804200000000002,,,
75,K03556,0.7244191734956711,,,,20.5232,,,
76,K03564,0.669,,,,4.9277,,,
77,K03569,0.6669809211262426,,,,17.8456,,,
78,K03584,0.741,,,,2.7635,,,
79,K03593,0.737,,,,4.6568,,,
80,K03621,0.523,,,,5.8269,,,
81,K03687,0.657,,,,3.6551,,,
82,K03703,0.6979999999999998,,,,8.8539,,,
83,K03704,0.5858352237757574,,,,14.4222,,,
84,K03795,0.748,,,,5.9248,,,
85,K03799,0.653,,,,4.7306,,,
86,K03821,0.701,,,,10.9819,,,
87,K03924,0.71,,,,15.2994,,,
88,K03925,0.677,,,,6.2186,,,
89,K03979,0.716,,,,5.0571,,,
90,K04063,0.688,,,,7.3861,,,
91,K04065,0.6579999999999999,,,,8.3417,,,
92,K04066,0.7659999999999999,,,,4.1781,,,
93,K04077,0.6559977296169012,,,,65.6224,,,
94,K04078,0.636,,,,11.4869,,,
95,K04079,0.653,,,,6.6577,,,
96,K04485,0.742,,,,5.7056,,,
97,K04762,0.687,,,,3.4793,,,
98,K04763,0.639,,,,15.1341,,,
99,K05524,0.568,,,,19.2575,,,
100,K05606,0.7,,,,5.1929,,,
101,K05710,0.6759999999999999,,,,4.9654,,,
102,K06077,0.699,,,,2.0119,,,
103,K06152,,,,0.6629999999999999,,,,4.7236
104,K06153,0.682,,,,3.9439,,,
105,K06199,0.643,,,,1.983,,,
106,K06204,0.5329999999999999,,,,5.3374,,,
107,K06215,0.6800000000000002,,,,9.9677,,,
108,K06864,0.758,,,,5.1507,,,
109,K06897,0.705,,,,8.9122,,,
110,K06904,,0.518,,,,5.4656,,
111,K06909,0.536,0.596,,,4.3472,5.4713,,
112,K06945,0.623,,,,9.0091,,,
113,K06997,0.534,,,,3.5672,,,
114,K07006,0.5489999999999999,,,,7.5714,,,
115,K07152,0.634427449168207,,,,6.924799999999999,,,
116,K07161,0.7190000000000001,,,,5.2704,,,
117,K07171,0.653,,,,2.891,,,
118,K07273,0.6809999999999999,,,,2.9169,,,
119,K07304,0.629,,,,12.6044,,,
120,K07390,0.573,,,,5.0788,,,
121,K07481,0.6259088133580926,,,,35.772400000000005,,,
122,K07482,0.6175393108624798,,,,103.4754,,,
123,K07483,0.6112702608264763,,,,66.5976,,,
124,K07484,0.6187975414543533,,,,99.7443,,,
125,K07485,0.5669343958242347,,,,73.6662,,,
126,K07486,0.6112421555786649,,,,435.64619999999996,,,
127,K07487,0.5974384067163453,,,,42.8794,,,
128,K07488,0.5879681244683098,,,,14.852899999999998,,,
129,K07491,0.512,,,,4.6161,,,
130,K07492,0.587157399217962,,,,205.49549999999996,,,
131,K07493,0.6428961488615019,,,,96.66499999999999,,,
132,K07494,0.5887364391180144,,,,381.3576000000001,,,
133,K07495,0.5398947277127583,,,,88.1573,,,
134,K07497,0.616653598275335,,0.439,,292.9398,,8.9983,
135,K07499,0.5876517530391298,,,0.532,115.3326,,,5.5267
136,K07746,,,,0.703,,,,2.108
137,K08683,0.728,,,,8.7465,,,
138,K08999,0.6566386088749256,,,,14.3714,,,
139,K09013,0.706,,,,10.0719,,,
140,K09762,0.746,,,,7.4916,,,
141,K09767,0.6559999999999999,,,,8.0426,,,
142,K09919,0.6409999999999998,,,,6.375,,,
143,K09961,0.596,,,,6.5515,,,
144,K10979,0.568,,,,6.2333,,,
145,K12132,0.613,,,,6.2571,,,
146,K13527,0.669,,,,15.6996,,,
147,K13583,0.67,,,,3.6908,,,
148,K14083,0.693,,,,12.4537,,,
149,K14189,0.461,,,,5.8825,,,
150,K15512,0.688,,,,17.6315,,,
151,K17763,0.6859999999999999,,,,5.1117,,,
152,K18013,0.738,,,,6.1763,,,
153,K18476,0.6709999999999999,,,,4.2669,,,
154,K18955,0.6729999999999999,,,,9.7463,,,
155,K19222,0.735,,,,4.6469,,,
156,K20074,0.701,,,,7.6865,,,
157,K21310,0.6650000000000001,,,,3.5597,,,
158,K21745,0.6729999999999999,,,,5.514,,,
159,K21908,0.72,,,,11.2359,,,
160,K22622,0.711,,,,2.3414,,,
161,K22736,0.6779999999999999,,,,6.371,,,
162,K22886,0.754,,,,8.226,,,
