,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_countsUnclassified
0,K00031,,,0.643,,,,15.921,
1,K00053,,,0.686,,,,28.8209,
2,K00163,,,0.646820731966363,,,,39.4392,
3,K00175,,,0.629,,,,8.5596,
4,K00247,,,0.675,,,,1.9708,
5,K00275,,,0.662,,,,3.2549,
6,K00371,,,0.632,,,,7.6994,
7,K00425,,,0.6016022828766695,,,,7.0920000000000005,
8,K00428,,,0.691,,,,3.0,
9,K00432,,,0.603,,,,2.0502,
10,K00433,,,0.6832753575352808,,,,15.113299999999999,
11,K00453,,,0.645,,,,4.3124,
12,K00540,,,0.653,,,,5.9865,
13,K00549,,,0.685,,,,5.3744,
14,K00573,,,0.7020000000000001,,,,2.6026,
15,K00574,,,0.69,,,,3.3405,
16,K00641,,,0.639,,,,9.7101,
17,K00655,,,0.66,,,,3.2862,
18,K00674,,,0.6579999999999999,,,,18.62,
19,K00684,,,0.6629999999999999,,,,4.4804,
20,K00688,,,0.685,,,,3.6449,
21,K00703,,,0.684,,,,3.8012,
22,K00759,,,0.669,,,,2.8502,
23,K00764,,,0.688467199532739,,,,17.5761,
24,K00766,,,0.725,,,,3.3173,
25,K00789,,,0.668509908371825,,,,63.6408,
26,K00790,,,0.715,,,,4.2086,
27,K00793,,,0.748,,,,2.4165,
28,K00799,,,0.62,,,,2.448,
29,K00858,,,0.6609999999999999,,,,1.3659,
30,K00873,,,0.733,,,,3.1664,
31,K00912,,,0.715,,,,3.787,
32,K00939,,,0.564,,,,3.068,
33,K00946,,,0.7369999999999999,,,,4.392,
34,K00957,,,0.68,,,,11.0938,
35,K00979,,,0.669,,,,2.5424,
36,K00986,,,0.5909281891110773,,,,145.8137,
37,K01005,,,0.688,,,,2.5,
38,K01039,,,0.622,,,,3.7494,
39,K01057,,,0.708,,,,4.1,
40,K01104,,,0.734,,,,3.5672,
41,K01247,,,0.711,,,,2.8884,
42,K01251,,,0.6345930157028246,,,,51.894,
43,K01358,,,0.6459999999999999,,,,12.8014,
44,K01449,,,0.6609999999999999,,,,5.0095,
45,K01462,,,0.7,,,,1.9051,
46,K01478,,,0.6579999999999999,,,,2.3964,
47,K01569,,,0.653,,,,3.1626,
48,K01595,,,0.591,,,,2.7372,
49,K01611,,,0.6279999999999999,,,,2.0,
50,K01621,,,0.642,,,,44.2285,
51,K01626,,,0.6629999999999999,,,,7.8194,
52,K01641,,,0.736,,,,3.5221,
53,K01673,,,0.667,,,,6.6747,
54,K01736,,,0.6330786685413289,,,,7.6218,
55,K01755,,,0.648,,,,11.0943,
56,K01772,,,0.6470443194930627,,,,3.8201,
57,K01785,,,0.619,,,,1.4636,
58,K01810,,,0.626,,,,17.8439,
59,K01834,,,0.679,,,,3.8691,
60,K01868,,,0.57,,,,2.5498,
61,K01875,,,0.619,,,,6.7736,
62,K01915,,,0.654251827683998,,,,10.559,
63,K01919,,,0.624,,,,13.8529,
64,K01933,,,0.6759999999999999,,,,4.6611,
65,K01937,,,0.529,,,,1.8422,
66,K01939,,,0.6723099488213817,,,,8.6658,
67,K01953,,,0.6839539483858322,,,,16.497,
68,K01972,,,0.679,,,,7.1444,
69,K01997,,,0.637,,,,9.8649,
70,K02004,,,0.6606217370383767,,,,32.5014,
71,K02015,,,0.667,,,,2.9062,
72,K02020,,,0.657,,,,3.7968,
73,K02034,,,0.667,,,,8.1789,
74,K02036,,,0.6890000000000001,,,,27.4194,
75,K02050,,,0.629,,,,11.8552,
76,K02066,,,0.665,,,,3.7354,
77,K02078,,,0.629,,,,2.0553,
78,K02106,,,0.6579999999999999,,,,3.4736,
79,K02113,,,0.5660000000000001,,,,14.657,
80,K02313,,,0.652,,,,6.3033,
81,K02314,,,0.6225457139647863,,,,8.9799,
82,K02338,,,0.502,,,,3.7892,
83,K02342,,,0.701,,,,3.8391,
84,K02343,,,0.634,,,,12.1335,
85,K02356,,,0.6056768582413437,,,,6.8965,
86,K02372,,,0.584,,,,5.0867,
87,K02387,,,0.535,,,,2.201,
88,K02410,,,0.61,,,,14.7355,
89,K02437,,,0.625,,,,4.2908,
90,K02456,,,0.622,,,,4.7638,
91,K02493,,,0.722,,,,3.9921,
92,K02503,,,0.716,,,,2.21,
93,K02518,,,0.479,,,,4.0724,
94,K02520,,,0.6065831360322159,,,,18.0337,
95,K02568,,,0.706,,,,1.9563,
96,K02650,,,0.6304190133747359,,,,7.1719,
97,K02834,,,0.657,,,,1.4348,
98,K02838,,,0.653,,,,4.5965,
99,K02864,,,0.679,,,,2.5518,
100,K02867,,,0.618,,,,13.2027,
101,K02871,,,0.625,,,,2.5084,
102,K02876,,,0.6600063302493656,,,,7.7288,
103,K02878,,,0.7,,,,18.3146,
104,K02881,,,0.69,,,,5.8575,
105,K02888,,,0.66,,,,4.0378,
106,K02892,,,0.653,,,,4.6105,
107,K02895,,,0.6609999999999999,,,,3.3672,
108,K02899,,,0.568,,,,4.0378,
109,K02907,,,0.7020000000000001,,,,3.1671,
110,K02909,,,0.637,,,,3.3144,
111,K02911,,,0.6940000000000001,,,,1.8059,
112,K02916,,,0.6,,,,5.3777,
113,K02926,,,0.695,,,,4.6105,
