,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00010,,,0.57,,,,,,,,3.8399,,,,,
1,K00012,,,0.5541326034348057,,,,,,,,20.5551,,,,,
2,K00014,,,0.5918563182485428,,,,,,,,12.717600000000001,,,,,
3,K00015,,,0.569,,,,,,,,5.7127,,,,,
4,K00019,,,0.636,,,,,,,,8.1422,,,,,
5,K00020,,,0.595,,,,,,,,7.6589,,,,,
6,K00029,,,0.5739977169521114,,,,,,,,72.3564,,,,,
7,K00031,,,0.6147964331084724,,,,,,,,72.0341,,,,,
8,K00033,,,0.6140110289798293,,,,,,,,129.7299,,,,,
9,K00036,,,0.5372139931186614,,,,,,,,15.181899999999999,,,,,
10,K00053,,,0.6228611432078908,,,,,,,,119.9215,,,,,
11,K00057,,,0.5942420357308235,,,,,,,,10.8558,,,,,
12,K00058,,,0.5773949270741606,,,,,,,,10.2699,,,,,
13,K00059,,,0.5992806273995346,,,,,,,,32.7276,,,,,
14,K00060,,,0.5591316374314523,,,,,,,,15.3361,,,,,
15,K00064,,,0.5405114707912281,,,,,,,,8.552999999999999,,,,,
16,K00067,,,0.5701187070695743,,,,,,,,17.6092,,,,,
17,K00075,,,0.6045799941488179,,,,,,,,39.3585,,,,,
18,K00077,,,0.5999908364483699,,,,,,,,183.7862,,,,,
19,K00088,,,0.5760000000000001,,,,,,,,4.8336,,,,,
20,K00096,,,0.579,,,,,,,,7.1275,,,,,
21,K00099,,,0.60750804175866,,,,,,,,17.7876,,,,,
22,K00102,,,0.541,,,,,,,,4.5514,,,,,
23,K00108,,,0.573,,,,,,,,10.9946,,,,,
24,K00111,,,0.608007935325014,,,,,,,,74.93440000000001,,,,,
25,K00116,,,0.6152784761642424,,,,,,,,30.7655,,,,,
26,K00121,,,0.629,,,,,,,,19.6518,,,,,
27,K00124,,,0.5930333223493638,,,,,,,,50.424400000000006,,,,,
28,K00127,,,0.59201747242645,,,,,,,,58.0611,,,,,
29,K00133,,,0.610477523230697,,,,,,,,45.6681,,,,,
30,K00134,,,0.5543767991991354,,,,,,,,19.456,,,,,
31,K00135,,,0.568,,,,,,,,9.3153,,,,,
32,K00145,,,0.625011348970145,,,,,,,,49.3527,,,,,
33,K00154,,,0.56,,,,,,,,7.647,,,,,
34,K00156,,,0.5760000000000001,,,,,,,,9.2512,,,,,
35,K00163,,,0.6213928521685094,,,,,,,,185.6077,,,,,
36,K00174,,,0.6281343609321395,,,,,,,,18.163800000000002,,,,,
37,K00175,,,0.6251620689739634,,,,,,,,51.9316,,,,,
38,K00200,,,0.614,,,,,,,,6.5345,,,,,
39,K00202,,,0.677,,,,,,,,4.4728,,,,,
40,K00208,,,0.6168850236973088,,,,,,,,31.1512,,,,,
41,K00215,,,0.601145396803419,,,,,,,,9.144200000000001,,,,,
42,K00220,,,0.669,,,,,,,,6.7823,,,,,
43,K00228,,,0.595019262628208,,,,,,,,26.386899999999997,,,,,
44,K00231,,,0.5660000000000001,,,,,,,,12.3161,,,,,
45,K00232,,,0.548328147514904,,,,,,,,11.8537,,,,,
46,K00240,,,0.6096682846310778,,,,,,,,109.06249999999997,,,,,
47,K00241,,,0.5553553004569065,,,,,,,,39.720800000000004,,,,,
48,K00242,,,0.6083516459651396,,,,,,,,28.6282,,,,,
49,K00245,,,0.5529999999999999,,,,,,,,1.5957,,,,,
50,K00247,,,0.517,,,,,,,,2.6792,,,,,
51,K00249,,,0.6265338202926731,,,,,,,,56.48,,,,,
52,K00252,,,0.54,,,,,,,,13.2775,,,,,
53,K00253,,,0.621,,,,,,,,25.4788,,,,,
54,K00254,,,0.6663176015290038,,,,,,,,21.872,,,,,
55,K00259,,,0.679986002931064,,,,,,,,12.011000000000001,,,,,
56,K00273,,,0.613,,,,,,,,3.5469,,,,,
57,K00275,,,0.6080380483967955,,,,,,,,18.798099999999998,,,,,
58,K00286,,,0.6267252465547364,,,,,,,,30.2696,,,,,
59,K00287,,,0.6238797023275268,,,,,,,,14.4565,,,,,
60,K00294,,,0.5720000000000001,,,,,,,,8.9916,,,,,
61,K00297,,,0.685,,,,,,,,2.8131,,,,,
62,K00304,,,0.59,,,,,,,,2.4965,,,,,
63,K00311,,,0.5793971207471441,,,,,,,,27.0444,,,,,
64,K00322,,,0.5559999999999999,,,,,,,,8.3212,,,,,
65,K00324,,,0.667,,,,,,,,26.0173,,,,,
66,K00330,,,0.5544683050242944,,,,,,,,65.016,,,,,
67,K00331,,,0.6170641189470313,,,,,,,,64.6156,,,,,
68,K00332,,,0.6187159933219736,,,,,,,,12.9853,,,,,
69,K00334,,,0.5523892640129414,,,,,,,,28.7169,,,,,
70,K00338,,,0.6403117977360839,,,,,,,,106.97359999999999,,,,,
71,K00339,,,0.5937118178601609,,,,,,,,35.873,,,,,
72,K00340,,,0.5993468416210691,,,,,,,,11.787700000000001,,,,,
73,K00341,,,,,0.256,,,,,,,,13.5145,,,
74,K00343,,,0.5949381607986479,,0.192,,,,,,10.7452,,11.0235,,,
75,K00344,,,0.6195979516917338,,,,,,,,47.9259,,,,,
76,K00351,,,0.516,,,,,,,,4.9612,,,,,
77,K00355,,,0.535,,,,,,,,8.1729,,,,,
78,K00363,,,0.6484552562259249,,,,,,,,10.6913,,,,,
79,K00365,,,0.536940231433013,,,,,,,,7.2584,,,,,
80,K00375,,,0.565,,,,,,,,8.1045,,,,,
81,K00382,,,0.535,,,,,,,,11.9515,,,,,
82,K00384,,,0.6084962840214281,,,,,,,,24.0063,,,,,
83,K00389,,,0.5699461315531106,,,,,,,,7.6926000000000005,,,,,
84,K00390,,,0.5951039152252603,,,,,,,,23.911900000000003,,,,,
85,K00406,,,0.56,,,,,,,,3.5965,,,,,
86,K00407,,,0.567,,,,,,,,3.8529,,,,,
87,K00411,,,0.6349226532429064,,,,,,,,33.3237,,,,,
88,K00412,,,0.6004827031297264,,,,,,,,23.7005,,,,,
89,K00413,,,0.6370782314003058,,,,,,,,28.441899999999997,,,,,
90,K00425,,,0.5790241426641358,,,,,,,,313.7331,,,,,
91,K00426,,,0.5866860744195488,,,,,,,,196.45729999999995,,,,,
92,K00428,,,0.6015432066106426,,,,,,,,51.8535,,,,,
93,K00432,,,0.6377316241755346,,,,,,,,10.6657,,,,,
94,K00433,,,0.5984487208618137,,,,,,,,183.4115,,,,,
95,K00435,,,0.536,,,,,,,,4.9736,,,,,
96,K00448,,,0.556,,,,,,,,5.4034,,,,,
97,K00449,,,0.6169504533059608,,,,,,,,24.3957,,,,,
98,K00450,,,0.6197525208689211,,,,,,,,59.1323,,,,,
99,K00451,,,0.6049358373396205,,,,,,,,93.30450000000002,,,,,
100,K00452,,,0.6079891390939124,,,,,,,,7.0752,,,,,
101,K00453,,,0.5767117943874707,,,,,,,,33.0124,,,,,
102,K00456,,,0.537,,,,,0.504,,,3.841,,,,,3.0745
103,K00457,,,0.6204627028961817,,,,,,,,54.0567,,,,,
104,K00459,,,0.6177250340179153,,0.652,,,,,,176.16779999999997,,1.8288,,,
105,K00463,,,0.6376334273623617,,,,,,,,8.03,,,,,
106,K00467,,,0.575,,,,,,,,6.2874,,,,,
107,K00481,,,0.5959053134100211,,,,,,,,16.787599999999998,,,,,
108,K00491,,,0.514,,,,,,,,6.0095,,,,,
109,K00496,,,0.644,,,,,,,,4.4283,,,,,
110,K00499,,,0.544,,,,,,,,8.6303,,,,,
111,K00507,,,0.5353684823187607,,,,,,,,100.80109999999999,,,,,
112,K00525,,,0.5719688948007762,,,,,,,,29.007,,,,,
113,K00526,,,0.595,,,,,,,,7.5712,,,,,
114,K00528,,,0.608,,,,,,,,10.9789,,,,,
115,K00537,,,0.61,,,,,,,,8.27,,,,,
116,K00540,,,0.628627651059111,,,,,0.68,,,50.7394,,,,,1.7914
117,K00548,,,0.6331049161290945,,,,,,,,131.3448,,,,,
118,K00549,,,0.6266709788772623,,,,,,,,323.7479000000001,,,,,
119,K00554,,,0.5848368865813739,,,,,,,,25.0143,,,,,
120,K00560,,,0.6110070902258151,,,,,,,,55.0431,,,,,
121,K00566,,,0.579,,,,,,,,7.6754,,,,,
122,K00567,,,0.6131754225325361,,,,,,,,11.1121,,,,,
123,K00570,,,0.6427625498531059,,,,,,,,40.3104,,,,,
124,K00573,,,0.5964762439062816,,,,,,,,101.4906,,,,,
125,K00574,,,0.6550494435596587,,,,,,,,29.9308,,,,,
126,K00575,,,0.532,,,,,,,,9.5854,,,,,
127,K00598,,,0.6505017554874631,,,,,,,,25.1958,,,,,
128,K00600,,,0.6274264929488698,,,,,,,,81.57430000000001,,,,,
129,K00602,,,0.6067291679082566,,,,,,,,106.17730000000002,,,,,
130,K00606,,,0.6269047567731292,,,,,,,,53.40340000000001,,,,,
131,K00609,,,0.67,,,,,,,,4.4273,,,,,
132,K00611,,,0.6773651601194054,,,,,,,,20.1226,,,,,
133,K00612,,,0.5732620947174235,,,,,,,,15.8539,,,,,
134,K00615,,,0.6029522042199883,,,,,,,,68.0907,,,,,
135,K00616,,,0.5567939531726119,,,,,,,,14.227,,,,,
136,K00619,,,0.623,,,,,,,,3.5343,,,,,
137,K00620,,,0.6098709288863234,,,,,,,,32.7737,,,,,
138,K00626,,,0.6393113347249844,,,,,,,,171.3194,,,,,
139,K00635,,,0.6252409653308465,,,,,0.624,,,115.79599999999999,,,,,6.2296
140,K00640,,,0.6070474329649581,,,,,,,,38.83780000000001,,,,,
141,K00641,,,0.6250661339611706,,,,,,,,200.31889999999996,,,,,
142,K00643,,,0.604,,,,,,,,7.3881,,,,,
143,K00645,,,0.596,,,,,,,,5.9299,,,,,
144,K00648,,,0.5871149461434334,,,,,,,,22.9662,,,,,
145,K00652,,,0.565,,,,,,,,8.8321,,,,,
146,K00655,,,0.578860511893087,,,,,,,,24.471,,,,,
147,K00657,,,0.5689503515669325,,,,,0.534,,,28.529300000000003,,,,,6.5283
148,K00661,,,0.5830984444275803,,,,,,,,6.6416,,,,,
149,K00662,,,0.619,,,,,,,,3.2,,,,,
150,K00673,,,0.535,,,,,,,,8.7312,,,,,
151,K00674,,,0.6250242011370687,,,,,,,,23.1453,,,,,
152,K00677,,,0.5878322708240645,,,,,,,,36.4101,,,,,
153,K00682,,,0.622,,,,,,,,1.7385,,,,,
154,K00683,,,0.583,,,,,,,,6.3213,,,,,
155,K00684,,,0.6200737581610468,,,,,,,,20.4634,,,,,
156,K00688,,,0.5843788240553287,,,,,,,,278.29019999999997,,,,,
157,K00700,,,0.5721946541370958,,,,,,,,66.8384,,,,,
158,K00703,,,0.5812752916429701,,,,,,,,38.3893,,,,,
159,K00720,,,0.57281715231246,,,,,,,,28.5029,,,,,
160,K00729,,,0.518,,,,,,,,4.2392,,,,,
161,K00748,,,0.5938389734487562,,,,,,,,30.4407,,,,,
162,K00759,,,0.6040869420714653,,,,,,,,62.1968,,,,,
163,K00760,,,0.57044489675163,,,,,,,,23.776999999999997,,,,,
164,K00762,,,0.6255571470041517,,,,,,,,15.562999999999999,,,,,
165,K00763,,,0.5699963056334033,,,,,,,,24.1577,,,,,
166,K00764,,,0.6346363496228633,,,,,,,,138.86149999999998,,,,,
167,K00765,,,0.5558434953091165,,,,,,,,15.5033,,,,,
168,K00766,,,0.6079935217435745,,,,,,,,35.436699999999995,,,,,
169,K00767,,,0.69,,,,,,,,8.8686,,,,,
170,K00768,,,0.6528006079753439,,,,,,,,12.8924,,,,,
171,K00769,,,0.6655592916251954,,,,,,,,22.9558,,,,,
172,K00773,,,0.546,,,,,,,,6.8574,,,,,
173,K00782,,,0.6164802626536433,,,,,,,,26.822000000000003,,,,,
174,K00783,,,0.61764437296296,,,,,,,,20.820600000000002,,,,,
175,K00784,,,0.556,,,,,,,,9.0394,,,,,
176,K00788,,,0.539,,,,,,,,4.6414,,,,,
177,K00789,,,0.630079187723945,,,,,,,,177.22370000000004,,,,,
