,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Baculoviridae,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Baculoviridae,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6659999999999999,,,,,,,23.8649,,,,
1,K00010,,,0.6014196487530711,,,,,,,18.9653,,,,
2,K00012,,,0.652,,,,,,,16.7898,,,,
3,K00014,,,0.6906561917466966,,,,,,,16.908900000000003,,,,
4,K00019,,,0.53,,,,,,,3.1861,,,,
5,K00029,,,0.6351122237818593,,,,,,,13.921,,,,
6,K00033,,,0.655097395574275,,,,,,,184.3439,,,,
7,K00035,,,0.645,,,,,,,8.5311,,,,
8,K00036,,,0.5465526728509792,,,,,,,20.8019,,,,
9,K00053,,,0.6707369602592551,,,,,,,105.34119999999999,,,,
10,K00057,,,0.742,,,,,,,6.0458,,,,
11,K00059,,,0.6254123858228683,,,,,,,59.2477,,,,
12,K00064,,,0.6080425465552565,,,,,,,19.4613,,,,
13,K00067,,,0.6385589352193388,,,,,,,27.247800000000005,,,,
14,K00075,,,0.6425586155033152,,,,,,,65.1066,,,,
15,K00077,,,0.6501612872260293,,,,,,,254.84390000000002,,,,
16,K00088,,,0.6781829091342436,,,,,,,28.0023,,,,
17,K00096,,,0.5870000000000001,,,,,,,3.481,,,,
18,K00099,,,0.6504772615405493,,,,,,,88.0492,,,,
19,K00108,,,0.6217495803594308,,,,,,,18.730800000000002,,,,
20,K00111,,,0.6666732022852212,,,,,,,124.02029999999999,,,,
21,K00116,,,0.6058326207359557,,,,,,,15.396799999999999,,,,
22,K00122,,,0.6829999999999999,,,,,,,12.4522,,,,
23,K00124,,,0.6388780618267247,,,,,,,66.7646,,,,
24,K00126,,,0.627,,,,,,,6.844,,,,
25,K00127,,,0.5872870720739481,,,,,,,13.9794,,,,
26,K00133,,,0.625,,,,,,,9.3132,,,,
27,K00134,,,0.644,,,,,,,28.362,,,,
28,K00145,,,0.6329949779637717,,,,,,,51.407000000000004,,,,
29,K00161,,,0.5575872816364202,,,,,,,13.2859,,,,
30,K00162,,,0.6130339509310941,,,,,,,11.5985,,,,
31,K00163,,,0.658651909313687,,,,,,,438.8769,,,,
32,K00174,,,0.581614292848507,,,,,,,12.1562,,,,
33,K00175,,,0.626,,,,,,,7.5133,,,,
34,K00176,,,0.6051982771684945,,,,,,,5.8872,,,,
35,K00202,,,0.7340000000000001,,,,,,,5.2605,,,,
36,K00208,,,0.6065304071102575,,,,,,,25.793400000000002,,,,
37,K00215,,,0.662360921959595,,,,,,,42.7123,,,,
38,K00228,,,0.637164514386464,,,,,,,40.0864,,,,
39,K00230,,,0.6690651641774359,,,,,,,5.9252,,,,
40,K00231,,,0.5329999999999999,,,,,,,4.4286,,,,
41,K00240,,,0.6329898629402386,,,,,,,162.30140000000003,,,,
42,K00241,,,0.5826956117738477,,,,,,,48.4414,,,,
43,K00245,,,0.636,,,,,,,6.0862,,,,
44,K00249,,,0.6601143477630602,,,,,,,27.856900000000003,,,,
45,K00252,,,0.561,,,,,,,9.5741,,,,
46,K00254,,,0.6981849342192125,,,,,,,26.5271,,,,
47,K00259,,,0.6940000000000001,,,,,,,15.5776,,,,
48,K00273,,,0.745,,,,,,,7.7972,,,,
49,K00275,,,0.682975830368516,,,,,,,90.7839,,,,
50,K00282,,,0.61,,,,,,,4.6598,,,,
51,K00286,,,0.6870147294365384,,,,,,,73.43549999999999,,,,
52,K00287,,,0.6454231065238623,,,,,,,61.851200000000006,,,,
53,K00297,,,0.6395969354728746,,,,,,,54.5269,,,,
54,K00299,,,0.7097212697637512,,,,,,,32.1919,,,,
55,K00304,,,0.6202270893590924,,,,,,,5.0318000000000005,,,,
56,K00305,,,0.6186951071022193,,,,,,,9.6899,,,,
57,K00311,,,0.6113637045518558,,,,,,,17.5748,,,,
58,K00316,,,0.56,,,,,,,3.2217,,,,
59,K00320,,,0.59859884851916,,,,,,,11.4194,,,,
60,K00322,,,0.5660000000000001,,,,,,,7.9156,,,,
61,K00330,,,0.5825812178387765,,,,,,,85.73320000000001,,,,
62,K00331,,,0.6325098350393156,,,,,,,13.244800000000001,,,,
63,K00332,,,0.6689999999999999,,,,,,,17.0687,,,,
