,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.713,,,,,,6.6341,,,
1,K00012,,,0.6673979664612315,,,,,,7.078099999999999,,,
2,K00014,,,0.7483806265384175,,,,,,8.444199999999999,,,
3,K00031,,,0.6019170889399003,,,,,,40.1773,,,
4,K00033,,,0.6709881665498738,,,,,,41.7023,,,
5,K00036,,,0.6829999999999999,,,,,,7.9664,,,
6,K00038,,,0.667,,,,,,5.9502,,,
7,K00053,,,0.6960000000000001,,,,,,21.1084,,,
8,K00057,,,0.6733922449866354,,,,,,10.8229,,,
9,K00059,,,0.715,,,,,,6.707,,,
10,K00064,,,0.753,,,,,,6.4,,,
11,K00067,,,0.7016682628859986,,,,,,24.479999999999997,,,
12,K00075,,,0.7138344884352449,,,,,,36.7428,,,
13,K00077,,,0.6543920067124056,,,0.7592653028242915,,,39.870000000000005,,,8.0108
14,K00088,,,0.522,,,,,,2.3634,,,
15,K00091,,,0.7466277781509881,,,,,,11.8536,,,
16,K00099,,,0.547,,,,,,1.8113,,,
17,K00111,,,0.6928268709550877,,,,,,38.8254,,,
18,K00116,,,0.7286161287191508,,,,,,24.649,,,
19,K00122,,,0.6709999999999999,,,,,,5.1589,,,
20,K00124,,,0.6908383067520939,,,,,,9.2027,,,
21,K00126,,,0.7440000000000001,,,,,,2.9566,,,
22,K00134,,,0.6376338733390011,,,,,,14.4202,,,
23,K00145,,,0.6985575225952035,,,,,,25.484299999999998,,,
24,K00161,,,0.691,,,,,,7.8952,,,
25,K00163,,,0.6716108378220084,,,,,,141.8163,,,
26,K00174,,,0.659,,,,,,6.6603,,,
27,K00175,,,0.6556617925559936,,,,,,57.1643,,,
28,K00208,,,0.6719074047886217,,,,,,23.517000000000003,,,
29,K00215,,,0.7419382282366723,,,,,,10.357700000000001,,,
30,K00218,,,0.528,,,,,,1.7806,,,
31,K00228,,,0.6780569274773794,,,,,,32.7666,,,
32,K00230,,,0.777,,,,,,3.2268,,,
33,K00231,,,0.5579999999999999,,,0.774,,,1.625,,,4.8381
34,K00240,,,0.6526088384092599,,,,,,51.551700000000004,,,
35,K00241,,,0.6561958629130955,,,,,,32.8579,,,
36,K00242,,,0.6690046208086526,,,,,,10.04,,,
37,K00243,,,0.7020000000000001,,,,,,5.9638,,,
38,K00249,,,0.7025052926070248,,,,,,59.7143,,,
39,K00254,,,0.7125986444450388,,,,,,13.467600000000001,,,
40,K00259,,,0.6920000000000001,,,,,,6.1095,,,
41,K00275,,,0.6920828384489502,,,,,,30.2741,,,
42,K00278,,,0.708,,,,,,8.5977,,,
43,K00286,,,0.7042339692506546,,,,,,10.0021,,,
44,K00287,,,0.6459718832032968,,,,,,17.269299999999998,,,
45,K00290,,,0.6629999999999999,,,,,,7.031,,,
46,K00294,,,0.71,,,,,,12.7744,,,
47,K00297,,,0.6847449061873776,,,,,,34.3714,,,
48,K00299,,,0.6895829846441923,,,,,,12.213099999999999,,,
49,K00311,,,0.618,,,,,,7.9437,,,
50,K00330,,,0.6306053874117896,,,,,,46.2688,,,
51,K00331,,,0.536,,,,,,4.7082,,,
52,K00332,,,0.6518175701295289,,,,,,9.870099999999999,,,
53,K00334,,,0.7082116726174824,,,,,,41.985499999999995,,,
54,K00337,,,0.6609999999999999,,,,,,6.5228,,,
55,K00338,,,0.6529661965324177,,,,,,53.125499999999995,,,
56,K00339,,,0.7110258142835886,,,,,,14.3902,,,
57,K00340,,,0.641916772101461,,,,,,39.3994,,,
58,K00343,,,0.682,,,,,,9.52,,,
59,K00344,,,0.7462946005156976,,,,,,18.6347,,,
60,K00355,,,0.6920000000000001,,,,,,6.4321,,,
61,K00375,,,0.752,,,,,,5.0774,,,
62,K00384,,,0.7020000000000001,,,,,,6.4792,,,
63,K00389,,,0.725,,,,,,2.3039,,,
64,K00390,,,0.6787641277586584,,,,,,14.2238,,,
65,K00395,,,0.623,,,,,,5.0291,,,
66,K00406,,,0.6838274392839201,,,,,,11.8538,,,
67,K00407,,,0.663601221878876,,,,,,9.6758,,,
68,K00411,,,0.6690929003728405,,,,,,23.053399999999996,,,
69,K00412,,,0.37629124686147086,,,,,,15.4439,,,
70,K00413,,,0.6249353553302909,,,,,,8.8201,,,
71,K00425,,,0.6801127680174569,,,,,,121.14440000000002,,,
72,K00426,,,0.6965500253321063,,,,,,46.5163,,,
73,K00428,,,0.6965196596738104,,,,,,36.0462,,,
74,K00432,,,0.6794723564675758,,,,,,21.8542,,,
75,K00433,,,0.5987492036528068,,,,,,18.8596,,,
76,K00448,,,0.7438018061627332,,,,,,10.295900000000001,,,
77,K00449,,,0.718,,,,,,5.556,,,
78,K00450,,,0.6827515494209996,,,,,,14.8399,,,
79,K00451,,,0.6720098160473126,,,,,,43.133399999999995,,,
80,K00453,0.629,,0.6821391724015801,,,,6.0482,,31.4482,,,
81,K00455,,,0.6530000000000001,,,,,,4.8455,,,
82,K00456,,,0.735,,,,,,4.8168,,,
83,K00457,,,0.6591995576962207,,,0.695,,,86.10079999999999,,,5.5626
84,K00459,,,0.7200484797368862,,,,,,58.9873,,,
85,K00499,,,0.718,,,,,,5.3705,,,
86,K00507,,,0.6801952295869514,,,,,,65.70500000000001,,,
87,K00525,,,0.6640631119721019,,,,,,70.06000000000002,,,
88,K00526,,,0.6388871459317085,,,,,,34.7839,,,
89,K00528,,,0.635,,,,,,9.445,,,
90,K00537,,,0.7140000000000001,,,,,,4.9879,,,
91,K00540,,,0.6433205404856628,,,,,,8.374,,,
92,K00548,,,0.668408241833753,,,,,,45.584500000000006,,,
93,K00549,,0.6459999999999999,0.6866025179886215,,,,,3.6509,73.2857,,,
94,K00554,,,0.7223533698527757,,,,,,15.1938,,,
95,K00556,,,0.7440000000000001,,,,,,6.1645,,,
96,K00560,,,0.6624943516252109,,,,,,33.749,,,
97,K00564,,,0.735,,,,,,3.5857,,,
98,K00567,,,0.762,,,,,,5.5125,,,
99,K00568,,,0.645,,,,,,3.7134,,,
100,K00570,,,0.7077975203843694,,,,,,12.0385,,,
101,K00573,,,0.6792907130889433,,,,,,52.53009999999999,,,
102,K00574,,,0.6974436871585913,,,,,,61.917199999999994,,,
103,K00575,,,0.7095541097048573,,,,,,17.2611,,,
104,K00598,,,0.708,,,,,,1.466,,,
105,K00600,,,0.6806329986317106,,,,,,108.24490000000002,,,
106,K00602,0.731,,0.696667576603372,,,,2.9679,,81.70469999999999,,,
107,K00605,,,0.723,,,,,,7.3065,,,
108,K00606,,,0.6787773677033803,,,,,,44.656800000000004,,,
109,K00609,,,0.674,,,,,,4.2786,,,
110,K00611,,,0.727,,,,,,5.3572,,,
111,K00612,,,0.7267111763677914,,,,,,13.3414,,,
112,K00613,,,0.6890000000000001,,,,,,5.7555,,,
113,K00615,,,0.6818439969188136,,,,,,18.7288,,,
114,K00616,,,0.6696506290338494,,,,,,33.6223,,,
115,K00619,,,0.672567583978721,,,,,,9.1196,,,
116,K00620,,,0.6892622372640529,,,,,,27.426099999999998,,,
117,K00626,,,0.6817260326664606,,,,,,112.2483,,,
118,K00627,,,0.711,,,,,,7.5813,,,
119,K00635,,,0.7259749688317786,,,,,,66.4431,,,
120,K00640,,,0.6427914276483923,,,,,,41.5873,,,
121,K00641,,,0.7086428087744527,,,,,,63.6717,,,
122,K00643,,,0.6709999999999999,,,,,,13.6689,,,
123,K00648,,,0.6702762884232264,,,,,,16.1217,,,
124,K00655,,,0.6900902160880298,,,,,,33.2573,,,
125,K00657,,,0.709726995065727,,,,,,18.634999999999998,,,
126,K00661,,,0.635,,,,,,2.1309,,,
127,K00662,,,0.7090867596390483,,,,,,5.0351,,,
128,K00663,,,0.622,,,,,,2.2764,,,
129,K00666,,,0.7005804827387887,,,,,,21.430500000000002,,,
130,K00673,,,0.676,,,,,,7.2087,,,
131,K00674,,,0.6902248218250988,,,,,,50.1092,,,
132,K00677,,,0.6581838388010026,,,,,,13.892,,,
133,K00682,,,0.71,,,,,,8.3768,,,
134,K00683,,,0.735,,,,,,5.7065,,,
135,K00684,,,0.6740614005402421,,,,,,21.756899999999998,,,
136,K00688,,,0.6665323057581611,,,,,,75.89460000000001,,,
