,KEGG,GC_adj ,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00031,,0.645,,,,11.4079,,
1,K00033,,0.6940000000000001,,,,9.5098,,
2,K00053,,0.6407940393025638,,,,58.0546,,
3,K00075,,0.6533139507495072,,,,14.038,,
4,K00099,,0.627,,,,3.0796,,
5,K00111,,0.61,,,,4.8149,,
6,K00124,,0.635,,,,4.4661,,
7,K00163,,0.6688671696356442,,,,20.0928,,
8,K00175,,0.6335847867091651,,,,19.7999,,
9,K00208,,0.628,,,,12.1881,,
10,K00240,,0.6283780307582015,,,,21.386,,
11,K00241,,0.6509999999999999,,,,5.6783,,
12,K00297,,0.625,,,,9.1174,,
13,K00331,,0.611,,,,9.4571,,
14,K00334,,0.677,,,,7.6135,,
15,K00338,,0.6759999999999999,,,,10.9712,,
16,K00340,,0.625,,,,15.6025,,
17,K00413,,0.633,,,,4.3223,,
18,K00425,,0.664,,,,3.6775,,
19,K00426,,0.6559999999999999,,,,2.834,,
20,K00433,,0.615,,,,4.2133,,
21,K00457,,0.619,,,,7.1527,,
22,K00459,,0.6626940485022141,,,,8.3525,,
23,K00549,,0.6442034921737744,,,,29.3467,,
24,K00554,,0.6690000000000002,,,,4.7122,,
25,K00567,,0.7070000000000001,,,,2.4233,,
26,K00573,,0.642692903644034,,,,10.018999999999998,,
27,K00574,,0.621,,,,9.5663,,
28,K00600,,0.703,,,,3.2621,,
29,K00620,,0.64,,,,12.8585,,
30,K00626,,0.6575126640171155,,,,35.290800000000004,,
31,K00688,,0.6729999999999999,,,,10.8504,,
32,K00703,,0.65,,,,11.235,,
33,K00759,,0.659,,,,10.0123,,
34,K00762,,0.635,,,,6.11,,
35,K00764,,0.591,,,,4.6998,,
36,K00789,,0.652,,,,4.114,,
37,K00797,,0.529,,,,1.4265,,
38,K00799,,0.6290000000000001,,,,6.5693,,
39,K00800,,0.706,,,,6.1579,,
40,K00820,,0.649,,,,18.6362,,
41,K00867,,0.617,,,,6.3476,,
42,K00873,,0.669,,,,17.2399,,
43,K00912,,0.6709999999999999,,,,2.1897,,
44,K00927,,0.632,,,,4.7295,,
45,K00945,,0.6629999999999999,,,,1.75,,
46,K00948,,0.670737245621744,,,,20.4663,,
47,K00957,,0.6646077732452096,,,,14.4944,,
48,K00971,,0.634,,,,3.2738,,
49,K00973,,0.578,,,,2.1336,,
50,K00981,,0.638,,,,2.7587,,
51,K00986,,0.6153917219943356,,,,58.036100000000005,,
52,K00990,,0.642,,,,7.2018,,
53,K00997,,0.734,,,,2.39,,
54,K01008,,0.6759999999999999,,,,4.5428,,
55,K01039,,0.6409999999999999,,,,3.8522,,
56,K01061,,0.6068277733731876,,,,12.7471,,
57,K01075,,0.625,,,,2.388,,
58,K01114,,0.5589999999999999,,,,1.4276,,
59,K01118,,0.726,,,,2.8955,,
60,K01206,,0.6890000000000001,,,,3.1639,,
61,K01246,,0.6186634672784282,,,,5.6529,,
62,K01251,,0.6674867695922109,,,,57.773399999999995,,
63,K01259,,0.604,,,,2.2575,,
64,K01262,,0.66,,,,14.8958,,
65,K01358,,0.618550159070536,,,,17.2437,,
66,K01409,,0.718,,,,10.7069,,
67,K01419,,0.656,,,,8.598,,
68,K01455,,0.601,,,,11.3054,,
69,K01458,,0.653,,,,4.5687,,
70,K01462,,0.5836109429135009,,,,8.8233,,
71,K01470,,0.624,,,,4.5511,,
72,K01520,,0.667,,,,2.2113,,
73,K01546,,0.6401818206029234,,,,32.0557,,
74,K01547,,0.6759999999999999,,,,33.8356,,
75,K01561,,0.657,,,,9.2842,,
76,K01579,,0.628,,,,2.4105,,
77,K01588,,0.6759999999999999,,,,6.186,,
78,K01595,,0.644,,,,5.8009,,
79,K01607,,0.5920806585877774,,,,16.8441,,
80,K01620,,0.682,,,,6.1575,,
81,K01621,,0.553,,,,8.7621,,
82,K01623,,0.5710000000000001,,,,2.0667,,
83,K01624,,0.701,,,,10.8908,,
84,K01626,,0.727,,,,11.6729,,
85,K01637,,0.679,,,,13.9603,,
86,K01638,,0.599,,,,3.4884,,
87,K01653,,0.6559999999999999,,,,6.7082,,
88,K01673,,0.721,,,,7.0539,,
89,K01689,,0.6190051105507408,,,,25.6993,,
90,K01695,,0.609,,,,3.7314,,
91,K01698,,0.642,,,,8.963,,
92,K01704,,0.687,,,,7.6722,,
93,K01716,,0.632,,,,6.8786,,
94,K01719,,0.7490000000000001,,,,8.2972,,
95,K01724,,0.688,,,,2.9042,,
96,K01736,,0.6721450377301762,,,,33.3971,,
97,K01737,,0.6342967063382231,,,,14.0907,,
98,K01749,,0.642,,,,4.3991,,
99,K01772,,0.6323420801654768,,,,20.9099,,
100,K01775,,0.733,,,,4.5424,,
101,K01785,,0.6672359355335338,,,,5.9633,,
102,K01799,,0.66,,,,3.5682,,
103,K01803,,0.68,,,,1.6985,,
104,K01809,,0.51,,,,2.3253,,
105,K01858,,0.6523789066274336,,,,32.4831,,
106,K01867,,0.6821243456579921,,,,10.238199999999999,,
107,K01868,,0.6322357831986823,,,,24.223100000000002,,
108,K01872,,0.5870000000000001,,,,26.6492,,
109,K01874,,0.674,,,,6.9191,,
110,K01875,,0.6070387158957912,,,,13.5122,,
111,K01887,,0.608,,,,4.2489,,
112,K01889,,0.6619999999999999,,,,3.5342,,
113,K01915,,0.6331960727277157,,,,69.3093,,
114,K01933,,0.622,,,,7.9448,,
115,K01937,,0.6443984318836962,,,,46.1551,,
116,K01939,,0.644,,,,8.0064,,
117,K01940,,0.643,,,,15.5347,,
118,K01951,,0.6751530916181021,,,,26.851,,
119,K01972,,0.7056362311488903,,,,9.4868,,
