,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6619284212309537,,,,,,,31.559199999999997,,,,
1,K00012,,,0.6095688154607838,,,,,,,74.1925,,,,
2,K00013,,,0.6173391378012365,,,,,,,14.605699999999999,,,,
3,K00014,,,0.6052238865054845,,,,,,,16.7432,,,,
4,K00020,,,0.6014252675820818,,,,,,,40.4099,,,,
5,K00022,,,0.5516173187515576,,,,,,,18.2198,,,,
6,K00023,,,0.6520000000000001,,,,,,,5.6244,,,,
7,K00024,,,0.583,,,,,,,10.0942,,,,
8,K00029,,,0.6413642827658556,,,,,,,20.2665,,,,
9,K00030,,,0.5906777115475533,,,,,,,18.4765,,,,
10,K00031,,,0.603896063679925,,,,,,,36.220600000000005,,,,
11,K00033,,,0.602863749894699,,,,,,,147.2032,,,,
12,K00036,,,0.598979980731487,,,,,,,71.7183,,,,
13,K00038,,,0.67,,,,,,,24.4239,,,,
14,K00039,,,0.613,,,,,,,6.7505,,,,
15,K00042,,,0.626,,,,,,,5.6901,,,,
16,K00052,,,0.6192316571590842,,,,,,,13.9473,,,,
17,K00053,,,0.6322771050858885,,,,,,,74.87989999999999,,,,
18,K00054,,,0.735,,,,,,,2.4447,,,,
19,K00057,,,0.6481266097931889,,,,,,,44.0222,,,,
20,K00058,,,0.6319497287453876,,,,,,,42.95400000000001,,,,
21,K00059,,,0.6109111789667654,,,,,,,127.5381,,,,
22,K00060,,,0.6234005204802628,,,,,,,14.2757,,,,
23,K00065,,,0.6,,,,,,,9.2393,,,,
24,K00066,,,0.574,,,,,,,8.587,,,,
25,K00067,,,0.634156504725334,,,,,,,39.9115,,,,
26,K00074,,,0.607254575621496,,,,,,,51.942499999999995,,,,
27,K00075,,,0.6398385248590116,,,,,,,77.97059999999999,,,,
28,K00077,,,0.6400792028446485,,,,0.727,,,184.16759999999996,,,,2.689
29,K00088,,,0.6077554549729255,,,,,,,24.2668,,,,
30,K00091,,,0.598,,,,,,,10.6341,,,,
31,K00099,,,0.6191770317621449,,,,,,,59.4624,,,,
32,K00101,,,0.621,,,,,,,9.0347,,,,
33,K00108,,,0.637301796537873,,,,,,,11.8594,,,,
34,K00111,,,0.650999864082666,,,,,,,85.8332,,,,
