,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,0.6579999999999999,,,,12.0067,,
1,K00029,,0.5389678880961869,,,,19.8133,,
2,K00031,,0.6503088762068744,,,,32.5654,,
3,K00033,,0.6567428685902514,,,,47.666399999999996,,
4,K00036,,0.569,,,,7.0822,,
5,K00038,,0.565,,,,6.4586,,
6,K00046,,0.604,,,,4.7519,,
7,K00053,,0.6052302545271325,,,,40.4621,,
8,K00075,,0.6375892593717972,,,,17.5678,,
9,K00077,,0.5987281727138867,,,,64.0912,,
10,K00099,,0.6614843288748774,,,,10.8778,,
11,K00108,,0.591,,,,8.6645,,
12,K00111,,0.6262298103808154,,,,32.010099999999994,,
13,K00116,,0.6033999626476512,,,,19.314500000000002,,
14,K00124,,0.6559973809677786,,,,28.511000000000003,,
15,K00126,,0.6037711826283023,,,,8.8454,,
16,K00127,,0.5998294540896428,,,,20.2625,,
17,K00133,,0.5903491906880146,,,,24.3256,,
18,K00145,,0.6425450795962493,,,,7.1503,,
19,K00163,,0.6673850044221823,,,,102.073,,
20,K00174,,0.6509999999999999,,,,11.105,,
21,K00175,,0.672,,,,14.8447,,
22,K00215,,0.5670000000000001,,,,4.7623,,
23,K00217,,0.5870000000000001,,,,4.2239,,
24,K00221,,0.6474432616121063,,,,4.008900000000001,,
25,K00228,,0.6720258439567355,,,,12.5488,,
26,K00231,,0.603,,,,2.5747,,
27,K00232,,0.539,,,,2.989,,
28,K00240,,0.6344462384646882,,,,51.899,,
29,K00241,,0.5885557051394202,,,,19.665200000000002,,
30,K00242,,0.6432166520678054,,,,9.9663,,
31,K00249,,0.601,,,,7.506,,
32,K00254,,0.668227771380431,,,,5.2259,,
33,K00275,,0.67,,,,4.6282,,
34,K00286,,0.6744253458061887,,,,14.8348,,
35,K00287,,0.6609999999999999,,,,6.4703,,
36,K00297,,0.71,,,,4.8989,,
37,K00304,,0.6559999999999999,,,,3.7686,,
38,K00311,,0.618,,,,12.2733,,
39,K00330,,0.6149302928288011,,,,28.6876,,
40,K00331,,0.61,,,,9.5827,,
41,K00332,,0.6650710489979595,,,,11.288699999999999,,
42,K00334,,0.6726858038297759,,,,10.9872,,
43,K00338,,0.6437469310272935,,,,53.406,,
44,K00340,,0.574426713457031,,,,25.0046,,
45,K00341,,,0.264,,,,11.3719,
46,K00343,,0.664,0.223,,,6.72,11.2598,
47,K00354,,0.667,,,,8.6498,,
48,K00355,,0.631,,,,3.651,,
49,K00363,,0.591,,,,3.914,,
50,K00365,,0.6920000000000001,,,,6.7879,,
51,K00390,,0.655,,,,3.7359,,
52,K00411,,0.6324207555996522,,,,12.4521,,
53,K00412,,0.605,0.28,,,10.7224,9.9442,
54,K00413,,0.6139493251800122,,,,7.7155000000000005,,
55,K00424,,0.556,,,,1.3926,,
56,K00425,,0.594886663730802,,,,107.50319999999999,,
57,K00426,,0.619656688469594,,,,54.456199999999995,,
58,K00428,,0.6399334243466066,,,,19.4912,,
59,K00432,,0.6315000641176068,,,,16.6748,,
60,K00433,,0.6353206184274253,,,,45.6366,,
61,K00448,,0.593,,,,2.6014,,
62,K00449,,0.599,,,,2.4665,,
63,K00450,,0.6372015708018017,,,,12.1181,,
64,K00451,,0.659451360529818,,,,10.885000000000002,,
65,K00452,,0.6609999999999999,,,,6.3878,,
66,K00453,,0.6846355575843954,,,,13.793599999999998,,
67,K00457,,0.6582467809342292,,,,21.3233,,
68,K00459,,0.6501896962387403,,,,37.13420000000001,,
69,K00469,,0.57,,,,2.9056,,
70,K00483,,0.628,,,,7.8965,,
71,K00485,,0.64,,,,5.3222,,
72,K00507,,0.5988596997349109,,,,24.8622,,
73,K00525,,0.6709999999999999,,,,7.1129,,
74,K00528,,0.612,,,,8.6089,,
75,K00537,,0.562,,,,4.3002,,
76,K00540,,0.6262720323332682,,,,6.0123,,
77,K00548,,0.6195462369037221,,,,48.7698,,
78,K00549,,0.632984329114476,,,,146.40109999999999,,
79,K00554,,0.5935359285644629,,,,14.1653,,
80,K00560,,0.6248069343990053,,,,14.905999999999999,,
81,K00564,,0.768,,,,3.1438,,
82,K00570,,0.633,,,,7.2799,,
83,K00571,,0.6366023830015958,,,,24.673000000000002,,
84,K00573,,0.5867618772587742,,,,21.676499999999997,,
85,K00574,,0.6329106943931334,,,,45.70569999999999,,
86,K00575,,0.639,,,,9.9496,,
87,K00588,,0.585,,,,2.2575,,
88,K00600,,0.6673585090959455,,,,25.074399999999997,,
89,K00602,,0.6345582266789361,,,,25.1734,,
90,K00606,,0.6831386334375995,,,,28.265100000000004,,
91,K00609,,0.642097814630012,,,,14.5229,,
92,K00613,,0.544,,,,3.7637,,
93,K00615,,0.696,,,,8.386,,
94,K00616,,0.51,,,,4.5578,,
