,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_countsUnclassified
0,K00067,,,0.6589174240304378,,,,,,11.661100000000001,,,
1,K00077,,,0.7116251084384887,,,,,,13.7494,,,
2,K00111,,,0.738,,,,,,4.5829,,,
3,K00124,,,0.6893003307717278,,,,,,33.203199999999995,,,
4,K00127,,,0.541,,,,,,2.4904,,,
5,K00163,,,0.6886778688471544,,,,,,67.4662,,,
6,K00215,,,0.7071593044605249,,,,,,10.184899999999999,,,
7,K00240,,,0.6769940452785352,,,,,,24.4629,,,
8,K00241,,,0.698,,,,,,5.3458,,,
9,K00275,,,0.655,,,,,,2.915,,,
10,K00283,,,0.737,,,,,,9.8588,,,
11,K00286,,,0.6940000000000001,,,,,,12.9975,,,
12,K00297,,,0.6705353278393971,,,,,,11.0043,,,
13,K00330,,,0.6450275486238641,,,,,,11.9099,,,
14,K00331,,,0.675728764623576,,,,,,32.6613,,,
15,K00332,,,0.718,,,,,,2.9244,,,
16,K00338,,,0.6727644347658429,,,,,,45.708600000000004,,,
17,K00389,,,0.715,,,,,,4.5852,,,
18,K00406,,,0.66,,,,,,1.8203,,,
19,K00425,,,0.6784539075863678,,,,,,50.29690000000001,,,
20,K00426,,,0.665208802919589,,,,,,21.5276,,,
21,K00453,,,0.7055454979667856,,,0.738,,,20.4136,,,6.5318
22,K00457,,,0.6808590511706736,,,,,,68.001,,,
23,K00459,,,0.794,,,,,,3.6981,,,
24,K00507,,,0.6459999999999999,,,,,,6.847,,,
25,K00548,,,0.6747063058976002,,,,,,30.3733,,,
26,K00549,,,0.7194180967310226,,,,,,40.9677,,,
27,K00573,,,0.7075229517969595,,,,,,24.154700000000002,,,
28,K00600,,,0.695,,,,,,7.6111,,,
29,K00626,,,0.7339124745726299,,,,,,33.5141,,,
30,K00635,,,0.6933282051282051,,,,,,6.9762,,,
31,K00640,,,0.7140000000000001,,,,,,7.7967,,,
32,K00641,,,0.6777822680016823,,,,,,4.6217,,,
33,K00655,,,0.71,,,,,,8.283,,,
34,K00703,,,0.5329999999999999,,,,,,4.9598,,,
35,K00759,,,0.6854207457400596,,,,,,12.8601,,,
36,K00763,,,0.7509999999999999,,,,,,3.4649,,,
37,K00764,,,0.7122416574603169,,,,,,29.9509,,,
38,K00766,,,0.725,,,,,,6.4262,,,
39,K00783,,,0.585,,,,,,3.7413,,,
40,K00784,,,0.7190000000000001,,,,,,9.5967,,,
41,K00789,,,0.6794465415576354,,,,,,44.597500000000004,,,
42,K00793,,,0.7203209600350818,,,,,,19.0749,,,
43,K00794,,,0.68,,,,,,10.3723,,,
44,K00796,,,0.551,,,,,,5.5718,,,
