,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00020,,0.6940000000000001,,,,6.0201,,
1,K00033,,0.648,,,,24.3084,,
2,K00053,,0.6635139869633045,,,,26.8133,,
3,K00057,,0.721981376874258,,,,11.08,,
4,K00067,,0.7190000000000001,,,,2.4713,,
5,K00075,,0.7138838652434707,,,,13.5579,,
6,K00077,,0.6815098373564622,,,,10.4796,,
7,K00088,,0.696,,,,7.6558,,
8,K00099,,0.6829999999999999,,,,6.9159,,
9,K00111,,0.7080593567726624,,,,6.6167,,
10,K00124,,0.58,,,,11.3061,,
11,K00163,,0.6441146460513388,,,,28.2191,,
12,K00215,,0.6889016764177693,,,,9.722000000000001,,
13,K00231,,0.7190000000000001,,,,3.8105,,
14,K00247,,0.652,,,,5.8156,,
15,K00286,,0.598,,,,2.061,,
16,K00297,,0.6868256276137107,,,,10.1894,,
17,K00305,,0.705,,,,4.6504,,
18,K00332,,0.653,,,,4.2796,,
19,K00334,,0.653,,,,4.468,,
20,K00338,,0.643,,,,22.6162,,
21,K00339,,0.65,,,,5.0672,,
22,K00340,,0.526803297401018,,,,5.907,,
23,K00343,,0.653,,,,7.0234,,
24,K00371,,0.6,,,,4.9542,,
25,K00390,,0.6817610942094723,,,,9.2738,,
26,K00411,,0.69,,,,4.3531,,
27,K00425,,0.6265487260103155,,,,22.621699999999997,,
28,K00426,,0.665,,,,6.2727,,
29,K00428,,0.6380613085477751,,,,11.2735,,
30,K00432,,0.6,,,,2.7598,,
31,K00433,,0.6,,,,10.356,,
32,K00451,,0.6970000000000001,,,,6.1082,,
33,K00453,,0.6339395354185833,,,,5.609999999999999,,
34,K00457,,0.638,,,,4.9259,,
35,K00507,,0.648,,,,7.7706,,
36,K00548,,0.6459999999999999,,,,13.5485,,
37,K00549,,0.671489294718625,,,,37.005,,
38,K00554,,0.7206114710597064,,,,14.7588,,
