,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00003,,,0.6809999999999999,,,,,20.0469,,
1,K00013,,,0.759,,,,,23.3551,,
2,K00021,,,0.602,,,,,3.9085,,
3,K00023,,,0.6759999999999999,,,,,20.5622,,
4,K00029,,,0.73,,,,,29.5642,,
5,K00031,,,0.670149296263418,,,,,98.5654,,
6,K00033,,,0.6781225997823376,,,,,136.1789,,
7,K00036,,,0.674,,,,,27.7754,,
8,K00053,,,0.7067762998423082,,,,,94.55109999999999,,
9,K00054,,0.649,,,,,6.8765,,,
10,K00055,,,0.708,,,,,13.3873,,
11,K00057,,,0.6985724328263757,,,,,36.8835,,
12,K00059,,,0.6905998763418333,,,,,71.8398,,
13,K00064,,,0.7390000000000002,,,,,23.3978,,
14,K00067,,,0.7471470903487549,,,,,47.881099999999996,,
15,K00075,,,0.7223237122871532,,,,,97.3552,,
16,K00076,,,0.7440000000000001,,,,,11.2172,,
17,K00077,,,0.6862198840962735,,0.725,,,112.80830000000002,,6.1472
18,K00082,,,0.773,,,,,29.5626,,
19,K00091,,,0.7140000000000001,,0.706,,,15.3263,,7.9482
20,K00099,,,0.700311367678509,,,,,52.3423,,
21,K00111,,,0.7041524869896354,,,,,164.84689999999998,,
22,K00112,,,0.7709999999999999,,0.782,,,12.2861,,12.6586
23,K00113,,,0.695,,,,,18.656,,
24,K00116,,,0.599601956242899,,,,,41.011700000000005,,
25,K00124,,,0.7205929227076227,,,,,72.2281,,
26,K00145,,,0.7360930365377844,,,,,71.39420000000001,,
27,K00161,,,0.6970000000000001,,,,,39.6013,,
28,K00163,,,0.6828930467377473,,,,,331.1422000000001,,
29,K00172,,,0.66,,,,,4.8416,,
30,K00174,,,0.7240000000000001,,,,,41.0999,,
31,K00202,,,,,0.675,,,,,3.1289
32,K00209,,,0.636,,,,,4.5335,,
33,K00215,,,0.6940000000000001,,,,,37.3654,,
34,K00217,,,0.7569999999999999,,,,,22.1056,,
35,K00228,,,0.624,,,,,4.8196,,
36,K00231,,,0.7671312287412063,,,,,33.8234,,
37,K00240,,,0.6659048253058413,,,,,70.4196,,
38,K00241,,,0.616276278995822,,,,,17.6665,,
39,K00249,,,0.667989785714561,,,,,64.2097,,
40,K00254,,,0.765,,,,,26.0814,,
41,K00273,,,0.740262755862957,,,,,35.507999999999996,,
42,K00275,,,0.7117668856566964,,,,,99.3793,,
43,K00286,,,0.715631984904758,,,,,34.0774,,
44,K00297,,,0.726,,,,,39.2691,,
45,K00299,,,0.7056056540002819,,,,,54.374300000000005,,
46,K00313,,,0.675,,,,,8.8859,,
47,K00330,,,0.6410429345623226,,,,,54.4082,,
48,K00334,,,0.6847310129674979,,,,,80.45919999999998,,
49,K00338,,,0.6399843550155776,,,,,38.169799999999995,,
50,K00339,,,0.6985355702551339,,,,,43.955999999999996,,
51,K00340,,,0.6508363730274094,,,,,71.4203,,
52,K00344,,,0.7223396688906569,,,,,24.919,,
53,K00371,,,0.6500704919345176,,,,,11.8799,,
54,K00375,,,0.73,,,,,18.7252,,
55,K00389,,,0.733,,,,,16.2731,,
56,K00406,,,0.6,,,,,3.8893,,
57,K00425,,,0.660496162203476,,,,,517.0576,,
58,K00426,,,0.6949421837723521,,0.7236419181335231,,,340.95050000000003,,21.8037
59,K00428,,,0.5484037761654466,,,,,32.995400000000004,,
60,K00433,,,0.6339072620716508,,,,,121.33319999999999,,
61,K00446,,,0.7070000000000001,,,,,29.4689,,
62,K00448,,,0.711,,,,,40.4399,,
63,K00450,,,0.7276389340842485,,,,,35.7425,,
64,K00451,,,0.6866137462305373,,,,,111.6501,,
65,K00452,,,0.536,,,,,5.2709,,
66,K00453,,,0.6794971128688565,,,,,69.4131,,
67,K00455,,,0.705,,,,,19.8261,,
68,K00456,,,0.677,,,,,4.7337,,
69,K00457,,,0.6610596340393827,,,,,55.5757,,
70,K00459,,,0.69336383506476,,,,,160.13580000000002,,
71,K00463,,,0.638,,,,,11.6585,,
72,K00477,,,0.713,,,,,6.2153,,
73,K00496,,,0.588,,,,,6.6336,,
74,K00507,,,0.6854361581906873,,,,,126.71199999999999,,
75,K00518,,,0.6159739681918129,,,,,60.7635,,
76,K00525,,,0.6633208695547781,,,,,38.644,,
77,K00529,,,0.759,,,,,24.7624,,
78,K00540,,,0.6863965679674712,,0.642,,,235.9725,,4.7611
79,K00544,,,0.7082274166183632,,,,,32.6144,,
80,K00545,,,0.6504318382776335,,,,,25.0732,,
81,K00548,,,0.6706286550497429,,,,,41.7415,,
82,K00549,,,0.686188548382524,,0.7120000000000001,,,552.2308,,7.6216
83,K00554,,,0.7317492592052871,,,,,80.98259999999999,,
84,K00564,,,0.7530061467623043,,,,,43.2125,,
85,K00567,,,0.7203422730640417,,,,,57.7352,,
86,K00571,,,0.67,,,,,12.7352,,
87,K00573,,,0.7069142978966605,,,,,123.37960000000001,,
88,K00574,,,0.6675594568904594,,,,,183.7001,,
89,K00588,,,0.6949172306540088,,,,,52.6437,,
90,K00595,,,0.7759999999999999,,,,,12.8313,,
91,K00598,,,0.699704108910399,,,,,70.8225,,
92,K00600,,0.4580000000000001,0.6730820882823485,,,,1.2381,63.8127,,
93,K00602,,,0.7170188631250758,,,,,201.74589999999998,,
94,K00606,,,0.7292725462732752,,,,,122.22299999999998,,
95,K00609,,,0.6988627353512877,,,,,123.5043,,
96,K00615,,,0.701,,,,,24.8655,,
97,K00616,,,0.635,,,,,5.9989,,
98,K00619,,,0.6564261035107042,,,,,28.451499999999996,,
