,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Polydnaviridae,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Polydnaviridae,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6540467447119064,,,,,,,,13.158999999999999,,,,,
1,K00010,,,0.5760000000000001,,,,,,,,3.1247,,,,,
2,K00012,,,0.6144338018898123,,,,,,,,14.8032,,,,,
3,K00013,,,0.6890000000000001,,,,,,,,6.2423,,,,,
4,K00014,,,0.6126675423967352,,,,,,,,17.5795,,,,,
5,K00020,,,0.645,,,,,,,,5.6624,,,,,
6,K00021,,,0.6809999999999999,,,,,,,,3.6231,,,,,
7,K00024,,,0.6258333004616752,,,,,,,,9.811,,,,,
8,K00029,,,0.583803303675549,,,,,,,,15.7731,,,,,
9,K00030,,,0.6107388453649452,,,,,,,,12.9621,,,,,
10,K00031,,,0.6143268387817894,,,,,,,,51.7404,,,,,
11,K00033,,,0.6155450536766481,,0.65,,,,,,155.13389999999998,,1.7535,,,
12,K00034,,,0.62,,,,,,,,7.8294,,,,,
13,K00036,,,0.5986799899796228,,,,,,,,34.5556,,,,,
14,K00052,,,0.6389429411063602,,,,,,,,21.624299999999998,,,,,
15,K00053,,,0.6288712288465725,,,,,,,,66.2803,,,,,
16,K00057,,,0.6843998588093236,,,,,,,,21.908600000000003,,,,,
17,K00058,,,0.6401915470250519,,,,,,,,34.4294,,,,,
18,K00059,,,0.601690226661778,,,,,,,,65.59830000000001,,,,,
19,K00060,,,0.629316243120274,,,,,,,,23.2471,,,,,
20,K00064,,,0.7140000000000001,,,,,,,,4.6292,,,,,
21,K00065,,,0.6648062029087086,,,,,,,,9.1312,,,,,
22,K00067,,,0.65276990045087,,,,,,,,49.3032,,,,,
23,K00075,,,0.6448092943315615,,,,,,,,56.105,,,,,
24,K00077,,,0.6148790172090308,,,,,0.631,,,82.56369999999998,,,,,3.2244
25,K00082,,,0.7559999999999999,,,,,,,,2.3299,,,,,
26,K00088,,,0.638943616597258,,,,,,,,57.837399999999995,,,,,
27,K00091,,,0.6466717115810781,,,,,,,,24.342,,,,,
28,K00099,,,0.6442575520000442,,,,,,,,74.15490000000001,,,,,
29,K00104,,,0.598,,,,,,,,4.4842,,,,,
30,K00108,,,0.6227203586005082,,,,,,,,21.791,,,,,
31,K00111,,,0.6400857001088499,,,,,,,,93.58309999999999,,,,,
32,K00113,,,0.605,,,,,,,,5.7059,,,,,
33,K00116,,,0.5819055144486535,,,,,,,,13.908000000000001,,,,,
34,K00118,,,0.644,,,,,,,,8.0645,,,,,
35,K00122,,,0.6759999999999999,,,,,,,,4.2884,,,,,
36,K00124,,,0.5821470385642034,,,,,,,,46.39349999999999,,,,,
37,K00126,,,0.605150594626105,,,,,,,,7.225899999999999,,,,,
38,K00127,,,0.5564648117517883,,,,,,,,20.942000000000004,,,,,
39,K00133,,,0.6400426321750381,,,,,,,,19.9185,,,,,
40,K00134,,,0.5839612821545329,,,,,,,,26.61,,,,,
41,K00135,,,0.659,,,,,,,,6.842,,,,,
42,K00138,,,0.622,,,,,,,,7.3992,,,,,
43,K00140,,,0.5429999999999999,,,,,,,,5.5786,,,,,
44,K00145,,,0.6272009062315541,,,,,,,,41.6918,,,,,
45,K00148,,,0.6443795834553381,,,,,,,,12.262,,,,,
46,K00156,,,0.5579999999999999,,,,,,,,6.5554,,,,,
47,K00163,,,0.6267901049399816,,,,,,,,292.8094999999999,,,,,
48,K00167,,,0.621,,,,,,,,7.7613,,,,,
49,K00169,,,0.5920000000000001,,,,,,,,7.9714,,,,,
50,K00170,,,0.605,,,,,,,,7.9714,,,,,
51,K00174,,,0.5918805436609723,,,,,,,,31.2222,,,,,
52,K00175,,,0.5813124302337881,,,,,,,,42.906,,,,,
53,K00208,,,0.6361837386979257,,,,,,,,42.2438,,,,,
54,K00215,,,0.6708653871269797,,,,,,,,36.68450000000001,,,,,
55,K00226,,,0.626,,,,,,,,4.0826,,,,,
56,K00228,,,0.6360583266368146,,,,,,,,30.2845,,,,,
57,K00231,,,0.626296269458286,,,,,,,,29.089299999999998,,,,,
58,K00232,,,0.632,,,,,,,,3.7053,,,,,
59,K00240,,,0.6168957076291465,,0.59,,,,,,82.7196,,2.0545,,,
60,K00241,,,0.6108476007954825,,,,,,,,54.52190000000001,,,,,
61,K00242,,,0.6093698403127742,,,,,,,,7.9693000000000005,,,,,
62,K00248,,,0.597,,,,,,,,6.0189,,,,,
63,K00249,,,0.619082952191674,,,,,,,,44.786199999999994,,,,,
64,K00252,,,0.5539999999999999,,,,,,,,10.4781,,,,,
65,K00254,,,0.6641355344694222,,,,,,,,21.052500000000002,,,,,
66,K00259,,,0.659,,,,,,,,6.9634,,,,,
67,K00261,,,0.629,,,,,,,,8.505,,,,,
68,K00273,,,0.709873853170013,,,,,,,,5.0989,,,,,
69,K00275,,,0.6592890449904121,,,,,0.6118569226578078,,,69.65729999999999,,,,,10.9114
70,K00278,,,0.667,,,,,,,,4.8965,,,,,
71,K00281,,,0.685,,,,,,,,7.5383,,,,,
72,K00282,,,0.5720000000000001,,,,,,,,6.5223,,,,,
73,K00283,,,0.574,,,,,,,,9.1658,,,,,
74,K00286,,,0.649428005660053,,,,,,,,77.2621,,,,,
75,K00287,,,0.6178672637408383,,,,,,,,15.941100000000002,,,,,
76,K00297,,,0.6609670572665345,,,,,,,,15.5159,,,,,
77,K00299,,,0.7108839145320403,,,,,,,,22.227500000000003,,,,,
78,K00304,,,0.644,,,,,,,,6.998,,,,,
79,K00311,,,0.596345404868977,,,,,,,,17.9636,,,,,
80,K00317,,,0.642,,,,,,,,6.5623,,,,,
81,K00322,,,0.5864176964135848,,,,,,,,13.404399999999999,,,,,
82,K00324,,,0.599,,,,,,,,5.2268,,,,,
83,K00325,,,0.579,,,,,,,,7.9848,,,,,
84,K00330,,,0.5584334506441007,,,,,,,,95.35919999999999,,,,,
