,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6369673811278376,,,,,,,18.883399999999998,,,,
1,K00010,,,0.679,,,,,,,6.2197,,,,
2,K00012,,,0.6577151295228482,,,,,,,29.195999999999998,,,,
3,K00013,,,0.624,,,,,,,7.385,,,,
4,K00014,,,0.545,,,,0.736,,,8.8422,,,,7.492
5,K00020,,,0.6771360203151375,,,,,,,59.0255,,,,
6,K00021,,,,0.499,,,,,,,3.5921,,,
7,K00023,,,0.675,,,,,,,12.0862,,,,
8,K00029,,,0.5896092599672518,,,,,,,9.0969,,,,
9,K00031,,,0.6462646667705334,,,,,,,80.36189999999999,,,,
10,K00033,,,0.6497637853300561,0.508,,,,,,223.79549999999998,3.6031,,,
11,K00036,,,0.6209866152703971,,,,,,,54.3168,,,,
12,K00038,,,0.705545136940738,,,,,,,16.758499999999998,,,,
13,K00042,,,0.7240000000000001,,,,,,,13.3149,,,,
14,K00052,,,0.616,,,,,,,7.1028,,,,
15,K00053,,,0.6482398948902567,0.5155757928625249,,,,,,187.29269999999997,7.8995,,,
16,K00057,,,0.6951588775327703,,,,,,,60.7779,,,,
17,K00058,,,0.680172094825964,,,,,,,48.460499999999996,,,,
18,K00059,,,0.6646957482307051,,,,,,,165.30960000000002,,,,
19,K00060,,,0.6619689891224685,,,,,,,22.433999999999997,,,,
20,K00064,,,0.7095364884726031,,,,,,,49.9976,,,,
21,K00067,,,0.675671410074715,,,,,,,81.46629999999999,,,,
22,K00075,,,0.6616619226262581,,,,,,,107.82740000000001,,,,
23,K00077,,,0.6748511231119071,,,,0.6372706200357358,,,296.6578999999999,,,,15.590700000000002
24,K00078,,,0.688,,,,,,,8.0342,,,,
25,K00082,,,0.757,,,,,,,8.5222,,,,
26,K00088,,,0.6595549901578476,,,,,,,75.87620000000001,,,,
27,K00091,,,0.6716843941907035,,,,,,,19.0131,,,,
28,K00096,,0.701,0.719698580578543,,,,,,4.7012,20.3169,,,,
29,K00099,,,0.6749552290426224,,,,,,,123.97980000000001,,,,
30,K00102,,,0.703,,,,,,,4.6009,,,,
31,K00108,,,0.7014161807013445,,,,,,,54.4495,,,,
32,K00111,,,0.6906247824889138,,,,,,,202.4781,,,,
33,K00112,,,,,,,0.762,,,,,,,6.5957
34,K00113,,,0.6940000000000001,,,,,,,7.8744,,,,
35,K00116,,,0.568,,,,,,,4.8882,,,,
36,K00122,,,0.6061836754203268,,,,,,,13.792,,,,
37,K00124,,,0.6238192376532725,,,,,,,63.020300000000006,,,,
38,K00126,,,0.6108065254140019,,,,0.644,,,6.5991,,,,6.1297
39,K00127,,,0.5737589141747964,,,,,,,38.5304,,,,
40,K00133,,,0.6962473605512222,,,,,,,25.8759,,,,
41,K00134,,,0.6331558710508257,,,,,,,52.4046,,,,
42,K00135,,,0.6990000000000001,,,,,,,13.352,,,,
43,K00140,,,0.71,,,,,,,38.84,,,,
44,K00145,,,0.6975271386090969,,,,,,,89.34129999999999,,,,
45,K00150,,0.69,,,,,,,6.8984,,,,,
46,K00153,,,0.696,,,,,,,14.0685,,,,
47,K00156,,,0.6219955988697392,,,,,,,27.918,,,,
48,K00161,,,0.7240000000000001,,,,,,,13.6871,,,,
49,K00163,,,0.6573309045421499,,,,,,,563.5675,,,,
50,K00170,,,0.72,,,,,,,11.8124,,,,
51,K00172,,,0.696,,,,,,,6.47,,,,
52,K00174,,,0.662030904192058,,,,,,,91.17110000000001,,,,
53,K00175,,0.647,0.6602568526380447,,,,,,3.5881,47.9457,,,,
54,K00176,,,0.713,,,,,,,6.2835,,,,
55,K00180,,,0.6827379274803408,,,,,,,13.224499999999999,,,,
56,K00208,,,0.6092159613251362,,,,,,,39.822599999999994,,,,
57,K00215,,,0.7098662984537022,,,,,,,74.8872,,,,
58,K00217,,,0.635,,,,,,,5.9585,,,,
59,K00228,,,0.6549253895959901,,,,,,,25.183600000000002,,,,
60,K00230,,,0.6374587297652788,,,,,,,6.693199999999999,,,,
61,K00231,,0.682,0.6922675616166315,,,,,,7.9937,35.6535,,,,
62,K00232,,,,0.49356005431860717,,,,,,,7.120799999999999,,,
63,K00240,,,0.6405697967240778,,,,,,,167.9545,,,,
64,K00241,,,0.5866422570926968,,,,,,,36.6218,,,,
65,K00242,,,0.691,,,,,,,15.8805,,,,
66,K00247,,,0.5710000000000001,,,,,,,2.6673,,,,
67,K00249,,,0.6791464517117373,,,,,,,135.3039,,,,
68,K00252,,,0.6934374295737401,,,,,,,34.4666,,,,
69,K00253,,,0.6890000000000001,,,,,,,3.8751,,,,
70,K00254,,,0.7340000000000001,,,,,,,13.2589,,,,
71,K00259,,,0.6806818557477418,,,,,,,29.0628,,,,
72,K00261,,,0.6659999999999999,,,,,,,6.4024,,,,
73,K00271,,,0.6920000000000001,,,,,,,9.6669,,,,
74,K00273,,,0.6960205100195407,,,,,,,66.7156,,,,
75,K00275,,,0.6853881902135898,0.7090000000000001,,,,,,99.21369999999999,10.6751,,,
76,K00281,,,0.701,,,,,,,14.4441,,,,
77,K00282,,,0.5813653034299084,,,,,,,17.5081,,,,
78,K00286,,,0.6618205201202796,,,,,,,112.306,,,,
79,K00287,,,0.68774775534385,,,,,,,13.5651,,,,
80,K00294,,,0.701,,,,,,,9.9975,,,,
81,K00297,,,0.688775582793156,0.499,,,,,,66.3252,2.4398,,,
82,K00299,,,0.699178600304635,,,,,,,88.95369999999998,,,,
83,K00304,,,0.6940000000000001,,,,,,,5.4886,,,,
84,K00305,,,0.74,,,,,,,5.6966,,,,
85,K00311,,,0.5810527437354955,,,,,,,16.475099999999998,,,,
86,K00316,,,0.5771699928489488,,,,,,,16.565600000000003,,,,
87,K00320,,,0.6928896587556507,,,,,,,37.0905,,,,
88,K00322,,,0.5651925248662665,,,,,,,15.3036,,,,
89,K00330,,,0.5871054044064783,,,,,,,116.55919999999999,,,,
90,K00331,,,0.6133031509998036,,,,,,,33.8474,,,,
91,K00332,,,0.5820000000000001,,,,,,,10.1094,,,,
92,K00334,,,0.6621930271682503,,,,,,,56.1903,,,,
93,K00337,,,0.5845437746093852,,,,,,,16.7899,,,,
94,K00338,,,0.6234843969365356,,,,,,,120.4789,,,,
95,K00339,,,0.6462051230582567,,,,,,,63.86709999999999,,,,
96,K00340,,,0.5895036465388893,,,,,,,119.65089999999998,,,,
97,K00341,,,0.601,0.2788262182308828,,,,,,8.9102,54.0283,,,
98,K00343,,,0.2975850558318264,0.251,,,,,,19.9112,17.371,,,
