,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6887929380320682,,,,,,,29.415399999999998,,,,
1,K00009,,,0.721,,,,,,,9.2346,,,,
2,K00012,,,0.619924295158834,,,,,,,11.0783,,,,
3,K00013,,,0.6609999999999999,,,,,,,5.6655,,,,
4,K00014,,,0.6033684954741176,,,,,,,11.0633,,,,
5,K00021,,,0.7020000000000001,,,,,,,6.3412,,,,
6,K00024,,,0.6652591194857185,,,,,,,18.6667,,,,
7,K00031,,,0.6094592492116322,,,,,,,20.4541,,,,
8,K00033,,,0.652332252406032,,,,,,,183.06980000000004,,,,
9,K00036,,,0.6284507202697064,,,,,,,18.7872,,,,
10,K00038,,,0.645,,,,,,,6.1608,,,,
11,K00052,,,0.6561679544746338,,,,,,,22.5168,,,,
12,K00053,,,0.6638861705847924,,,,,,,140.5663,,,,
13,K00057,,,0.6860974653066795,,,,,,,13.5827,,,,
14,K00058,,,0.6747667312075389,,,,,,,9.1872,,,,
15,K00059,,,0.7029908040473819,,,,,,,24.5325,,,,
16,K00060,,,0.705,,,,,,,6.2484,,,,
17,K00067,,,0.6578313417326356,,,,,,,41.9438,,,,
18,K00074,,,0.58,,,,,,,8.5228,,,,
19,K00075,,,0.677442453584746,,,,,,,40.391299999999994,,,,
20,K00077,,0.716,0.6641089428560751,,,,,,6.186,165.40480000000002,,,,
21,K00088,,,0.6693949981740266,,,,,,,37.0179,,,,
22,K00091,,,0.6757247762754753,,,,,,,9.7798,,,,
23,K00096,,,0.7532214221816039,,,,,,,10.5347,,,,
24,K00099,,,0.655737761176413,,,,,,,76.59689999999999,,,,
25,K00108,,,0.708,,,,,,,14.8307,,,,
26,K00111,,,0.667995374444241,,,,,,,44.212900000000005,,,,
27,K00112,,,0.7091179228995148,,,,,,,25.8549,,,,
28,K00113,,,0.68,,,,,,,4.4781,,,,
29,K00116,,,0.55,,,,,,,4.3777,,,,
30,K00122,,,0.665572948703775,,,,,,,32.655,,,,
31,K00124,,,0.6484788186109658,,,,,,,80.265,,,,
32,K00126,,,0.6654421511867081,,,,,,,6.1987000000000005,,,,
33,K00127,,,0.6078079782483081,,,,,,,22.8721,,,,
34,K00133,,,0.5950322127668815,,,,,,,16.4026,,,,
35,K00134,,,0.6209511267572841,,,,,,,67.7756,,,,
36,K00145,,,0.5910424657153792,,,,,,,30.1266,,,,
37,K00161,,,0.664553731573326,,,,,,,29.429,,,,
38,K00163,,,0.655312902456037,,,,,,,432.7933000000001,,,,
39,K00169,,,0.685,,,,,,,7.8338,,,,
40,K00174,,,0.5997791815137763,,,,,,,43.807500000000005,,,,
41,K00175,,,0.6373587306782822,,,,,,,129.1147,,,,
42,K00176,,,0.659,,,,,,,4.1102,,,,
43,K00180,,,0.687582301746541,,,,,,,9.4933,,,,
44,K00208,,,0.6589476768755226,,,,,,,49.859500000000004,,,,
45,K00215,,,0.6624307245116857,,,,,,,47.044,,,,
46,K00227,,,0.361,,,,,,,2.4819,,,,
47,K00228,,,0.6373051152961933,,,,,,,24.3782,,,,
48,K00230,,,0.688,,,,,,,6.4343,,,,
49,K00231,,,0.623,,,,,,,1.8991,,,,
50,K00232,,,0.677,,,,,,,7.037,,,,
51,K00240,,0.38,0.6387967410736659,,,,,,3.4097,215.67309999999998,,,,
52,K00241,,,0.5877924728872692,,,,,,,65.46369999999999,,,,
53,K00242,,,0.6575500446652688,,,,,,,30.7374,,,,
54,K00245,,,0.6436584108520981,,,,,,,11.4792,,,,
55,K00246,,,0.6781623529682921,,,,,,,12.010299999999999,,,,
56,K00247,,,0.6443827871625964,,,,,,,8.7338,,,,
