,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00003,,,0.7022965099977229,,,,,,33.5458,,,
1,K00009,,,0.711,,,,,,19.1749,,,
2,K00012,,,0.677,,,,,,6.0037,,,
3,K00014,,,0.6850987085059468,,,,,,13.424,,,
4,K00020,,,0.61,,,,,,8.2967,,,
5,K00029,,,0.636,,,,,,5.1135,,,
6,K00031,,,0.6287151977972834,,,,,,27.1452,,,
7,K00033,,,0.6654155977327095,,,,,,143.7269,,,
8,K00036,,,0.647,,,,,,5.9119,,,
9,K00052,,,0.68,,,,,,4.9619,,,
10,K00053,,,0.6578975454900126,,,,,,70.2486,,,
11,K00054,,0.4,,,,,,5.0251,,,,
12,K00057,,,0.6199730985039742,,,,,,7.183199999999999,,,
13,K00058,,,0.7030000000000001,,,,,,6.8848,,,
14,K00059,,,0.650172198773137,,,,,,20.347800000000003,,,
15,K00064,,,0.685,,,,,,6.243,,,
16,K00067,,,0.6916144763663676,,,,,,55.0629,,,
17,K00075,,,0.6880125207004469,,,,,,101.8943,,,
18,K00077,,,0.6667857783826519,,,,,,61.3516,,,
19,K00088,,,0.6299124303686898,,,,,,8.0102,,,
20,K00096,,0.384,0.7627893759171303,,,,,2.952,14.397,,,
21,K00099,,,0.6759124159088623,,,,,,91.4089,,,
22,K00111,,,0.6860988730788026,,,,,,59.5887,,,
23,K00112,,,0.7443819525023648,,,0.753,,,40.2843,,,4.5591
24,K00113,,,0.675,,,,,,5.659,,,
25,K00116,,,0.574,,,,,,4.332,,,
26,K00122,,,0.6633260093947166,,,,,,18.346899999999998,,,
27,K00124,,,0.6532704817427659,,,,,,116.73150000000001,,,
28,K00126,,,0.5913666022192455,,,,,,7.642799999999999,,,
29,K00127,,,0.6294277864800318,,,,,,39.2569,,,
30,K00134,,,0.6655337277593327,,,,,,58.5693,,,
31,K00135,,0.4029999999999999,,,,,,5.834,,,,
32,K00140,,,0.649,,,,,,11.7284,,,
33,K00145,,0.37200000000000005,0.7092552829132903,,,,,4.2544,48.2199,,,
34,K00161,,,0.692309901027479,,,,,,27.951900000000002,,,
35,K00163,,,0.6624896485301667,,,,,,417.4332,,,
36,K00169,,,0.662,,,,,,8.3624,,,
37,K00172,,,0.65,,,,,,6.0135,,,
38,K00174,,0.379,0.6839010533534005,,,,,5.269,47.7541,,,
39,K00175,,,0.6354062940668493,,,,,,40.6745,,,
40,K00202,,,0.669,,,,,,1.7279,,,
41,K00208,,,0.5495111909042784,,,,,,13.538,,,
