,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_countsUnclassified
0,K00031,,,0.648,,,,9.7696,
1,K00033,,,0.716,,,,6.3961,
2,K00059,,,0.6459999999999999,,,,6.0818,
3,K00099,,,0.7170000000000001,,,,10.8764,
4,K00111,,,0.7041370218854761,,,,11.982,
5,K00122,,,0.665,,,,9.7041,
6,K00124,,,0.6721201966363333,,,,15.4288,
7,K00163,,,0.6873588894883172,,,,16.436999999999998,
8,K00175,,,0.6759308095423081,,,,21.5486,
9,K00240,,,0.6622896000773714,,,,28.5304,
10,K00242,,,0.6940000000000001,,,,3.5373,
11,K00286,,,0.6970000000000001,,,,3.8662,
12,K00297,,,0.705,,,,8.0048,
13,K00330,,,0.627,,,,6.1516,
14,K00338,,,0.726,,,,7.0565,
15,K00340,,,0.647,,,,6.1022,
16,K00425,,,0.6705094037486354,,,,5.6464,
17,K00451,,,0.6773028260314427,,,,20.953200000000002,
18,K00507,,,0.6970000000000001,,,,7.8412,
19,K00540,,,0.762,,,,1.8685,
20,K00548,,,0.72,,,,3.2921,
21,K00549,,,0.6829999999999999,,,,7.0974,
22,K00554,,,0.693,,,,7.5516,
23,K00560,,,0.5912379050639731,,,,6.2608,
24,K00600,,,0.6878379638195682,,,,47.2704,
25,K00602,,,0.7120000000000001,,,,6.212,
26,K00606,,,0.626,,,,2.3842,
27,K00615,,,0.711,,,,4.9019,
28,K00626,,,0.7141268667856792,,,,26.703400000000002,
29,K00640,,,0.608,,,,2.1501,
30,K00657,,,0.6940000000000002,,,,1.7309,
31,K00688,,,0.6974462096954122,,,,13.540700000000001,
32,K00700,,,0.6783247008786987,,,,30.141800000000003,
33,K00705,,,0.621,,,,3.9924,
34,K00748,,,0.579,,,,2.3118,
35,K00759,,,0.745,,,,5.8281,
36,K00760,,,0.6759999999999999,,,,10.4869,
37,K00782,,,0.767,,,,3.2208,
38,K00794,,,0.6859999999999999,,,,6.285,
39,K00820,,0.468,0.6769069396424638,,,4.7878,17.7927,
40,K00831,,,0.6809999999999999,,,,2.6059,
41,K00855,,,0.515,,,,2.5052,
42,K00858,,0.4609647025179415,0.7118692284710753,,,9.0006,9.449,
43,K00865,,,0.7490000000000001,,,,1.8252,
44,K00873,,,0.7186234293725863,,,,9.5073,
45,K00925,,,0.693,,,,3.7045,
46,K00926,,0.42,0.7095407871276214,,,2.1026,4.5175,
47,K00927,,,0.6889607864353589,,,,8.806000000000001,
48,K00930,,,0.684,,,,10.5678,
49,K00936,,,0.6990000000000001,,,,7.2995,
50,K00937,,,0.7020000000000001,,,,13.3288,
51,K00948,,,0.6729999999999999,,,,9.817,
52,K00952,,0.465,,,,2.7531,,
53,K00954,,,0.6177367142469143,,,,14.3378,
54,K00957,,,0.7031894594425386,,,,22.5657,
55,K00958,,,0.667,,,,13.6692,
56,K00963,,,0.715,,,,4.6288,
57,K00975,,,0.594,,,,2.4476,
58,K00986,,,0.5823985347906719,,,,42.49490000000001,
59,K01005,,,0.7559999999999999,,,,2.8178,
60,K01056,,,0.78,,,,3.054,
61,K01057,,,0.8019999999999999,,,,3.3349,
62,K01126,,,0.6779999999999999,,,,3.0785,
63,K01129,,,0.7161471157147282,,,,16.2085,
64,K01151,,0.353,,,,1.913,,
65,K01246,,,0.711,,,,1.8087,
66,K01251,,0.5379999999999999,0.6726541391698944,,,2.6307,94.5447,
67,K01283,,,0.644,,,,2.5833,
68,K01358,,,0.6477640596546858,,,,33.339999999999996,
69,K01409,,,0.7187719552355427,,,,7.8124,
70,K01433,,,0.665,,,,3.8004,
71,K01455,,,0.669,,,,4.6961,
72,K01462,,,0.6890000000000001,,,,1.7192,
73,K01470,,,0.6809999999999999,,,,6.5833,
74,K01494,,,0.5579999999999999,,,,3.1055,
75,K01495,,,0.68,,,,2.1217,
76,K01497,,,0.6895508027374382,,,,23.612099999999998,
77,K01507,,,0.6766903798091061,,,,10.8461,
78,K01551,,,0.7017742045811329,,,,16.3179,
79,K01561,,,0.7020000000000001,,,,3.1013,
80,K01588,,,0.723,,,,5.7624,
81,K01595,,,0.6618943789230405,,,,13.1095,
82,K01596,,,0.6598934833212261,,,,17.8059,
83,K01602,,,0.67,,,,4.1045,
84,K01607,,,0.636,,,,5.1822,
85,K01610,,,0.618,,,,6.2702,
86,K01619,,,0.626,,,,4.9057,
87,K01621,,,0.6765347318776184,,,,17.4438,
88,K01623,,,0.6602931672353923,,,,16.3422,
89,K01626,,,0.7189287389340039,,,,11.3519,
90,K01638,,,0.669,,,,8.1457,
91,K01640,,,0.701,,,,9.4943,
92,K01658,,,0.752,,,,4.2877,
93,K01689,,,0.725,,,,4.2417,
94,K01698,,,0.7123384943535096,,,,13.4757,
95,K01724,,,0.653,0.667,,,4.7922,2.8916
96,K01752,,,0.7070000000000001,,,,5.0884,
97,K01754,,0.511,,,,3.1012,,
98,K01759,,,0.664,,,,6.0599,
99,K01775,,,0.742,,,,4.103,
100,K01776,,,0.6729999999999999,,,,4.658,
101,K01778,,,0.6990000000000001,,,,2.7855,
102,K01803,,,0.6894271063933637,,,,6.6768,
103,K01821,,0.446,,,,4.7058,,
104,K01839,,,0.7284115806472645,,,,9.378,
105,K01849,,,0.695,,,,20.4812,
106,K01854,,,0.618,,,,1.8878,
107,K01858,,,0.6322848758641044,,,,52.79859999999999,
108,K01866,,,0.6990000000000001,,,,2.8773,
109,K01867,,,0.6809999999999999,,,,6.7118,
110,K01868,,,0.6427439794796179,,,,6.6507000000000005,
111,K01875,,0.401,0.613,,,2.4032,2.26,
112,K01881,,,0.6859999999999999,,,,9.3381,
113,K01889,,,0.688937810425467,,,,16.2446,
114,K01890,,,0.6836078098767284,,,,10.238800000000001,
115,K01915,,,0.6774010814646929,,,,47.470400000000005,
116,K01921,,,0.736,,,,2.9934,
117,K01923,,,0.7170000000000001,,,,6.8333,
118,K01926,,,0.6571623708595705,,,,15.5891,
119,K01933,,0.61,,,,1.9662,,
120,K01934,,0.6809999999999999,,,,1.943,,
121,K01935,,,0.7240000000000001,,,,5.4726,
122,K01937,,,0.6825059476657602,,,,50.4582,
123,K01940,,,0.685680858287956,,,,32.0265,
124,K01951,,,0.631,,,,4.3275,
125,K01953,,,0.5589999999999999,,,,1.881,
126,K01972,,,0.715407352097127,,,,20.3602,
127,K01975,,0.43,,,,2.9334,,
128,K01995,,,0.662,,,,5.4146,
129,K02001,,,0.653,,,,4.9683,
130,K02002,,,0.6295754130402215,,,,10.1677,
131,K02003,,,0.7040000000000001,,,,14.863,
132,K02004,,,0.6992393439318233,,,,16.6019,
133,K02015,,,0.718,,,,1.6497,
134,K02029,,,0.672,,,,3.6708,
135,K02034,,0.48300000000000004,,,,4.1737,,
136,K02039,,0.44799999999999995,,,,2.9296,,
137,K02040,,,0.647,,,,3.1663,
138,K02047,,,0.6579999999999999,,,,3.3891,
139,K02065,,,0.6649999999999999,,,,12.1863,
140,K02066,,,0.665126024022607,,,,52.5968,
141,K02067,,,0.6890000000000001,,,,4.25,
142,K02078,,,0.635,0.5769373574384634,,,3.6895,5.1824
143,K02113,,,0.6559999999999999,,,,3.5933,
144,K02199,,,0.7440000000000001,,,,2.2913,
145,K02304,,,0.711,,,,15.7169,
146,K02313,,,0.6611711287472718,,,,11.670300000000001,
147,K02314,,,0.66,,,,4.9888,
148,K02338,,,0.6807262053884621,,,,10.5501,
149,K02343,,,0.7005134871143054,,,,21.8702,
150,K02357,,,0.5870000000000001,,,,2.0613,
151,K02405,,,0.667,,,,3.3902,
152,K02437,,,0.68,,,,6.7401,
153,K02492,,,0.7337101876585939,,,,9.394400000000001,
154,K02518,,,0.6409999999999999,,,,9.8005,
155,K02520,,,0.663464260363155,,,,16.3342,
156,K02600,,,0.6894516063680243,,,,57.2758,
157,K02601,,,0.648647923795316,,,,17.1369,
158,K02609,,,0.6559999999999999,,,,6.845,
159,K02614,,,0.722,,,,2.5647,
160,K02638,,,0.758,,,,3.1399,
161,K02650,,,0.628,,,,4.9009,
162,K02834,,,0.657,,,,4.7494,
163,K02838,,,0.6459999999999999,,,,4.2146,
164,K02864,,,,0.703,,,,3.9195
165,K02866,,0.503,,,,3.3162,,
166,K02867,,,0.667,,,,26.2243,
167,K02871,,,0.6594192041626605,,,,15.569299999999998,
168,K02876,,,0.638,,,,2.2224,
169,K02878,,,0.6940000000000001,,,,28.8742,
170,K02879,,,0.6713485675191215,,,,21.0706,
171,K02881,,0.5,,,,3.5272,,
172,K02886,,,0.7239978975003507,,,,20.2962,
173,K02892,,,0.6042607213386786,,,,10.0825,
174,K02895,,,0.5684794071503213,,,,4.9277,
175,K02902,,,0.682,,,,3.8171,
176,K02913,,,0.616,,,,3.7963,
177,K02914,,,0.711,,,,3.9655,
178,K02916,,,0.624,,,,4.3375,
179,K02931,,,0.6844172652891347,,,,18.836100000000002,
180,K02933,,,0.6743667804496528,,,,11.5564,
181,K02935,,,0.6846665130467224,,,,12.967600000000001,
182,K02939,,,0.697443794549892,,,,10.249099999999999,
183,K02945,,,0.6776720471916245,,,,51.4207,
184,K02946,,,0.647,,,,14.781,
185,K02948,,,0.726,,,,19.2567,
186,K02950,,,0.6890000000000001,,,,14.8517,
187,K02952,,,0.6609999999999999,,,,5.5147,
188,K02954,,,0.6487991403300192,,,,7.6541,
189,K02963,,,0.6809999999999999,,,,4.0243,
190,K02965,,,0.634,,,,7.7965,
191,K02966,,0.4620000000000001,,,,2.2694,,
192,K02967,,,0.6712850343517169,,,,18.3778,
193,K02982,,,0.673227729301326,,,,22.755899999999997,
194,K02986,,,0.6575855414471871,,,,8.7384,
195,K02987,,0.546,,,,2.9581,,
