,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00005,,,0.713,,,,,,,9.8907,,,,
1,K00009,,,0.714,,,,,,,24.7454,,,,
2,K00014,,0.371,0.7520000000000001,,,,,,5.2326,10.9607,,,,
3,K00020,,,0.6989645047170396,,,,,,,22.649,,,,
4,K00031,,,0.6532792150783648,,,,,,,39.773300000000006,,,,
5,K00033,,,0.7349810214166804,,,,,,,286.39390000000003,,,,
6,K00036,,,0.6979628148926893,,,,,,,38.5773,,,,
7,K00042,,,0.7140000000000001,,,,,,,16.4727,,,,
8,K00053,,,0.6848909939471642,,,,,,,34.9952,,,,
9,K00058,,,0.7492678951033901,,,,,,,87.6742,,,,
10,K00059,,,0.7333561266395822,,,,,,,53.4051,,,,
11,K00064,,,0.7573901165011817,,,,,,,53.949,,,,
12,K00067,,,0.758359422641965,,,,,,,63.48559999999999,,,,
13,K00075,,,0.7634916653374871,,,,,,,93.4749,,,,
14,K00077,0.7054844472628718,0.7190000000000001,0.7252765533087263,,,,0.628,16.8107,13.9328,128.2604,,,,4.0561
15,K00078,,,0.7580137174490703,,,,,,,22.294400000000003,,,,
16,K00088,,0.364,0.759,,,,,,3.7764,43.3678,,,,
17,K00096,,0.4,0.7576517013566527,,,,,,3.3643,19.8164,,,,
18,K00099,,,0.7403716926539271,,,,,,,87.21340000000001,,,,
19,K00111,,,0.7296502126894086,,,,,,,50.4829,,,,
20,K00112,,,0.7858422322310776,,,,0.7790516526461136,,,77.8342,,,,51.1247
21,K00113,,,0.7245108761025346,,,,,,,30.463099999999997,,,,
22,K00122,,,0.6735725539436738,,,,,,,15.7804,,,,
23,K00124,,,0.7032942604135362,,,,,,,90.8412,,,,
24,K00127,,,0.5873468481022928,,,,,,,10.3995,,,,
25,K00133,,,0.7248036405281114,,,,,,,33.6526,,,,
26,K00145,,0.379,0.7390980820429506,,,,,,3.6804,91.9789,,,,
27,K00148,,,0.682,,,,,,,25.5952,,,,
28,K00153,,,0.73,,,,,,,32.1687,,,,
29,K00161,,,0.7361116636361567,,,,,,,54.450799999999994,,,,
30,K00162,,,0.7096272082639826,,,,,,,75.8733,,,,
31,K00163,,,0.6913475814256481,,,,,,,387.77310000000006,,,,
32,K00174,,,0.6459999999999999,,,,,,,2.5136,,,,
33,K00175,,0.375,0.642,,,,,,3.5925,17.9248,,,,
34,K00215,,,0.7342016449713665,,,,,,,56.73949999999999,,,,
35,K00217,,,0.7909999999999999,,,,,,,22.8143,,,,
36,K00221,,,0.7280950031469922,,,,,,,28.568199999999997,,,,
37,K00228,,,0.688,,,,,,,6.5442,,,,
38,K00230,,,0.7157585407535396,,,,,,,40.196799999999996,,,,
39,K00240,,0.3762380288437401,0.683667255351919,,,,,,7.2394,134.35880000000003,,,,
40,K00241,,0.4063203980634203,0.6694421598719034,,,,,,5.4012,48.0447,,,,
41,K00242,,,0.713,,,,,,,43.829,,,,
42,K00249,,,0.708,,,,,,,26.0379,,,,
43,K00259,,,0.7054563515696494,,,,,,,52.187999999999995,,,,
44,K00273,,,0.6709999999999999,,,,,,,7.5249,,,,
45,K00274,,,0.7694042004436148,,,,,,,37.2727,,,,
46,K00275,,,0.7424524657591445,,,,,,,157.14469999999997,,,,
47,K00279,,,0.75,,,,,,,10.5332,,,,
48,K00286,,,0.6618833899490995,,,,,,,12.986799999999999,,,,
