,KEGG,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adjUnclassified,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_countsUnclassified
0,K00024,,0.6409999999999999,,,,10.2444,,
1,K00029,,0.618,,,,5.0471,,
2,K00031,,0.612,,,,13.9907,,
3,K00033,,0.6352568459068354,,,,23.5935,,
4,K00052,,0.647,,,,7.9929,,
5,K00053,,0.7190000000000001,,,,7.749,,
6,K00067,,0.5670000000000001,,,,3.6483,,
7,K00075,,0.591,,,,3.0295,,
8,K00077,,0.5717577322896131,,,,28.6252,,
9,K00108,,0.565,,,,8.2784,,
10,K00111,,0.5712491991913322,,,,8.9871,,
11,K00116,,0.6384303058534243,,,,9.718,,
12,K00124,,0.5895153547969271,,,,17.3127,,
13,K00127,,0.5572303579321672,,,,8.6445,,
14,K00163,,0.6514503783063528,,,,82.4674,,
15,K00175,,0.583,,,,4.0973,,
16,K00180,,0.732,,,,5.3081,,
17,K00201,,0.6709999999999999,,,,2.4968,,
18,K00215,,0.6026198161034056,,,,7.1886,,
19,K00228,,0.68,,,,3.6521,,
20,K00240,,0.6226672644776858,,,,15.1964,,
21,K00241,,0.608,,,,4.9498,,
22,K00275,,0.5908280126255712,,,,10.6875,,
23,K00286,,0.601,,,,2.6534,,
24,K00330,,0.637,,,,4.0762,,
25,K00331,,0.615,,,,10.141,,
26,K00334,,0.6583839670632582,,,,18.5141,,
27,K00339,,0.612,,,,6.4179,,
28,K00340,,0.5577358726857983,,,,13.9078,,
29,K00343,,,0.197,,,,7.4564,
30,K00344,,0.6829999999999999,,,,5.4573,,
31,K00390,,0.6674329231169912,,,,6.4915,,
32,K00395,,0.575,,,,3.1794,,
33,K00406,,0.5816197893718908,,,,8.538499999999999,,
34,K00412,,0.609,,,,14.082,,
35,K00413,,0.6098179282480073,,,,8.7567,,
36,K00425,,0.5920115699108711,,,,55.46620000000001,,
37,K00426,,0.6177119916764549,,,,30.223099999999995,,
38,K00428,,0.6275961769697208,,,,12.2502,,
39,K00432,,0.6413849892647042,,,,5.9392,,
40,K00433,,0.6250179837580971,,,,60.6607,,
41,K00452,,0.636,,,,8.3866,,
42,K00453,,0.6634946734599353,,,,10.875,,
43,K00457,,0.652647910003182,,,,16.6114,,
44,K00459,,0.6500518388535589,,,,20.2643,,
45,K00507,,0.612941499668136,,,,11.004299999999999,,
