,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6472941589522874,,,,,,,47.179,,,,
1,K00010,,,0.636,,,,,,,6.7705,,,,
2,K00012,,,0.6163309338174728,,,,,,,82.79339999999999,,,,
3,K00013,,,0.7006005532723596,,,,,,,10.0379,,,,
4,K00014,,,0.6451211352941701,,,,,,,41.918499999999995,,,,
5,K00018,,,0.611,,,,,,,6.2104,,,,
6,K00019,,,0.572620166437758,,,,,,,13.580199999999998,,,,
7,K00020,,,0.5991170171605672,,,,,,,37.3692,,,,
8,K00023,,,0.6030403138951744,,,,,,,18.6166,,,,
9,K00024,,,0.6189642059450994,,,,,,,24.0741,,,,
10,K00027,,,0.6353871801499096,,,,,,,17.3793,,,,
11,K00029,,,0.6367336156783564,,,,,,,56.3446,,,,
12,K00030,,,0.627,,,,,,,20.034,,,,
13,K00031,,,0.6043899398019711,,0.61,,,,,61.233,,11.7195,,
14,K00033,,,0.6357607311052965,,0.5529999999999999,,,,,330.6118,,6.833,,
15,K00034,,,0.605,,,,,,,6.631,,,,
16,K00036,,,0.6332844972428282,,,,,,,102.5491,,,,
17,K00038,,,0.6185342698742571,,,,,,,15.6506,,,,
18,K00042,,,0.612,,,,,,,5.2888,,,,
19,K00046,,,0.6679999999999999,,,,,,,6.5626,,,,
20,K00052,,,0.6280812947518928,,,,,,,31.770000000000003,,,,
21,K00053,,,0.6282244786528149,,,,,,,135.7695,,,,
22,K00054,,,0.618,,,,,,,4.8091,,,,
23,K00057,,,0.6594047775901035,,,,,,,76.74510000000001,,,,
24,K00058,,,0.6302704637384567,,,,,,,63.8285,,,,
25,K00059,,,0.6542050927893338,,,,,,,219.2176,,,,
26,K00060,,,0.6240494141545949,,,,,,,51.18260000000001,,,,
27,K00064,,,0.5720000000000001,,,,,,,10.925,,,,
28,K00065,,,0.6890000000000001,,,,,,,6.3687,,,,
29,K00066,,,0.573,,,,,,,5.9694,,,,
30,K00067,,0.617,0.6514898534316901,,,,,,16.1951,176.40529999999998,,,,
31,K00074,,,0.6456035652299481,,,,,,,41.0368,,,,
32,K00075,,,0.6416046856791366,,,,,,,173.09610000000004,,,,
33,K00076,,,0.693,,,,,,,4.455,,,,
34,K00077,,,0.6543328996215815,,,,0.636,,,255.48840000000004,,,,2.2394
35,K00078,,,0.667,,,,,,,4.9572,,,,
36,K00088,,,0.6441366203096757,,,,,,,135.70799999999997,,,,
37,K00091,,,0.6321196621037748,,,,,,,26.137900000000002,,,,
38,K00097,,,0.5951652537367967,,,,,,,15.029900000000001,,,,
39,K00099,,,0.6410464694287737,,,,,,,170.0089,,,,
40,K00108,,,0.6268162065710818,,,,,,,38.1476,,,,
41,K00111,,,0.641355538430411,,,,,,,227.15940000000003,,,,
42,K00112,,,0.6842905823071347,,,,,,,7.7486,,,,
43,K00113,,,0.6308333116426496,,,,,,,12.6308,,,,
44,K00122,,,0.5997540890583267,,,,,,,11.0461,,,,
