,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6305728978364069,,,,,,12.518799999999999,,,
1,K00010,,,0.5739999999999998,,,,,,4.7077,,,
2,K00012,,,0.5679663510198897,,,,,,22.882199999999997,,,
3,K00014,,,0.636118345275027,,,,,,23.4089,,,
4,K00019,,,0.638,,,,,,6.2594,,,
5,K00020,,,0.6201216807525656,,,,,,15.412099999999999,,,
6,K00022,,,0.49499999999999994,,,,,,8.2326,,,
7,K00023,,,0.664,,,,,,8.7471,,,
8,K00024,,,0.586,,,,,,8.6182,,,
9,K00029,,,0.5709763796061693,,,,,,83.35029999999999,,,
10,K00031,,,0.5726211104006277,0.613,,,,,32.3403,14.4411,,
11,K00033,,,0.6095926532583821,,,,,,146.2325,,,
12,K00034,,,0.5589999999999999,,,,,,4.5114,,,
13,K00035,,,0.57,,,,,,2.7741,,,
14,K00036,,,0.555087032967241,,,,,,69.29830000000001,,,
15,K00039,,,0.58,,,,,,8.0057,,,
16,K00052,,,0.581,,,,,,4.9009,,,
17,K00053,,,0.6312198843243608,,,,,,61.6584,,,
18,K00054,,0.5525580608332099,,,,,,14.0307,,,,
19,K00057,,,0.6343274854741829,,,,,,33.9687,,,
20,K00058,,,0.6286773511331393,,,,,,28.2118,,,
21,K00059,,,0.5967723485531184,,,,,,126.60839999999999,,,
22,K00060,,,0.687,,,,,,7.3261,,,
23,K00065,,,0.575,,,,,,4.9322,,,
24,K00067,,0.5018623944994078,0.6330299819364503,,,,,5.5802,55.7215,,,
25,K00075,,,0.6250799795461035,,,,,,120.23329999999997,,,
26,K00077,,0.644,0.6146171370065592,,,0.5808593702414959,,2.2019,331.0303,,,7.8772
27,K00088,,,0.6652327131006283,,,,,,11.1939,,,
28,K00091,,,0.593,,,,,,7.3909,,,
29,K00096,,0.381,0.563,,,,,3.3185,5.9343,,,
30,K00099,,,0.623409698400217,,,,,,74.3566,,,
31,K00108,,,0.6124464236206976,,,,,,22.7366,,,
32,K00111,,,0.5953187018104712,0.569,,,,,141.09900000000002,3.3326,,
33,K00116,,,0.5723225397200309,,,,,,40.0235,,,
34,K00122,,,0.606,,,,,,5.656,,,
35,K00124,,,0.6028891943914058,,,,,,126.39970000000001,,,
36,K00126,,,0.6576192317514089,,,,,,24.7053,,,
37,K00127,,,0.5976464113069223,,,,,,45.9769,,,
38,K00133,,,0.6618040073890223,,,,,,18.073999999999998,,,
39,K00134,,,0.5991697888304459,,,,,,30.2056,,,
40,K00135,,,0.564,,,,,,6.224,,,
41,K00140,,,0.5770000000000001,,,,,,3.1814,,,
42,K00145,,,0.6280794631988565,,,,,,58.674800000000005,,,
43,K00156,,,0.565,,,,,,16.1557,,,
44,K00163,,,0.6099398052562343,,,,,,391.8670000000001,,,
45,K00166,,,0.638,,,,,,8.0989,,,
46,K00170,,,0.5529999999999999,,,,,,7.5388,,,
47,K00172,,0.7140000000000001,,,,,,3.5276,,,,
48,K00174,0.539,,0.6157948553572099,,,,3.8031,,57.137899999999995,,,
49,K00175,,,0.5989536514519805,,,,,,102.55939999999998,,,
50,K00180,,,0.6919544983901309,,,,,,11.0234,,,
51,K00201,,,0.603,,,,,,4.116,,,
52,K00208,,,0.5916796839251709,,,,,,31.833000000000002,,,
53,K00209,,,0.6100000000000001,,,,,,2.9518,,,
54,K00215,,,0.6683477659896178,,,,,,50.8664,,,
55,K00217,,,0.581,,,,,,2.6008,,,
56,K00221,,,0.7249999999999999,,,,,,2.9862,,,
57,K00228,,,0.6380330318931143,,,,,,26.0048,,,
58,K00231,,,0.6009475711422207,,,,,,37.4466,,,
59,K00232,,,0.5581785603996352,,,,,,6.7044999999999995,,,
60,K00240,,0.514642576173002,0.6170743824901598,,,,,7.936299999999999,151.6754,,,
61,K00241,,,0.5930088723705259,,,0.514,,,70.7691,,,3.7475
62,K00242,,,0.6702571370270731,,,,,,13.345600000000001,,,
63,K00245,,,0.607,,,,,,11.4283,,,
64,K00246,,,0.562,,,,,,3.4587,,,
65,K00247,,0.54,0.6167819356716453,,,,,3.7745,15.9423,,,
66,K00249,,,0.5759036910933742,,,,,,31.302599999999998,,,
67,K00253,,,0.544,,,,,,5.0885,,,
68,K00254,,,0.6108546760872635,,,,,,24.493100000000002,,,
69,K00259,,,0.7020000000000001,,,,,,5.1893,,,
70,K00262,,,0.522,,,,,,4.6867,,,
71,K00273,,,0.733,,,,,,2.9586,,,
72,K00275,,,0.6711450898788683,,,,,,80.779,,,
73,K00283,,,0.6062835280848292,,,,,,15.595299999999998,,,
74,K00286,,,0.6298093599250317,,,,,,107.92210000000004,,,
75,K00287,,,0.5973098362585352,,,,,,9.6233,,,
76,K00297,,,0.6351680315358487,,,,,,37.029700000000005,,,
77,K00299,,,0.7111223240383476,,,,,,8.7278,,,
78,K00304,,,0.6821808128811332,,,,,,5.108499999999999,,,
79,K00311,,,0.6232506004024932,,,,,,40.432,,,
80,K00316,,,0.6299748270655046,,,,,,12.193200000000001,,,
81,K00320,,,0.677,,,,,,5.7797,,,
82,K00330,,,0.568143575199449,,,,,,112.5064,,,
83,K00331,,,0.5861254481797642,,,,,,36.4432,,,
84,K00332,,,0.632261851108483,,,,,,35.4268,,,
85,K00334,,,0.6062407178853755,,,,,,87.01499999999999,,,
86,K00337,,,0.5740206759977176,,,,,,18.922,,,
87,K00338,,,0.6040220885367682,,,,,,133.41180000000003,,,
88,K00339,,,0.5975686935085576,,,,,,46.301500000000004,,,
89,K00340,,,0.5699991915977057,,,,,,76.76559999999999,,,
90,K00341,,,0.603,,,,,,5.717,,,
91,K00343,,,0.5831682166832374,,,,,,9.1264,,,
92,K00344,,,0.584429009495402,,,,,,68.1845,,,
93,K00355,,,0.619,,,,,,11.5483,,,
94,K00363,,,0.624,,,,,,3.1483,,,
95,K00375,,,0.563,,,,,,4.7686,,,
96,K00382,,,0.6955806100663376,,,,,,15.5943,,,
97,K00384,,0.521,0.584632240416627,,,,,3.9017,48.665499999999994,,,
98,K00389,,,0.5750812217096472,,,0.685,,,38.409200000000006,,,2.6225
99,K00390,,0.356,0.6244472401844923,,,,,2.1942,69.58769999999998,,,
100,K00395,,,0.5903163168260906,,,,,,14.053500000000001,,,
101,K00406,,,0.5863299933311606,,,,,,21.5041,,,
102,K00411,,,0.6605546088160009,,,,,,16.9205,,,
103,K00412,,,0.6200463632225862,0.268,,,,,30.1915,4.7289,,
104,K00413,,,0.664465153757759,,,,,,15.7156,,,
105,K00424,,,0.573,,,,,,2.7746,,,
106,K00425,,,0.5851127718893288,,,,,,435.43170000000003,,,
107,K00426,,,0.5880155001425272,,,0.5717342770944536,,,312.3013000000001,,,8.1798
108,K00428,,,0.6165034408012517,,,,,,119.06450000000001,,,
109,K00432,,,0.600010270667087,,,,,,65.2487,,,
110,K00433,,0.573,0.5843310724647687,,,,,3.0646,216.34260000000006,,,
111,K00435,,,0.5721660899337203,,,,,,13.112,,,
112,K00448,,,0.577628457350047,,,,,,17.337200000000003,,,
113,K00449,,,0.6041153005339958,,,,,,45.2496,,,
114,K00450,,,0.6472790202538272,,,,,,43.9707,,,
115,K00451,0.514,0.5351605605857367,0.6458792495617606,,,,3.4267,7.1568000000000005,91.13980000000002,,,
116,K00452,,,0.5826082384749648,,,,,,19.9716,,,
117,K00453,,,0.5770021012674558,,,,,,118.5411,,,
118,K00456,,,0.5779622860454265,,,,,,50.2817,,,
119,K00457,,0.517,0.5813777300401579,,,,,4.5948,50.7269,,,
120,K00459,,0.561,0.6332496340517447,0.601,,,,4.9375,219.9218,3.0018,,
121,K00463,,,0.6196213845967281,,,,,,10.736,,,
122,K00469,,,0.569,,,,,,1.6966,,,
123,K00479,,,0.68,,,,,,9.0442,,,
124,K00481,,,0.5787494408591719,,,,,,11.4123,,,
125,K00486,,,0.713,,,,,,5.6769,,,
126,K00499,,,0.565,,,,,,5.8243,,,
127,K00507,,,0.58265154549274,,,,,,184.35470000000007,,,
128,K00518,,,0.6455528945906148,,,,,,18.4768,,,
129,K00525,,0.3979999999999999,0.6220074103326088,,,,,3.0969,114.7412,,,
130,K00528,,,0.6949999999999998,,,,,,3.7112,,,
131,K00537,,,0.6216990287703631,,,,,,6.0306999999999995,,,
132,K00540,,,0.6411634610646024,,,0.6779999999999999,,,81.77709999999999,,,2.3557
133,K00544,,,0.556,,,,,,4.2116,,,
134,K00545,,0.49,,,,,,3.4556,,,,
135,K00548,,,0.6082048370122779,,,,,,171.2189,,,
136,K00549,,0.5637546383111106,0.6357516514159128,0.6073824837412093,,,,13.2898,464.2835000000001,9.8552,,
137,K00554,,,0.6465803874373574,,,,,,66.19139999999999,,,
138,K00560,,,0.6401464025639856,,,,,,47.4694,,,
139,K00564,,,0.762,,,,,,4.8451,,,
140,K00566,,,0.58,,,,,,4.9534,,,
141,K00567,,,0.6251014534412465,,,,,,27.4855,,,
142,K00570,,,0.6691763804976124,,,,,,26.5284,,,
143,K00573,,,0.6381279737439997,,,0.613,,,199.43780000000004,,,4.489
144,K00574,,,0.6378758118013192,,,,,,68.2567,,,
145,K00575,,,0.5458092767346963,,,,,,16.4405,,,
146,K00577,,0.5596564906119142,,,,,,6.6627,,,,
147,K00588,,0.518877496947168,0.5816387405442415,,,,,11.1723,21.5153,,,
148,K00598,,,0.6807482359409148,,,,,,19.7776,,,
149,K00600,,0.512,0.6228742386392999,,,,,3.7088,272.5059,,,
150,K00602,,0.5090104975676811,0.6309631257061712,,,,,9.1412,214.91129999999998,,,
151,K00603,,,0.59,,,,,,5.3211,,,
152,K00604,,,0.6558458837218094,,,,,,12.299199999999999,,,
153,K00605,,,0.6738714411343929,,,,,,10.3549,,,
154,K00606,,0.46413748189174414,0.629931940813646,,,,,5.9521999999999995,163.7061,,,
155,K00609,,0.4727686458463021,0.642564756056299,,,,,9.817599999999999,86.2284,,,
156,K00610,,0.497,,,,,,3.8651,,,,
157,K00611,,0.5429999999999999,0.5978148198742328,,,,,5.9009,29.2196,,,
158,K00612,,,0.5720000000000001,,,,,,8.5304,,,
159,K00615,,,0.5994154241008985,,,,,,69.4858,,,
160,K00616,,,0.5554547836518726,,,,,,36.2809,,,
161,K00619,,,0.5589999999999999,,,,,,5.7,,,
162,K00620,,,0.6493988787674737,,,,,,83.1207,,,
163,K00626,,,0.6217024089059726,,,,,,311.97779999999983,,,
164,K00632,,,0.584,,,,,,4.2333,,,
165,K00635,,,0.6449529770411215,,,,,,164.70929999999998,,,
166,K00640,,,0.6427179196186149,,,,,,23.7275,,,
167,K00641,,,0.6253319811680756,,,,,,221.0209999999999,,,
168,K00645,,,0.609,,,,,,7.4593,,,
169,K00647,,,0.717,,,,,,7.5704,,,
170,K00648,,,0.6221891539919163,,,,,,35.0357,,,
171,K00655,,,0.6111782471265366,0.495,,,,,111.05229999999999,3.405,,
172,K00657,,0.5083757772704811,0.6236314791122907,,,,,17.6497,29.456999999999997,,,
173,K00661,,,0.6016551826570732,,,,,,9.812,,,
174,K00662,,,0.5760000000000001,,,,,,3.3927,,,
175,K00663,,,0.6635589511374939,,,,,,9.5007,,,
176,K00673,,,0.531,,,,,,3.1785,,,
177,K00674,,,0.652705048514678,,,,,,24.4518,,,
178,K00675,,,0.557,,,,,,3.3977,,,
179,K00677,,,0.6022945546211119,,,,,,78.6705,,,
180,K00681,,,0.706,,,,,,5.715,,,
181,K00682,,,0.638330200482588,,,,,,7.4175,,,
182,K00683,,,0.5883708160853918,,,,,,22.508999999999997,,,
183,K00684,,,0.6279411082127653,,,,,,25.8327,,,
184,K00688,,0.563,0.588614590039912,,,,,3.9136,372.25200000000007,,,
185,K00700,,0.517,0.5896805729653904,,,,,4.7578,122.0643,,,
186,K00703,,,0.5991980627329153,,,,,,129.48989999999998,,,
187,K00705,,,0.672489608169066,,,,,,33.7062,,,
188,K00720,,,0.595481040334391,,,,,,85.6767,,,
189,K00721,,,0.573,,,,,,5.6444,,,
190,K00728,,,0.708,,,,,,10.3207,,,
191,K00729,,,0.5755682501770812,,,,,,18.505,,,
192,K00748,,,0.6505045170908402,,,,,,47.1056,,,
193,K00754,,,0.5529999999999999,,,,,,4.5403,,,
194,K00759,,,0.6106945712131503,,,,,,93.75010000000002,,,
195,K00760,,,0.6045152750999309,,,,,,129.62019999999995,,,
196,K00761,,,0.643,,,,,,4.9367,,,
197,K00762,,0.51,0.633108859640593,,,,,2.917,49.6831,,,
198,K00763,,,0.6314697384035646,,,,,,68.65990000000001,,,
199,K00764,,0.521,0.6379821377384876,,,,,4.6325,223.05579999999998,,,
200,K00765,,,0.5926812415126702,,,,,,41.5103,,,
201,K00766,,0.5317835854790326,0.6496335798488247,,,0.6481698543983744,,7.2752,90.12440000000001,,,4.9624
202,K00767,,,0.597,,,,,,3.0059,,,
203,K00768,,,0.6910880161105757,,,,,,33.9531,,,
204,K00769,,,0.622,,,,,,7.8715,,,
205,K00772,,,0.642,,,,,,6.5997,,,
206,K00773,,,0.6498244347396697,,,,,,26.022399999999998,,,
207,K00782,,,0.6521063737249448,,,,,,12.4773,,,
208,K00783,,,0.662772834009851,,,,,,28.9032,,,
209,K00784,,0.5367515227466432,0.6060191307637068,,,,,5.1459,17.799799999999998,,,
210,K00788,,,0.6050936253680615,,,,,,39.642,,,
211,K00789,,,0.6330236081842812,,,,,,388.7582,,,
212,K00790,,,0.6381444907828956,,,,,,148.6716,,,
213,K00791,,,0.6754983454096062,,,,,,20.4174,,,
214,K00793,,0.6729999999999999,0.6191519415454861,,,,,4.4047,111.28000000000002,,,
215,K00794,,,0.617641891020269,,,,,,101.56250000000003,,,
216,K00796,,,0.6101582370894048,,,,,,23.061799999999998,,,
217,K00797,,,0.5902285927065327,,,,,,30.524500000000003,,,
218,K00798,,,0.6681244519639696,,,,,,50.86710000000001,,,
219,K00799,,,0.6109245284981333,,,0.6190604058584124,,,309.6376000000001,,,9.7064
220,K00800,,,0.6423215765987168,,,,,,108.03659999999999,,,
221,K00801,,,0.7070000000000001,,,,,,5.7404,,,
222,K00806,,,0.599,,,,,,4.4025,,,
223,K00808,,,0.6421872719304594,,,,,,19.5173,,,
224,K00809,,,0.5665742011114749,,,,,,10.499500000000001,,,
225,K00817,,,0.6459999999999999,,,,,,8.9682,,,
226,K00820,,0.5174534366525033,0.6211006996955282,,,,,6.9237,222.4348,,,
227,K00826,,,0.6188522537058109,,,,,,7.6746,,,
228,K00831,,,0.6057092561444171,,,,,,49.31909999999999,,,
229,K00845,,,0.63,,,,,,4.9707,,,
230,K00849,,,0.5670000000000001,,,,,,2.808,,,
231,K00851,,,0.5898133051038927,,,,,,39.8312,,,
232,K00852,,,0.6501242481221785,,,,,,11.3626,,,
233,K00854,,,0.5539999999999999,,,,,,5.8914,,,
234,K00855,,,0.5710000000000001,,,,,,6.3738,,,
235,K00857,,,0.602409710367213,,,,,,36.8414,,,
236,K00858,,0.534963153775723,0.6309645288513613,,,0.667,,7.1971,159.43589999999995,,,2.1124
237,K00859,,,0.6294565585091391,,,,,,65.4016,,,
238,K00864,,,0.561,,,,,,10.0404,,,
239,K00865,,,0.6778294717784737,,,,,,20.1134,,,
240,K00867,,,0.5718666419926675,,,,,,10.0713,,,
241,K00873,,0.5403377898921806,0.6294857197291633,,,,,9.6929,229.07359999999994,,,
242,K00874,,,0.685,,,,,,3.4704,,,
243,K00883,,,0.623,,,,,,2.3411,,,
244,K00886,,,0.671256368758996,,,,,,13.334700000000002,,,
245,K00891,,,0.6331741227456568,,,,,,28.3582,,,
246,K00899,,,0.622,,,,,,1.5075,,,
247,K00912,,,0.6369254074144106,,,,,,68.666,,,
248,K00919,,,0.6349192873290311,,,0.711,,,47.2686,,,2.7981
249,K00925,,,0.6019401093553771,,,,,,123.3624,,,
250,K00926,,0.5436940383966825,0.6412522597089516,,,,,8.0097,18.4484,,,
251,K00927,,0.532,0.6247454246160754,,,,,4.0045,181.3681,,,
252,K00930,,,0.653845664663005,,,,,,54.0688,,,
253,K00936,,0.59,0.5262828760509995,,,,,1.3416,15.5957,,,
254,K00937,,,0.6313071839546933,,,,,,57.7204,,,
255,K00939,,,0.6583545603292543,,,,,,56.473099999999995,,,
256,K00940,,,0.5855899196571259,,,,,,49.273700000000005,,,
257,K00941,,,0.5870000000000001,,,,,,5.1805,,,
258,K00942,,,0.5850532369018762,,,,,,36.2009,,,
259,K00943,,,0.6307573911473552,,,,,,74.8131,,,
260,K00945,,0.5245135587405134,0.648602894056537,,,,,5.4135,94.4119,,,
261,K00946,,0.525,0.6402897997771502,,,,,4.5006,52.36390000000001,,,
262,K00948,,0.5086317191265769,0.6247611378577309,,,,,5.8443000000000005,330.95969999999994,,,
263,K00950,,,0.6205356382409452,,,,,,52.3594,,,
264,K00952,,0.5429999999999999,,,,,,2.7121,,,,
265,K00954,,,0.6016671918583434,,,,,,111.74830000000001,,,
266,K00957,,,0.601787575800948,,,,,,68.5329,,,
267,K00958,,,0.5782172346459574,,,,,,11.048300000000001,,,
268,K00962,,,0.596825709183282,,,,,,32.5939,,,
269,K00963,,,0.5847373300069547,,,,,,32.6731,,,
270,K00965,,,0.56,,,,,,7.5586,,,
271,K00969,,,0.6189069431661258,,,,,,89.6651,,,
272,K00971,0.6130000000000001,,0.6103255848805992,,,,3.2212,,98.9885,,,
273,K00973,,,0.6595372980124442,,,,,,9.71,,,
274,K00974,,,0.604,,,,,,4.3526,,,
275,K00975,,,0.5759610398451058,,,,,,62.1609,,,
276,K00979,,,0.604713776007966,,,,,,24.450999999999997,,,
277,K00980,,,0.601,,,,,,2.9864,,,
278,K00981,,,0.6169507185273806,,,,,,83.5478,,,
279,K00982,,,0.6337867249881644,,,,,,35.7891,,,
280,K00986,,,0.5794992700545744,,,,,,2953.6169999999997,,,
281,K00989,,,0.6312767937789949,,,,,,51.331599999999995,,,
282,K00990,,,0.6493242544667157,,,,,,111.774,,,
283,K00991,,,0.6530436317560284,,,,,,9.2956,,,
284,K00992,,,0.615484315450743,,,,,,10.0247,,,
285,K00997,,,0.6139778696534474,,,,,,33.9544,,,
286,K01000,,,0.5548289156392117,,,,,,52.86019999999999,,,
287,K01004,,,0.632,,,,,,4.5644,,,
288,K01005,,,0.6553505952669494,,,,,,59.028000000000006,,,
289,K01006,,,0.5923223501589051,,,,,,67.4084,,,
290,K01008,,,0.630006609642345,,,,,,96.6609,,,
291,K01009,,,0.511,,,,,,13.1354,,,
292,K01011,,,0.5994739607919071,,,,,,15.3083,,,
293,K01012,,,0.6252381759864801,,,,,,57.0216,,,
294,K01023,,,0.618,,,,,,5.2184,,,
295,K01028,,,0.534,,,,,,5.6325,,,
296,K01029,,,0.573,,,,,,5.2414,,,
297,K01039,,,0.6720216970973969,,,,,,26.9343,,,
