,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6966491164084814,,,,,,,92.1008,,,,
1,K00004,,,0.7249999999999999,,,,,,,22.2974,,,,
2,K00010,,,0.6834684073925872,,,,,,,39.839200000000005,,,,
3,K00012,,,0.620209561262873,,,,,,,117.7988,,,,
4,K00013,,,0.6514569780899618,,,,,,,31.984500000000004,,,,
5,K00014,,,0.6480643154366429,,,,,,,79.4609,,,,
6,K00015,,,0.56,,,,,,,11.117,,,,
7,K00018,,,0.5898679212081789,,,,,,,20.5768,,,,
8,K00019,,,0.659,,,,,,,14.246,,,,
9,K00020,,,0.5989331740233472,,,,,,,118.20510000000002,,,,
10,K00022,,,0.5695319663146798,,,,,,,33.3914,,,,
11,K00023,,,0.675,,,,,,,25.3963,,,,
12,K00024,,,0.5760998366983372,,,,,,,30.985599999999998,,,,
13,K00027,,,0.701,,,,,,,36.3295,,,,
14,K00029,,,0.6111544090901597,,,,,,,106.6908,,,,
15,K00030,,,0.5489338668837582,,,,,,,26.15,,,,
16,K00031,,,0.6193766742296953,,,,,,,106.9852,,,,
17,K00033,,,0.6486897926161338,,,,,,,339.045,,,,
18,K00036,,,0.5773434207308626,,,,,,,111.64859999999999,,,,
19,K00038,,,0.6951874065947289,,,,,,,79.405,,,,
20,K00045,,,0.6759999999999999,,,,,,,28.1129,,,,
21,K00052,,,0.6190323404857712,,,,,,,53.844300000000004,,,,
22,K00053,,,0.6458567972678337,,,,,,,143.24290000000002,,,,
23,K00057,,,0.7176481269700945,,,,,,,31.6673,,,,
24,K00058,,,0.6450200253260036,,,,,,,116.61730000000001,,,,
25,K00059,,,0.6337303070435611,,,,,,,657.6040000000002,,,,
26,K00060,,,0.5710000000000001,,,,,,,12.6603,,,,
27,K00064,,,0.7435367972079571,,,,,,,44.8241,,,,
28,K00066,,,0.514,,,,,,,13.2464,,,,
29,K00067,,,0.6502147760460782,,,,,,,121.84379999999999,,,,
30,K00074,,,0.5678167937668369,,,,,,,45.612899999999996,,,,
31,K00075,,,0.6545711289507483,,,,,,,111.12280000000001,,,,
32,K00077,,,0.6666898207359948,,,,,,,455.7972,,,,
33,K00082,,,0.7340000000000001,,,,,,,23.4197,,,,
34,K00088,,,0.6286368041629838,,,,,,,55.3074,,,,
35,K00091,,,0.6492449878965377,,,,,,,95.5726,,,,
36,K00099,,,0.6240409923740884,,,,,,,179.0167,,,,
37,K00104,,,0.607482416334064,,,,,,,28.107200000000002,,,,
38,K00108,,0.573,0.6698377091621323,,,,,,11.2801,114.2201,,,,
39,K00111,,,0.6487598977494554,,,,,,,168.04139999999998,,,,
40,K00112,,,0.7539590459869666,,,,,,,47.742999999999995,,,,
41,K00113,,,0.6237980751376135,,,,,,,21.909599999999998,,,,
42,K00116,,,0.5567973979945228,,,,,,,100.5309,,,,
43,K00122,,,0.579123788788972,,,,,,,62.268299999999996,,,,
44,K00124,,,0.6175413679133048,,,,,,,179.872,,,,
