,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00033,,0.7009999999999998,0.7006079136204302,,,,,14.6186,75.01989999999999,,,
1,K00039,,,0.585,,,,,,2.0992,,,
2,K00053,,,0.7004115611057521,,,,,,81.394,,,
3,K00075,,,0.7877711206557865,,,,,,13.3002,,,
4,K00077,,0.6990000000000001,0.767,,,,,6.8264,6.9129,,,
5,K00096,,,0.758,,,,,,7.2291,,,
6,K00099,,,0.6759999999999999,,,,,,16.5934,,,
7,K00112,,,0.7929999999999999,,,,,,7.1509,,,
8,K00122,,,0.659,,,,,,13.6229,,,
9,K00124,,,0.654,,,,,,13.5541,,,
10,K00134,,,0.685,,,,,,21.3117,,,
11,K00145,,,0.774,,,,,,13.2655,,,
12,K00163,0.7269999999999999,,0.6837965898033267,,,,13.4467,,140.6621,,,
13,K00174,,,0.693,,,,,,27.2213,,,
14,K00175,,,0.6609999999999999,,,,,,38.1894,,,
15,K00215,,,0.7199621539055744,,,,,,34.4824,,,
16,K00240,,,0.6874828999655499,,,,,,68.9868,,,
17,K00241,,,0.679,,,,,,7.8654,,,
18,K00242,,,0.7070000000000001,,,,,,9.0941,,,
19,K00249,,,0.693,,,,,,17.5529,,,
20,K00259,,,0.715,,,,,,11.6678,,,
21,K00275,,,0.722424945023864,,,,,,34.106700000000004,,,
22,K00283,,,0.732,,,,,,13.26,,,
23,K00286,,,0.7020000000000001,,,0.688,,,16.6059,,,4.1473
24,K00331,,,0.698,,,,,,41.3321,,,
25,K00332,,,0.6940000000000001,,,,,,11.5459,,,
26,K00334,,,0.675,,,,,,9.5493,,,
27,K00338,,,0.6515343199534349,,,,,,36.337999999999994,,,
28,K00339,,,0.6757808788839208,,,,,,13.5539,,,
29,K00340,,,0.6576375498403485,,,,,,23.741,,,
30,K00368,,,0.65,,,,,,12.3672,,,
31,K00389,,,0.7108213575528224,,,,,,9.9485,,,
32,K00412,,,0.62,,,,,,13.4421,,,
33,K00425,,,0.6843649834964176,,,,,,17.0164,,,
34,K00426,,,0.7070940343749961,,,,,,28.886,,,
35,K00428,,,0.581,,,,,,2.2571,,,
36,K00432,,,0.6629999999999999,,,,,,4.9658,,,
37,K00433,,,0.649,,,,,,15.7534,,,
38,K00446,,,0.695,,,,,,9.9716,,,
39,K00451,,,0.6703727164882868,,,,,,99.67190000000001,,,
40,K00453,,,0.6878554227694453,,,,,,72.6278,,,
41,K00457,,,0.6790815674059265,,,,,,42.9037,,,
42,K00459,,,0.7340000000000001,,,,,,9.4351,,,
43,K00507,,,0.6844630581550373,,,,,,17.4902,,,
44,K00518,,,0.635,,,,,,13.1148,,,
45,K00525,,,0.654,,,,,,39.5816,,,
46,K00537,,,0.7209999999999999,,,,,,3.6424,,,
47,K00540,,,0.7099403200990725,,,,,,12.995000000000001,,,
48,K00548,,,0.685,,,,,,28.4619,,,
49,K00549,,0.696,0.6923985045292984,0.6920000000000001,,,,6.6022,167.2023,4.1522,,
50,K00554,,,0.7659999999999999,,,,,,9.2667,,,
51,K00560,,,0.679,,,,,,1.7512,,,
52,K00573,,0.6920000000000001,0.717422086343187,,,,,8.1655,38.1329,,,
53,K00574,,,0.7149999999999999,,,,,,11.2113,,,
54,K00588,,,0.6837932386159765,,,,,,20.7234,,,
55,K00598,,,0.7340000000000001,,,,,,9.8907,,,
56,K00600,,,0.6736897225314923,,,,,,96.2626,,,
57,K00602,,,0.7008236359164941,,,,,,34.693,,,
58,K00606,,0.7559999999999999,,,,,,11.2911,,,,
59,K00609,,,0.7060775423773794,,,,,,29.002000000000002,,,
60,K00620,,,0.7859999999999999,,,,,,8.5187,,,
61,K00626,,,0.7324110231859859,,,,,,57.0265,,,
62,K00635,,,0.6874717624980123,,,,,,46.7354,,,
63,K00641,,,0.7046131433699375,,,,,,22.6154,,,
64,K00648,,,0.7070000000000001,,,,,,10.6371,,,
