,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_countsUnclassified
0,K00012,,,0.56,,,,3.2966,
1,K00033,,,0.6920000000000001,,,,5.5622,
2,K00053,,,0.6890000000000001,,,,8.4533,
3,K00075,,,0.71,,,,3.0602,
4,K00077,,,0.735,,,,4.8597,
5,K00099,,,0.688,,,,2.1466,
6,K00163,,,0.687048111909474,,,,17.3767,
7,K00201,,,0.672,,,,2.6776,
8,K00202,,,0.696,,,,1.6192,
9,K00208,,,0.5670000000000001,,,,4.6599,
10,K00215,,,0.568,,,,5.3295,
11,K00241,,,0.664,,,,2.4497,
12,K00330,,,0.546,,,,5.1283,
13,K00331,,,0.6270538152201192,,,,11.5775,
14,K00340,,,0.57,,,,4.5599,
15,K00344,,,0.544,,,,4.4793,
16,K00426,,,0.733,,,,3.5064,
17,K00457,,,0.66,,,,5.5196,
18,K00507,,,0.69,,,,2.5509,
19,K00549,,,0.6666591860798333,,,,10.401,
20,K00570,,,0.573,,,,7.6551,
21,K00573,,,0.6710900027630146,,,,10.254900000000001,
22,K00600,,,0.6466663751743912,,,,7.7953,
23,K00602,,,0.6445943958923765,,,,10.417300000000001,
24,K00606,,,0.564,,,,3.5637,
25,K00612,,,0.5539999999999999,,,,5.6285,
26,K00616,,,0.53,,,,4.9278,
27,K00635,,,0.7340000000000001,,,,3.2297,
28,K00640,,,0.563,,,,3.8729,
29,K00641,,,0.573,,,,6.1887,
30,K00648,,,0.575,,,,3.8111,
31,K00661,,,0.56,,,,4.7995,
32,K00683,,,0.535,,,,2.9678,
33,K00688,,,0.706,,,,2.835,
34,K00703,,,0.6890000000000001,,,,2.7679,
35,K00759,,,0.551,,,,3.4446,
36,K00764,,,0.5997147325800696,,,,9.039200000000001,
37,K00766,,,0.688,,,,1.4141,
38,K00772,,,0.578,,,,4.914,
39,K00782,,,0.721,,,,1.4779,
40,K00789,,,0.6518995027034179,,,,23.529099999999996,
