,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6455592256826528,,,,,,,,63.920199999999994,,,,,
1,K00010,,,0.708,,,,,,,,4.0017,,,,,
2,K00012,,,0.6018799152154276,,,,,,,,52.231300000000005,,,,,
3,K00013,,,0.64,,,,,,,,12.5636,,,,,
4,K00014,,,0.6343714074976471,,,,,,,,52.52029999999999,,,,,
5,K00019,,,0.6287646366804994,,,,,,,,16.4311,,,,,
6,K00020,,,0.5985165602079082,,,,,,,,30.2365,,,,,
7,K00021,,,0.608,,,,,,,,7.0997,,,,,
8,K00022,,,0.557,,,,,,,,13.975,,,,,
9,K00027,,,0.591,,,,,,,,8.845,,,,,
10,K00029,,,0.6067090693326237,,,,,,,,108.93249999999999,,,,,
11,K00030,,,0.646433849459022,,,,,,,,15.051,,,,,
12,K00031,,,0.6190893607442977,,,,,,,,80.44019999999999,,,,,
13,K00033,,,0.6384105412667761,,,,,,,,252.8506,,,,,
14,K00036,,,0.6039052711072134,,,,,,,,72.15800000000002,,,,,
15,K00039,,,0.621,,,,,,,,4.5359,,,,,
16,K00052,,,0.6128357706802136,,,,,,,,20.3428,,,,,
17,K00053,,,0.6354752906462368,,,,,,,,199.3883,,,,,
18,K00057,,,0.6848419966355822,,,,,,,,45.548899999999996,,,,,
19,K00058,,,0.664445005103441,,,,,,,,18.104300000000002,,,,,
20,K00059,,,0.6305762207219173,,,,,,,,144.2402,,,,,
21,K00060,,,0.6108318662798539,,,,,,,,72.96369999999999,,,,,
22,K00064,,,0.574,,,,,,,,8.8848,,,,,
23,K00066,,,0.552,,,,,,,,9.5918,,,,,
24,K00067,,,0.6397682156923905,,,,,,,,118.6223,,,,,
25,K00074,,,0.6268024759875753,,,,,,,,20.3798,,,,,
26,K00075,,,0.6499065608038341,,,,,,,,127.6014,,,,,
27,K00077,,0.636,0.6311627228804136,,,,,0.579,,4.5841,225.05990000000003,,,,,5.9131
28,K00078,,,0.6849659176586974,,,,,,,,17.7119,,,,,
29,K00082,,,0.722877600497801,,,,,,,,9.3845,,,,,
30,K00088,,,0.6714967772711053,,,,,,,,57.3279,,,,,
31,K00091,,,0.6909732115162377,,,,,,,,18.0697,,,,,
32,K00096,,,0.7419999999999999,,,,,0.597,,,5.9509,,,,,4.067
33,K00099,,,0.6251866151031523,,,,,,,,139.7268,,,,,
34,K00104,,,0.6121998875580595,,,,,,,,17.1184,,,,,
35,K00108,,,0.7243908004920622,,,,,,,,18.5183,,,,,
36,K00111,0.6829999999999999,,0.6566850712074559,,,,,,5.9924,,155.8781,,,,,
37,K00112,,,0.736667865980309,,,,,,,,17.0349,,,,,
38,K00113,,,0.6422989845488167,,,,,,,,26.5762,,,,,
39,K00116,,,0.583,,,,,,,,4.0448,,,,,
40,K00119,,,0.6629999999999999,,,,,,,,9.1049,,,,,
41,K00122,,,0.5994259363678783,,,,,,,,30.3808,,,,,
42,K00124,,,0.6084212240587126,,,,,,,,122.92070000000001,,,,,
43,K00126,,,0.6409431242509973,,,,,,,,8.6145,,,,,
44,K00127,,,0.5934745861768211,,,,,0.7,,,37.0938,,,,,2.7815
45,K00130,,,0.672,,,,,,,,6.0741,,,,,
46,K00133,,,0.6391044219780989,,,,,,,,87.87219999999999,,,,,
47,K00134,,,0.6147505761187922,,,,,,,,91.5113,,,,,
48,K00138,,,0.596,,,,,,,,10.432,,,,,
49,K00141,,,0.7040000000000001,,,,,,,,7.7015,,,,,
50,K00145,,,0.6409809808652306,,,,,,,,125.8503,,,,,
51,K00148,,,0.5474080789921263,,,,,,,,33.1246,,,,,
52,K00161,,,0.6237817335977434,,,,,,,,44.4602,,,,,
53,K00162,,,0.6375361211015236,,,,,,,,15.072099999999999,,,,,
54,K00163,,,0.6311701325113955,,,,,,,,676.4934000000002,,,,,
55,K00169,,,0.6024476473063193,,,,,,,,61.0972,,,,,
56,K00172,,,0.649,,,,,,,,2.8784,,,,,
57,K00174,,,0.615254969710263,,,,,,,,148.49289999999996,,,,,
58,K00175,,,0.6139617539821551,,,,,,,,194.6019,,,,,
59,K00176,,,0.5900150508208136,,,,,,,,78.4725,,,,,
60,K00177,,,0.6015864863272703,,,,,,,,88.12810000000002,,,,,
61,K00179,,,0.595,,,,,,,,5.9179,,,,,
62,K00180,,,0.6184707997551936,,,,,,,,16.5632,,,,,
63,K00187,,,0.595,,,,,,,,10.919,,,,,
64,K00208,,,0.6257833949315846,,,,,,,,55.955,,,,,
65,K00215,,,0.6363539466988741,,,,,,,,78.93919999999999,,,,,
66,K00226,,,0.5870000000000001,,,,,,,,9.2509,,,,,
67,K00228,,,0.6233324241735909,,,,,,,,40.641,,,,,
68,K00230,,0.7099999999999999,0.68669372790718,,,,,,,4.2198,10.1538,,,,,
69,K00231,,,0.6564581896968591,,,,,,,,79.6292,,,,,
70,K00240,,,0.6231729853584747,,,,,,,,125.69930000000001,,,,,
71,K00241,,,0.5996766837933186,,,,,,,,100.47629999999998,,,,,
72,K00242,,,0.6287407516287756,,,,,,,,19.316200000000002,,,,,
73,K00249,,,0.6210164886755527,,,,,,,,140.74949999999998,,,,,
74,K00252,,,0.7020000000000001,,,,,,,,10.7076,,,,,
75,K00253,,,0.6261462891994536,,,,,,,,13.346499999999999,,,,,
76,K00254,,,0.6801190424040832,,,,,,,,49.3213,,,,,
77,K00259,,,0.6705593629249165,,,,,,,,37.3866,,,,,
78,K00261,,,0.613,,,,,,,,14.1832,,,,,
79,K00262,,,0.5878237634322145,,,,,,,,40.588300000000004,,,,,
80,K00266,,,0.6133868016643064,,,,,,,,18.8071,,,,,
81,K00271,,,0.6890000000000001,,,,,,,,4.357,,,,,
82,K00273,,0.7190000000000001,0.7278585130084815,,,,,,,3.0121,13.025400000000001,,,,,
83,K00275,,,0.6632450417591159,,,,,0.5579999999999999,,,57.2149,,,,,14.6705
84,K00276,,,0.6920000000000001,,,,,,,,7.2751,,,,,
85,K00278,,,0.7188549801556547,,,,,,,,15.409,,,,,
86,K00281,,,0.7440000000000001,,,,,,,,9.0365,,,,,
87,K00282,,,0.6032688573568354,,,,,,,,43.828700000000005,,,,,
88,K00286,,,0.6555667563389148,,,,,0.7559999999999999,,,151.77560000000003,,,,,2.0649
89,K00287,,,0.6490850761327646,,,,,,,,27.733599999999996,,,,,
90,K00294,,,0.7070000000000001,,,,,,,,5.0374,,,,,
91,K00297,,,0.6810038285403399,,,,,,,,50.356300000000005,,,,,
92,K00299,,,0.7264260241821872,,,,,,,,16.36,,,,,
93,K00304,,,0.6610585486495775,,,,,,,,24.8141,,,,,
94,K00305,,,0.632,,,,,,,,5.7849,,,,,
95,K00311,,,0.6149753607735132,,,,,,,,68.62080000000002,,,,,
96,K00313,,,0.68,,,,,,,,11.1755,,,,,
97,K00316,,,0.5749342013768031,,,,,,,,81.2116,,,,,
98,K00320,,,0.5871346467423438,,,,,,,,19.5761,,,,,
99,K00322,,,0.605,,,,,,,,4.32,,,,,
100,K00324,,,0.6264215680958566,,,,,,,,30.3416,,,,,
101,K00325,,,0.605,,,,,,,,10.9911,,,,,
102,K00330,,,0.5712090183388681,,,,,,,,140.2796,,,,,
103,K00331,,,0.6337536783174921,,,,,,,,62.244899999999994,,,,,
104,K00332,,,0.6227761515757615,,,,,,,,41.1343,,,,,
105,K00333,,,0.6283318740282684,,,,,,,,24.8762,,,,,
106,K00334,,,0.6113647021563272,,,,,,,,78.6782,,,,,
107,K00335,,,0.633,,,,,,,,8.7367,,,,,
108,K00337,,,0.6155124511003696,,,,,,,,38.7679,,,,,
109,K00338,,,0.6160064301170491,,,,,,,,160.30120000000002,,,,,
110,K00339,,,0.6057062529827643,,,,,,,,123.4136,,,,,
111,K00340,,,0.5736606153373427,,,,,,,,148.44729999999998,,,,,
112,K00341,,,0.609,,,,,,,,13.6698,,,,,
113,K00342,,,0.667,,,,,,,,6.6094,,,,,
114,K00343,,,0.6061636500803339,,,,,,,,78.2063,,,,,
115,K00344,,,0.6177063549209683,,,,,,,,95.148,,,,,
116,K00355,,,0.6175140908822747,,,,,,,,29.053,,,,,
117,K00363,,,0.575,,,,,,,,5.7499,,,,,
118,K00365,,,0.6975894036818462,,,,,,,,14.167300000000001,,,,,
119,K00368,,,0.601700444134181,,,,,,,,15.927100000000001,,,,,
120,K00371,,,0.6189756208699414,,,,,,,,16.1466,,,,,
121,K00375,,,0.6734109377773139,,,,,,,,15.3827,,,,,
122,K00382,,,0.6525115036080597,,,,,,,,43.4351,,,,,
123,K00384,,,0.6522145124657156,,,,,,,,52.505700000000004,,,,,
124,K00389,,,0.6122941161914832,,,,,,,,76.35829999999999,,,,,
125,K00390,,,0.6346396364128558,,,,,,,,89.95009999999999,,,,,
126,K00394,,,0.5920000000000001,,,,,,,,8.4929,,,,,
127,K00395,,,0.593,,,,,,,,8.4929,,,,,
128,K00405,,,0.609,,,,,,,,10.6539,,,,,
129,K00406,,,0.5953656978486596,,,,,,,,36.9866,,,,,
130,K00411,,,0.6307023363858463,,,,,,,,38.211000000000006,,,,,
131,K00412,,,0.5850607520613812,,,,,,,,59.67529999999999,,,,,
132,K00413,,,0.6064324971913128,,,,,0.464,,,45.217699999999994,,,,,11.5015
133,K00424,,,0.5811651169958647,,,,,,,,7.2151,,,,,
134,K00425,,,0.6117783483131609,,,,,,,,275.2103,,,,,
135,K00426,,,0.6287615602780314,,,,,,,,269.84139999999996,,,,,
136,K00428,,0.612,0.5819400080563599,,,,,,,10.4991,66.9641,,,,,
137,K00432,,,0.5850086662178272,,,,,,,,101.6302,,,,,
138,K00433,,,0.6180936780287147,,,,,,,,280.11609999999996,,,,,
139,K00435,,,0.6141174726530466,,,,,,,,33.9877,,,,,
140,K00436,,,0.616,,,,,,,,8.0834,,,,,
141,K00446,,,0.675022154655711,,,,,,,,26.4038,,,,,
142,K00448,,,0.6796179276516191,,,,,,,,39.049899999999994,,,,,
143,K00449,,,0.655927421382611,,,,,,,,37.9039,,,,,
144,K00450,,,0.6629462948742202,,,,,,,,31.406699999999997,,,,,
145,K00451,,,0.6326626796598428,,,,,,,,159.63260000000002,,,,,
146,K00452,,,0.6129061878805738,,,,,,,,37.8127,,,,,
147,K00453,,,0.6220942227089619,,,,,,,,61.2182,,,,,
148,K00456,,,0.5893636444988357,,,,,,,,28.881300000000003,,,,,
149,K00457,,,0.6297423099256587,,,,,,,,106.6118,,,,,
150,K00459,,,0.678282135752176,,,,,,,,107.73939999999999,,,,,
151,K00467,,,0.6670806554128622,,,,,,,,11.838799999999999,,,,,
152,K00468,,,0.6779999999999999,,,,,,,,10.3155,,,,,
153,K00469,,,0.607,,,,,,,,4.1767,,,,,
154,K00479,,,0.6722444091911495,,,,,,,,12.3803,,,,,
155,K00481,,,0.6619911515704044,,,,,,,,18.1717,,,,,
156,K00486,,,0.546,,,,,,,,5.3852,,,,,
157,K00499,,,0.5802914797732726,,,,,,,,20.2182,,,,,
158,K00500,,,0.616,,,,,,,,4.393,,,,,
