,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Riboviria,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Riboviria,gene_countsUnclassified
0,K00003,,,0.7020000000000001,,,,,,,8.6397,,,,
1,K00004,,,0.723,,,,,,,8.3836,,,,
2,K00009,,,0.7188632920469815,,,,,,,89.0904,,,,
3,K00012,,,0.6456181826452143,,,,,,,26.2055,,,,
4,K00013,,,0.698,,,,,,,16.14,,,,
5,K00014,,,0.7129536315804129,,,,,,,18.4794,,,,
6,K00016,,,0.6940000000000001,,,,,,,12.4279,,,,
7,K00018,,,0.672,,,,,,,14.9238,,,,
8,K00020,,,0.6854624939585916,,,,,,,19.709600000000002,,,,
9,K00021,,,0.6608424758489407,,,,,,,15.9362,,,,
10,K00024,,0.471,0.6400000000000001,,,,,,6.9627,13.767,,,,
11,K00027,,,0.6803714821987626,,,,,,,31.6181,,,,
12,K00030,,,0.648,,,,,,,14.1287,,,,
13,K00031,,,0.6296898322944582,,,,,,,53.766999999999996,,,,
14,K00033,,0.429,0.6988070198695275,,,,,,4.3823,229.05380000000002,,,,
15,K00034,,0.399,0.6792843045582844,,,,,,6.127,23.7935,,,,
16,K00036,,,0.6438265175096421,,,,,,,29.3408,,,,
17,K00042,,,0.744,,,,,,,12.8218,,,,
18,K00045,,,0.593,,,,,,,3.9612,,,,
19,K00052,,,0.6889490684408873,,,,,,,26.2373,,,,
20,K00053,,0.47177208419165984,0.6791603738600676,,,,,,8.3033,138.458,,,,
21,K00057,,,0.6816004594234775,,,,,,,20.535899999999998,,,,
22,K00058,,,0.7194739896706703,,,,,,,84.0342,,,,
23,K00059,,0.399,0.6844921064532858,,,,,,6.127,143.7294,,,,
24,K00064,,,0.762,,,,,,,16.7089,,,,
25,K00065,,,0.68,,,,,,,13.7155,,,,
26,K00066,,,0.642,,,,,,,12.5852,,,,
27,K00067,,,0.719156666481414,,,,,,,134.05329999999998,,,,
28,K00074,,,0.6555877099352249,,,,,,,31.6541,,,,
29,K00075,,,0.7208901993778009,,,,,,,152.6645,,,,
30,K00077,,,0.7015202265300058,,,,,,,168.50439999999998,,,,
31,K00082,,,0.727,,,,,,,25.0819,,,,
32,K00088,,0.482,0.6661217185675542,,,,,,9.2848,42.0139,,,,
33,K00091,,,0.7115089883616681,,,,,,,43.1737,,,,
34,K00096,,0.453,0.7219681911565763,,,,,,2.1771,35.9506,,,,
35,K00097,,,0.684,,,,,,,15.1371,,,,
36,K00099,,,0.6907379814400305,,,,,,,99.21690000000001,,,,
37,K00101,,,0.743,,,,,,,5.9079,,,,
38,K00102,,,0.6809999999999999,,,,,,,13.0061,,,,
