,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Duplodnaviria,GC_adj Eukaryota,GC_adj Varidnaviria,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Duplodnaviria,gene_counts Eukaryota,gene_counts Varidnaviria,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,0.505,0.6936890556757203,,,,,,,3.1716,137.79589999999996,,,,,
1,K00010,,,0.6748511583436885,,,,,,,,47.962900000000005,,,,,
2,K00012,,0.669,0.6563366978840702,,,,,,,4.7224,91.0548,,,,,
3,K00013,,,0.7246330979852167,,,,,,,,30.1549,,,,,
4,K00014,,0.634883816469378,0.6710098539246402,,,,,0.728,,7.34,118.8876,,,,,7.4497
5,K00015,,,0.6101881344626868,,,,,,,,29.641599999999997,,,,,
6,K00019,,,0.6196636629055992,,,,,,,,14.7579,,,,,
7,K00020,,,0.6863022474991252,,,,,,,,150.7566,,,,,
8,K00021,,,0.6698712041172534,,,,,,,,48.367,,,,,
9,K00022,,,0.567328668301369,,,,,,,,35.3146,,,,,
10,K00023,,,0.6809999999999999,,,,,,,,4.9961,,,,,
11,K00024,,0.55625489026869,0.648619167415808,,,,,,,24.1063,73.2792,,,,,
12,K00027,,,0.6,,,,,,,,10.606,,,,,
13,K00029,,,0.6671997344315789,,0.6729999999999999,,,,,,124.48989999999998,,16.1507,,,
14,K00030,,,0.6779999999999999,,,,,,,,11.8166,,,,,
15,K00031,,,0.6205044610762432,,,,,,,,98.3785,,,,,
16,K00033,,,0.6623523385268341,,,,,,,,496.0706000000002,,,,,
17,K00034,,,0.6321218124900068,,,,,,,,17.0338,,,,,
18,K00036,,,0.6390105505074309,,,,,,,,186.93280000000007,,,,,
19,K00038,,,0.6920000000000001,,,,,,,,7.7277,,,,,
20,K00045,,,0.6690162839788295,,,,,,,,11.8247,,,,,
21,K00052,,,0.6538624908951941,,,,,,,,75.14420000000001,,,,,
22,K00053,,0.5575234489013217,0.6656867298834553,,,,,,,27.8839,283.94989999999996,,,,,
23,K00054,,0.6423062927864857,0.593,,,,,,,148.01940000000002,4.5207,,,,,
24,K00057,,,0.6817928374447276,,,,,,,,105.25000000000001,,,,,
25,K00058,,0.617,0.6676951300329383,,,,,,,8.2723,170.3653,,,,,
26,K00059,,0.4020000000000001,0.646194294048567,,,,,,,3.9432,460.48300000000006,,,,,
27,K00060,,0.633,0.6435002514872713,,,,,,,16.2416,40.61449999999999,,,,,
28,K00064,,,0.7158441849573612,,,,,,,,14.0938,,,,,
29,K00065,,,0.6586025479338525,,,,,,,,21.455,,,,,
30,K00066,,,0.505,,,,,,,,4.2743,,,,,
31,K00067,,0.47931692965100303,0.666889708412088,,,,,0.7040000000000001,,6.4454,233.71050000000005,,,,,5.7379
32,K00074,,,0.5700997107110778,,,,,,,,68.5059,,,,,
33,K00075,,,0.6815511795913243,,0.441,,,,,,344.4834000000001,,3.1667,,,
34,K00076,,,0.7126328252275625,,,,,,,,19.1903,,,,,
35,K00077,,0.6949994000914126,0.6775084877798409,,,,,0.5999011725141608,,53.1216,611.4530000000002,,,,,39.2489
36,K00082,,,0.7593050256330054,,,,,,,,18.086199999999998,,,,,
37,K00088,,0.6122549247930167,0.6644443919711958,,,,,,,51.256400000000006,163.6791,,,,,
38,K00091,0.528,,0.6544257304169404,,,,,,8.9455,,69.29379999999999,,,,,
39,K00096,,0.6480401468856474,0.7346835630330912,,,,,,,101.245,24.572200000000002,,,,,
40,K00097,,,0.687,,,,,,,,6.2678,,,,,
41,K00099,,0.636,0.6748904548500181,,,,,,,6.474,271.77049999999997,,,,,
42,K00101,,,0.7010000000000001,,,,,,,,10.7827,,,,,
43,K00104,,,0.637057877223965,,,,,,,,37.21,,,,,
44,K00108,,,0.6790594734402037,,,,,,,,82.298,,,,,
45,K00109,,,0.6685999860797461,,,,,,,,19.471899999999998,,,,,
46,K00111,,0.6758235531434572,0.7019292097801743,,,,,,,32.0405,427.4918999999999,,,,,
47,K00112,,,0.7699358907285352,,,,,0.7340000000000001,,,9.488199999999999,,,,,4.4946
48,K00113,,,0.640868547737927,,,,,,,,32.7808,,,,,
49,K00116,,,0.6282246525936676,,,,,,,,22.131500000000003,,,,,
50,K00118,,,0.593,,,,,,,,5.0511,,,,,
51,K00119,,,0.6924580515587501,,,,,,,,26.1477,,,,,
52,K00121,,,0.625,,,,,,,,9.0492,,,,,
53,K00122,,,0.659808978757205,,,,,,,,16.5551,,,,,
54,K00123,,0.655,,,,,,,,14.28,,,,,,
55,K00124,,,0.6569219292852524,,,,,,,,197.60509999999996,,,,,
56,K00126,,,0.6313012793086497,,,,,,,,25.343700000000002,,,,,
57,K00127,,,0.6068172189704538,,,,,0.6870000000000002,,,76.6908,,,,,3.2982
58,K00128,,,0.5997494983861,,,,,,,,31.2335,,,,,
59,K00130,,,0.5984107792927915,,,,,,,,25.5272,,,,,
60,K00132,,,0.6,,,,,,,,12.1839,,,,,
61,K00133,,0.685,0.6644699947941937,,,,,,,14.1365,208.73340000000002,,,,,
62,K00134,,,0.6240176117716092,,,,,,,,164.2913,,,,,
63,K00135,,0.615,0.6912771288180963,,,,,,,7.1713,39.3808,,,,,
64,K00137,,,0.692,,,,,,,,8.6865,,,,,
65,K00138,,,0.655,,,,,,,,9.9019,,,,,
66,K00140,,0.565,0.6709030886815579,,,,,,,13.0649,89.6018,,,,,
67,K00145,0.645,0.6227048599763824,0.6860087471694556,,,,,,8.0225,78.4926,338.14430000000004,,,,,
68,K00147,,,0.6870925224822685,,,,,,,,13.168999999999999,,,,,
69,K00148,,,0.696,,,,,,,,9.6955,,,,,
70,K00150,,0.6546572461700227,0.6896446738238655,,,,,,,26.5581,14.2607,,,,,
