,KEGG,GC_adj ,GC_adj Archaea,GC_adj Bacteria,GC_adj Eukaryota,GC_adj unclassified viruses,GC_adjUnclassified,gene_counts ,gene_counts Archaea,gene_counts Bacteria,gene_counts Eukaryota,gene_counts unclassified viruses,gene_countsUnclassified
0,K00003,,,0.6747878652826292,,,,,,45.0275,,,
1,K00010,,,0.5439435376775651,,,,,,27.806399999999996,,,
2,K00012,,,0.5677701043179768,,,,,,18.9028,,,
3,K00014,,,0.6629999999999999,,,,,,4.5868,,,
4,K00019,,,0.6073916506223523,,,,,,10.9955,,,
5,K00020,,,0.6573303402120734,,,,,,31.9393,,,
6,K00027,,,0.644,,,,,,15.2302,,,
7,K00029,,,0.6017913416344612,,,,,,73.003,,,
8,K00031,,,0.6131535597195982,,,,,,114.2605,,,
9,K00033,,,0.6339348087736485,,,,,,169.1649,,,
10,K00034,,,0.534,,,,,,5.6268,,,
11,K00036,,,0.5802944335231858,,,,,,59.15120000000001,,,
12,K00039,,,0.5479999999999999,,,,,,5.7103,,,
13,K00040,,,0.638,,,,,,8.4686,,,
14,K00052,,,0.6337508415263002,,,,,,28.709,,,
15,K00053,,,0.6122405464072298,,,,,,93.62119999999999,,,
16,K00055,,,0.579,,,,,,2.6464,,,
17,K00057,,,0.6694642950758048,,,,,,46.8269,,,
18,K00058,,,0.584,,,,,,5.2221,,,
19,K00059,,,0.6262457632620766,,,,,,57.8496,,,
20,K00064,,,0.5956038130664506,,,,,,28.0285,,,
21,K00065,,,0.5710000000000001,,,,,,5.4338,,,
22,K00067,,,0.64051901447388,,,,,,36.2309,,,
23,K00075,,,0.6315695348417155,,,,,,104.41150000000002,,,
24,K00077,,,0.6313198252820259,,,0.585,,,342.7002999999998,,,4.319
25,K00088,,,0.628244435856097,,,,,,53.447900000000004,,,
26,K00091,,,0.655855441938495,,,,,,14.5985,,,
27,K00097,,,0.6679999999999999,,,,,,8.2308,,,
28,K00099,,,0.6210123411672734,,,,,,101.5022,,,
29,K00102,,,0.6729999999999999,,,,,,6.504,,,
30,K00108,,,0.6234488636342213,,,,,,63.3711,,,
31,K00111,,,0.6283906672057299,,,,,,101.75319999999998,,,
32,K00116,,,0.5996965421028722,,,,,,59.5547,,,
33,K00122,,,0.6177095087948541,,,,,,17.2219,,,
34,K00123,,,0.53,,,,,,8.8983,,,
35,K00124,,,0.605857329090105,,,,,,85.65120000000002,,,
36,K00126,,,0.6917960078859478,,,,,,8.7855,,,
37,K00127,,,0.6107541095546881,,,,,,57.4791,,,
38,K00133,,,0.6429187683914611,,,,,,29.9122,,,
39,K00134,,,0.6230262348405139,,,,,,34.1736,,,
40,K00135,,,0.6158072962593752,,,,,,11.8118,,,
41,K00140,,,0.656132892918755,,,,,,14.2137,,,
42,K00145,,,0.63608719714322,,,,,,41.7423,,,
43,K00148,,,0.601,,,,,,9.1745,,,
44,K00161,,,0.547,,,,,,3.6847,,,
45,K00163,,,0.6381561154351236,,,,,,441.5622000000001,,,
46,K00167,,,0.634,,,,,,10.481,,,
47,K00174,,,0.659813956594931,,,,,,13.774899999999999,,,
48,K00175,,,0.6198003888436325,,,,,,113.23209999999999,,,
49,K00180,,,0.7212297542347438,,,,,,9.4077,,,
50,K00208,,,0.6222585238156887,,,,,,43.338800000000006,,,
51,K00215,,,0.649517367134535,,,,,,75.3105,,,
52,K00220,,,0.644,,,,,,7.7155,,,
53,K00221,,,0.630994064794178,,,,,,9.856300000000001,,,
54,K00227,,,0.605,,,,,,11.5666,,,
55,K00228,,,0.6346208969458152,,,,,,43.5982,,,
56,K00231,,,0.6049131183119719,,,,,,12.2408,,,
57,K00232,,,0.5589999999999999,,,,,,7.024,,,
58,K00240,,,0.6013042577590287,,,,,,171.41170000000002,,,
59,K00241,,,0.583557062519338,,,0.5100750244982656,,,133.352,,,9.1977
60,K00242,,,0.6326686251413033,,,,,,54.21640000000001,,,
61,K00247,,,,,,0.621,,,,,,4.7107
62,K00249,,,0.6426378311559345,,,,,,92.37959999999998,,,
63,K00252,,,0.632,,,,,,9.3974,,,
64,K00254,,,0.6461993971014954,,,,,,41.5645,,,
65,K00259,,,0.6684746571292716,,,,,,20.412,,,
66,K00275,,,0.6463772218574805,,,,,,57.7258,,,
67,K00278,,,0.5770000000000001,,,,,,6.4205,,,
68,K00286,,,0.6655853148000181,0.655,,,,,108.8071,2.4264,,
69,K00287,,,0.5931520688712439,,,,,,13.453000000000001,,,
70,K00297,,,0.685032795011314,,,,,,46.643800000000006,,,
71,K00299,,,0.6061335313909062,,,,,,24.0317,,,
72,K00305,,,0.6647311880556038,,,,,,8.0314,,,
73,K00311,,,0.6299110737843981,,,,,,97.69990000000001,,,
74,K00320,,,0.6839215260088441,,,,,,16.594900000000003,,,
75,K00324,,,0.6450319704030653,,,,,,17.447,,,
76,K00330,,,0.5727066922577059,,,,,,123.107,,,
77,K00331,,,0.6224753180924488,,,,,,57.4405,,,
78,K00332,,,0.6418201618959503,,,,,,50.8271,,,
79,K00334,,,0.6388746908240714,,,,,,107.9511,,,
80,K00338,,,0.5993691253402292,,,,,,128.25,,,
81,K00339,,,0.6157442673751886,,,,,,68.9231,,,
82,K00340,,,0.5705209368644896,,,,,,80.5959,,,
83,K00342,,,0.611,,,,,,7.9107,,,
84,K00343,,,0.5534826906175806,,,,,,10.8544,,,
85,K00344,,,0.6145759484685295,,,,,,119.43260000000001,,,
86,K00355,,,0.5468784537835175,,,,,,10.698799999999999,,,
87,K00363,,,0.57,,,,,,14.9488,,,
88,K00382,,,0.650795692764095,,,,,,15.3093,,,
89,K00384,,,0.5905880111985924,,,,,,24.270400000000002,,,
90,K00386,,,0.5489999999999999,,,,,,2.8037,,,
91,K00389,,,0.6030348873219409,,,0.565,,,54.4181,,,4.102
92,K00390,,,0.6244304741662485,,,,,,61.4994,,,
93,K00394,,,0.602,,,,,,5.0883,,,
94,K00395,,,0.542,,,,,,4.9924,,,
95,K00406,,,0.653,,,,,,5.3611,,,
96,K00411,,,0.6363166960187034,,,,,,27.2577,,,
97,K00412,,,0.5772123241225031,,,,,,27.5227,,,
98,K00413,,,0.6361207189733692,,,,,,57.89490000000001,,,
99,K00425,,,0.5903336328469866,,,,,,543.9607000000001,,,
100,K00426,,,0.595209489888934,,,0.6650806929278638,,,379.4448,,,5.4915
101,K00428,0.53,,0.5964758092211382,,,0.5870000000000001,5.4472,,169.73590000000002,,,11.9501
102,K00432,,,0.626886359279394,,,,,,61.35179999999999,,,
103,K00433,,,0.6241926115344115,,,,,,192.93869999999998,,,
104,K00435,,,0.52,,,,,,4.4247,,,
105,K00446,,,0.628747430160884,,,,,,13.351899999999999,,,
106,K00448,,,0.6090356010182678,,,,,,10.4755,,,
107,K00449,,,0.6259978207263324,,,,,,35.7179,,,
108,K00450,,,0.6546341896649681,,,,,,101.78460000000001,,,
109,K00451,,,0.6394889019522644,,,,,,174.17960000000002,,,
110,K00452,,,0.6517045503050615,,,,,,22.744,,,
111,K00453,,,0.5848390713548086,,,,,,77.2912,,,
112,K00456,,,0.5801703860069328,,,,,,33.5677,,,
113,K00457,,,0.6342014557993588,,,,,,99.31350000000002,,,
114,K00459,0.601,,0.6479826576067029,,,,7.0293,,359.11260000000004,,,
115,K00463,,,0.64520351307965,,,,,,11.2864,,,
116,K00469,,,0.6149828637010618,,,,,,6.5631,,,
117,K00479,,,0.643,,,,,,3.2373,,,
118,K00480,,,0.6656047784839281,,,,,,13.596799999999998,,,
119,K00481,,,0.5818481025492902,,,,,,26.25,,,
120,K00496,,,0.6416011858191091,,,,,,14.0673,,,
121,K00500,,,0.6119680311722556,,,,,,12.404499999999999,,,
122,K00507,,,0.5946135546455296,0.613,,,,,112.7643,4.4357,,
123,K00518,,,0.613,,,,,,15.8527,,,
124,K00525,,,0.6164687562823941,,,,,,132.41310000000001,,,
125,K00528,,,0.6207041682036148,,,,,,14.8523,,,
126,K00529,,,0.670366656100709,,,,,,23.9401,,,
127,K00537,,,0.6211877960785562,,,,,,16.1695,,,
128,K00540,,,0.6253141213274569,,,0.635,,,145.5575,,,3.9587
129,K00544,,,0.6589549949032059,,,,,,9.758500000000002,,,
130,K00545,,,0.6575125357577234,,,,,,16.0458,,,
131,K00548,,,0.6413567376365715,,,,,,193.95690000000002,,,
132,K00549,,0.628,0.6357330346190133,0.528,,,,2.9255,901.3106999999997,4.0179,,
133,K00554,,,0.6695642047088967,,,,,,84.1775,,,
134,K00560,,,0.6243827809160527,,,,,,56.7598,,,
135,K00566,,,0.624,,,,,,3.8359,,,
136,K00567,,,0.6131335184194197,,,,,,42.848800000000004,,,
137,K00570,,,0.6526621145400728,,,,,,93.15740000000001,,,
138,K00573,,,0.641148176906837,,,,,,251.53349999999998,,,
139,K00574,,,0.626164446727652,,,,,,170.90630000000004,,,
140,K00575,,,0.6162445337983598,,,,,,31.6923,,,
141,K00577,,,,,,0.521,,,,,,2.2947
142,K00588,,,0.6123702680019686,,,,,,26.15,,,
143,K00594,,,0.65,,,,,,4.8628,,,
144,K00595,,,0.684543461461131,,,,,,13.0808,,,
145,K00596,,,0.6601270630831316,,,,,,17.3453,,,
146,K00598,,,0.6380491743364539,0.584,,,,,36.145,2.8689,,
147,K00600,,,0.6425196724220537,,,,,,254.65409999999997,,,
148,K00602,,,0.6343424519881979,,,,,,155.09099999999998,,,
149,K00604,,,0.736,,,,,,4.3416,,,
150,K00605,,,0.644,,,,,,3.6293,,,
151,K00606,,,0.6621015815444458,,,,,,127.3153,,,
152,K00609,,,0.6378252886012364,,,,,,98.91050000000001,,,
153,K00612,,,0.6166772481092072,,,,,,14.651,,,
154,K00613,,,0.6049711835017086,,,,,,25.704099999999997,,,
155,K00615,,,0.6258795221877296,,,,,,137.92560000000003,,,
156,K00616,,,0.6021991233261292,,,,,,60.48040000000002,,,
157,K00619,,,0.614,,,,,,3.4369,,,
158,K00620,,,0.6456602855522607,,,,,,54.3909,,,
159,K00626,,,0.6497524321815602,,,,,,462.0458000000002,,,
160,K00635,,,0.6491524690000156,,,0.6351623938632148,,,487.9814000000003,,,9.5692
161,K00640,,,0.6312376311529846,,,,,,87.12739999999998,,,
162,K00641,,,0.6343270935352736,0.588,,,,,332.8069,3.6467,,
163,K00643,,,0.617446565209852,,,,,,28.4568,,,
164,K00645,,,0.6537017684938364,,,,,,8.8196,,,
165,K00648,,,0.65142789887882,,,,,,41.7628,,,
166,K00655,,,0.6602381576297583,,,,,,79.01559999999999,,,
167,K00657,,,0.6091484084053727,,,,,,34.909099999999995,,,
168,K00661,,,0.6222451595226424,,,,,,33.349599999999995,,,
169,K00662,,,0.6096820965523513,,,,,,10.169999999999998,,,
170,K00672,,,0.605,,,,,,3.4189,,,
171,K00673,,,0.562,,,,,,5.9421,,,
172,K00674,,,0.6549411394192532,,,,,,45.9242,,,
173,K00675,,,0.604609271059149,,,,,,5.0509,,,
174,K00677,,,0.6062994884146363,,,,,,72.3092,,,
175,K00682,,,0.6485745667399971,,,,,,53.756400000000006,,,
176,K00683,,,0.5653720205366924,,,,,,4.8962,,,
177,K00684,,,0.6463672621144507,,,,,,52.445899999999995,,,
178,K00688,0.6040425916517878,,0.594754036972205,,,,8.3238,,728.0873,,,
179,K00694,,,0.591,,,,,,7.1661,,,
180,K00700,,,0.5915579432685256,,,,,,106.33869999999997,,,
181,K00703,,,0.601195294320924,,,,,,79.2648,,,
182,K00705,,,0.66917699651132,,,,,,20.8584,,,
183,K00720,,,0.6210680906926453,,,,,,56.1272,,,
184,K00721,,,0.63381769768037,,,,,,19.316699999999997,,,
185,K00728,,,0.6833058591529461,,,,,,17.8047,,,
186,K00729,,,0.599,,,,,,2.8521,,,
187,K00748,,,0.6351780943147242,,,,,,43.7973,,,
188,K00759,,,0.6223311288465933,,,,,,82.70210000000002,,,
189,K00760,,0.624,0.5904973175291529,,,,,4.0922,47.2778,,,
190,K00761,,,0.620848876321903,,,,,,15.36,,,
191,K00762,,,0.6184544231328802,,,,,,68.3418,,,
192,K00763,,,0.6156036368285723,,,,,,54.3909,,,
193,K00764,,,0.6486274299439646,,,,,,193.57040000000006,,,
194,K00765,,,0.6371468553553254,,,,,,30.1795,,,
195,K00766,,,0.6656621596741013,,,,,,117.84870000000001,,,
196,K00767,,,0.68,,,,,,4.4277,,,
197,K00768,,,0.680349464419321,,,,,,65.0432,,,
198,K00769,,,0.6738891167496117,,,,,,15.8608,,,
199,K00772,,,0.552,,,,,,3.246,,,
200,K00773,,,0.6294333684702305,,,,,,66.4022,,,
201,K00782,,,0.672,,,,,,10.5222,,,
202,K00783,,,0.6498605335789269,,,,,,44.4504,,,
203,K00784,,,0.6459248110438193,,,,,,34.0884,,,
204,K00788,,,0.6470665172616877,,,,,,28.137700000000002,,,
205,K00789,,,0.646870937093629,,,,,,311.6001999999999,,,
206,K00790,,,0.6460083376573404,,,,,,179.56820000000002,,,
207,K00791,,,0.7009415127091602,,,,,,23.4274,,,
208,K00793,,0.602845227177658,0.6315110326581138,,,,,10.6238,93.5462,,,
209,K00794,,0.638,0.6427451863187337,,,0.539,,3.9685,98.0322,,,5.3037
210,K00795,,,0.657,,,,,,9.1355,,,
211,K00796,,,0.6437534114476091,,,,,,25.077900000000003,,,
212,K00797,,,0.6107980251878443,,,,,,13.098899999999999,,,
213,K00798,,,0.6640126853980838,,,,,,88.50580000000001,,,
214,K00799,,,0.6181045908527164,0.642,,0.612,,,653.2469999999998,1.6982,,5.0862
215,K00800,,,0.6726380665417367,,,,,,78.3579,,,
216,K00801,,,0.565,,,,,,4.2982,,,
217,K00806,,,0.6444278474297044,,,,,,18.9022,,,
218,K00808,,,0.6542837034838385,,,,,,32.6278,,,
219,K00817,,,0.6942763928279904,,,,,,13.1028,,,
220,K00820,,0.557,0.6486425270955395,,,,,2.4457,212.715,,,
221,K00824,,,0.635,,,,,,5.4767,,,
222,K00826,,,0.6312599228631507,,,,,,47.1043,,,
223,K00831,,,0.6352031710392093,,,,,,51.4415,,,
224,K00833,,,0.682,,,,,,8.4811,,,
225,K00845,,,0.765,,,,,,8.2475,,,
226,K00847,,,0.517,,,,,,5.0351,,,
227,K00851,,,0.6297649085455194,,,,,,72.6498,,,
228,K00854,,,0.574,,,,,,8.7254,,,
229,K00855,,,0.5654499859161475,,,,,,10.1221,,,
230,K00857,,,0.5866632732677234,,,,,,9.8173,,,
231,K00858,,0.589,0.6575634334273892,,,,,2.0193,138.571,,,
232,K00859,,,0.6160297019696558,0.618,,0.5244977287934658,,,89.07470000000002,5.3934,,12.7852
233,K00864,,,0.569,,,,,,9.1155,,,
234,K00865,,,0.6377215764290414,,,,,,25.221400000000003,,,
235,K00867,,,0.6345444055432975,,,,,,38.4684,,,
236,K00868,,,0.6428960621787442,,,,,,26.713499999999996,,,
237,K00873,,,0.6316099884873684,,,,,,231.24150000000003,,,
238,K00874,,,0.684,,,,,,7.2832,,,
239,K00878,,,0.608,,,,,,2.8034,,,
240,K00883,,,0.67,,,,,,3.3643,,,
241,K00886,,,0.6543230864864747,,,,,,33.3112,,,
242,K00891,,,0.6484068443641998,,,,,,49.45550000000001,,,
243,K00899,,,0.6108263118085884,,,0.503,,,15.1129,,,2.6009
244,K00912,,,0.6432084550934231,,,,,,37.4144,,,
245,K00919,,,0.6775629923968838,,,,,,59.850899999999996,,,
